1|5186|Public
5000|$|... 115 to 118 - International Routing <b>Network</b> <b>Identification</b> <b>Number</b> ...|$|E
5000|$|E.212(IMSI) = MCC+MNC+MSIN - (Mobile Country Code+Mobile <b>Network</b> Code+Mobile Subscription <b>Identification</b> <b>Number)</b> e.g. 404-68-6600620186 (MTNL delhi) - ...|$|R
40|$|With {{the growing}} amount of {{internet}} users, a negative form of sending email spreads that affects {{more and more}} users of email accounts: Spareming. Spareming means that the electronic mailbox is congested with unwanted advertising or personal email. Sorting out this email costs the user time and money. This paper introduces a distributed spare filter, which combines an off-the-shelf text classification with multiagent systems. Both the text classification {{as well as the}} multiagent platform are implemented in Java. The content of the emails is analyzed by the classification algorithm 'support vector machines'. Information about spare is exchanged between the agents through the <b>network.</b> <b>Identification</b> <b>numbers</b> for emails which where identified as spare are generated and forwarded to all other agents connected to the network. These numbers allow agents to identify incoming spare email. In this way, the quality of the filter increases continuously...|$|R
40|$|Background Gastrostomy feeding is {{commonly}} used to support patients with amyotrophic lateral sclerosis who develop severe dysphagia. Although recommended by both the American Academy of Neurology and the European Federation of Neurological Societies, currently little evidence indicates the optimum method and timing for gastrostomy insertion. We aimed to compare gastrostomy insertion approaches in terms of safety and clinical outcomes. Methods In this large, longitudinal, prospective cohort study (ProGas), we enrolled patients with a diagnosis of definite, probable, laboratory supported, or possible amyotrophic lateral sclerosis who had agreed with their treating clinicians to undergo gastrostomy at 24 motor neuron disease care centres or clinics in the UK. The primary outcome was 30 -day mortality after gastrostomy. This study was registered on the UK Clinical Research <b>Network</b> database, <b>identification</b> <b>number</b> 9923. Findings Between Nov 2, 2010, and Jan 31, 2014, 345 patients were recruited of whom 330 had gastrostomy. 163 (49...|$|R
5000|$|Government-issued <b>identification</b> <b>numbers</b> like tax <b>identification</b> <b>numbers,</b> {{passport}} numbers, or driver’s license numbers ...|$|R
5000|$|So {{an average}} Hungarian has these identifiers: {{personal}} identification number,ID card <b>identification</b> <b>number,</b> {{social security number}} ("TAJ" [...] <b>number),</b> tax <b>identification</b> <b>number.</b> They may also have passport <b>identification</b> <b>number,</b> driving license number.|$|R
50|$|The <b>identification</b> <b>number</b> (kennitala) is {{the third}} and current {{national}} <b>identification</b> <b>number</b> in Iceland.|$|R
5000|$|... an Employer <b>Identification</b> <b>Number</b> (EIN), {{also known}} as a FEIN (Federal Employer <b>Identification</b> <b>Number)</b> ...|$|R
5000|$|... "DoubleClick {{creates the}} cookies, assigns them <b>identification</b> <b>numbers,</b> and places them on plaintiffs' hard drives. The cookies and their <b>identification</b> <b>numbers</b> {{are vital to}} DoubleClick and {{meaningless}} to anyone else. In contrast, virtually all plaintiffs are unaware that the cookies exist, that these cookies have <b>identification</b> <b>numbers,</b> that DoubleClick accesses these <b>identification</b> <b>numbers</b> and that these numbers are critical to DoubleClick's operations." ...|$|R
50|$|Army <b>identification</b> <b>number</b> ("mispar ishi", literally: {{personal}} number. A seven-digit {{number that}} is different from the nine-digit <b>identification</b> <b>number</b> for citizens).|$|R
50|$|A Taxpayer <b>Identification</b> <b>Number</b> (TIN) is an {{identifying}} number used for tax purposes in the United States. It {{is also known}} as a Tax <b>Identification</b> <b>Number</b> or Federal Taxpayer <b>Identification</b> <b>Number.</b> A TIN may be assigned by the Social Security Administration or by the Internal Revenue Service (IRS).|$|R
50|$|The {{transmission}} <b>identification</b> <b>number</b> {{or source}} serial number (chassis VIN) is usually located {{close to the}} transmission code. This number will contain a division <b>identification</b> <b>number,</b> the model year, and the assembly plant and production sequence (last 6 digits) of the vehicle <b>identification</b> <b>number</b> (VIN) stamped onto the transmission.|$|R
50|$|Foreigners {{residing}} in Turkey {{at least six}} months for any purpose receive a Foreigner <b>Identification</b> <b>Number,</b> which is different from the Turkish <b>Identification</b> <b>Number.</b>|$|R
5000|$|Mascot’s {{original}} {{merchant vessel}} <b>identification</b> <b>number</b> was 92253. [...] After Mascot was reconstructed in 1908, a new merchant vessel <b>identification</b> <b>number</b> was assigned, 204927.|$|R
5000|$|Pump Tender <b>identification</b> <b>numbers</b> ends in 1, 2 or 3 (e.g. Onehunga 221, Manurewa 301, Hastings 561); Pump Aerial Tender <b>identification</b> <b>numbers</b> end in 4, 5 or 6 (e.g. Ellerslie 274, Auckland 205, Parnell 256); and Pump Rescue Tender (PRT) <b>identification</b> <b>numbers</b> end in 7 (e.g. Auckland 207, Papatoetoe 347, Christchurch 217) ...|$|R
2500|$|Mascot’s {{original}} {{merchant vessel}} <b>identification</b> <b>number</b> was 92253. [...] After Mascot was reconstructed in 1908, a new merchant vessel <b>identification</b> <b>number</b> was assigned, [...] 204927.|$|R
50|$|Business <b>identification</b> <b>number</b> or BIN is a {{proposed}} <b>identification</b> <b>number</b> to replace eighteen different registration numbers {{required to be}} obtained by a company to operate in India.|$|R
50|$|Turkish <b>Identification</b> <b>Number</b> (Türkiye Cumhuriyeti Kimlik Numarası or {{abbreviated}} as T.C. Kimlik No.) is {{a unique}} personal <b>identification</b> <b>number</b> that is assigned to every citizen of Turkey.|$|R
50|$|A {{value added}} tax <b>identification</b> <b>number</b> or VAT <b>identification</b> <b>number</b> (VATIN) is an {{identifier}} {{used in many}} countries, including {{the countries of the}} European Union, for value added tax purposes.|$|R
