1|10000|Public
40|$|Coincidence cross {{sections}} {{and the structure}} functions R{sub L+TT},# 2; R{sub T} and R{sub LT} have been obtained for the quasielastic # 2;# 3;{sup 16 }O(# 7;e,# 2; e'p) # 8; reaction with the proton knocked out from the # 2; 1 p{sub 1 / 2 }# 2;# 2;# 4; and # 2; 1 p{sub 3 / 2 }# 5;# 2;# 4; states in perpendicular kinematics. The <b>nominal</b> <b>energy</b> <b>transfer</b> # 3;{omega} was 439 # 11; MeV# 4; the nominal Q{sup 2 }# 4; was 0. 8 (# 7;GeV/# 14;c) {sup 2 }# 8;# 4; and the kinetic energy of knocked-# 15;out proton was 427 # 3;# 16; MeV. The data was taken in Hall A# 4; Je# 17;erson Laboratory# 4; using two high resolution spectrometers to detect electrons and protons respectively. Nominal beam energies 845 # 18; MeV# 4;, # 2;# 19; 1645 # 18; MeV# 4; and # 3; 2445 # 18; MeV were employed. For each beam energy,# 4; the momentum and angle of electron arm were # 6;fixed,# 4; while the angle between the proton momentum and the momentum transfer {vector # 4;q} was varied to map out the missing momentum. R{sub LT} was separated out to ~ 350 MeV# 14;/c in missing momentum. R{sub L+TT} and R{sub T} were separated out to # 2;# 3;~ 280 MeV/# 14;c in missing momentum. R{sub L} and R{sub T} were separated at a missing momentum of # 18;# 3; 52. 5 # 18; MeV/# 14;c for the data taken with hadron arm along # 4;{vector q}. The measured {{cross sections}} and response functions agree with both relativistic and non# 15;relativistic DWIA calculations employing spectroscopic factors between # 19; 60 - 75 % for 1 # 2;p{sub 1 / 2 }# 2;# 2;# 4; and 1 # 2;p{sub 3 / 2 }# 5;# 2;# 4; states. The left-# 15;right asymmetry {{does not support the}} non# 15;-relativistic DWIA calculation using the Weyl gauge. Also# 4; the left-# 15;right asymmetry measurement favors the relativistic calculation. This thesis describes the details of the experimental setup# 4;, the calibration of the spectrometers,# 4; the techniques used in the data analysis to derive the fi# 6;nal cross sec# 15;tions as well as the response functions# 4; and the comparison of the results with the theoretical calculations...|$|E
5000|$|... {{positive}} and negative muon beams with a <b>nominal</b> <b>energy</b> of 160 GeV or 200 GeV, ...|$|R
40|$|AbstractMinimum {{ignition}} energy {{is an important}} characteristics of dust cloud. Accurate determination of minimum {{ignition energy}} is significant for dust explosion prevention. According to EC 6124 - 2 - 3, when <b>nominal</b> <b>energy</b> is great than 100 mJ, the spark energy is recommended {{to be determined by}} integration of voltage and current with time. However, few experimental investigations were reported on the determination of spark discharge energy using integration method. Spark discharge experiments were carried out for different <b>nominal</b> <b>energies,</b> which were ranged from 63 mJ to 1271 mJ. Tektronix oscillograph was used to record the dynamic voltage and current between the discharge gap during spark discharge. The period characteristics of the LC discharge circuit were calculated, and experimental period agreed with theoretical periods. The ratios of discharge energies measured using integration method to the <b>nominal</b> <b>energies</b> stored in the capacitors (discharge efficiency) were investigated. It was found that, when <b>nominal</b> <b>energy</b> is in the range of 63 mJ∼ 1271 mJ, the discharge efficiency varies from 75. 4 % to 24. 5 %...|$|R
40|$|Sessions {{covered all}} areas of {{molecular}} <b>energy</b> <b>transfer,</b> with 10 sessions of talks and poster sessions covering the areas of :  <b>Energy</b> <b>Transfer</b> in Inelastic and Reactive Scattering  <b>Energy</b> <b>Transfer</b> in Photoinitiated and Unimolecular Reactions  Non-adiabatic Effects in <b>Energy</b> <b>Transfer</b>  <b>Energy</b> <b>Transfer</b> at Surfaces and Interfaces  <b>Energy</b> <b>Transfer</b> in Clusters, Droplets, and Aerosols  <b>Energy</b> <b>Transfer</b> in Solution and Solid  <b>Energy</b> <b>Transfer</b> in Complex Systems  Energy Transfer: New vistas and horizons  Molecular Energy Transfer: Where Have We Been and Where are We Going...|$|R
5000|$|... {{negative}} hadron beam with a <b>nominal</b> <b>energy</b> of 190 GeV and {{a composition}} of 1% anti-protons, 97% pions and 2% kaons, ...|$|R
5000|$|... {{positive}} hadron beam with a <b>nominal</b> <b>energy</b> of 190 GeV and {{a composition}} of 75% protons, 24% pions and 1% kaons, ...|$|R
50|$|Förster {{resonance}} <b>energy</b> <b>transfer</b> (FRET), fluorescence resonance <b>energy</b> <b>transfer</b> (FRET), resonance <b>energy</b> <b>transfer</b> (RET) or electronic <b>energy</b> <b>transfer</b> (EET) is {{a mechanism}} describing <b>energy</b> <b>transfer</b> between two light-sensitive molecules (chromophores). A donor chromophore, initially in its electronic excited state, may <b>transfer</b> <b>energy</b> to an acceptor chromophore through nonradiative dipole-dipole coupling. The efficiency of this <b>energy</b> <b>transfer</b> is {{inversely proportional to}} the sixth power of the distance between donor and acceptor, making FRET extremely sensitive to small changes in distance.|$|R
40|$|A {{model of}} the {{kinetics}} of radiationless <b>energy</b> <b>transfer</b> from upper excited states is presented, where both the possibility of back <b>energy</b> <b>transfer</b> from the excited acceptor to a lower lying level of the donor {{and the possibility of}} energy migration over acceptors is considered. The model leads to a complex variation of the <b>energy</b> <b>transfer</b> quantum yield with the acceptor concentration. This dependence results from the interplay of direct <b>energy</b> <b>transfer,</b> back <b>energy</b> <b>transfer</b> and <b>energy</b> migration. Back <b>energy</b> <b>transfer</b> reduces the efficiency of donor–acceptor overall transfer efficiency. On the other hand, energy migration over the acceptors decreases the efficiency of back <b>energy</b> <b>transfer</b> and results in an increase in the <b>energy</b> <b>transfer</b> quantum yield. The known experimental results of <b>energy</b> <b>transfer</b> from upper excited states are in qualitative agreement with the present treatment. q 1997 Elsevier Science B. V. 1...|$|R
40|$|Resonance <b>energy</b> <b>transfer</b> {{molecular}} imaging (RETI) can markedly improve signal {{intensity and}} tissue penetrating capacity of optical imaging, and have huge potential application in the deep-tissue optical imaging in vivo. Resonance <b>energy</b> <b>transfer</b> (RET) is an energy {{transition from the}} donor to an acceptor that is in close proximity, including non-radiative resonance <b>energy</b> <b>transfer</b> and radiative resonance <b>energy</b> <b>transfer.</b> RETI is an optical imaging technology {{that is based on}} RET. RETI mainly contains fluorescence resonance <b>energy</b> <b>transfer</b> imaging (FRETI), bioluminescence resonance <b>energy</b> <b>transfer</b> imaging (BRETI), chemiluminescence resonance <b>energy</b> <b>transfer</b> imaging (CRETI), and radiative resonance <b>energy</b> <b>transfer</b> imaging (RRETI). RETI is the hot field of molecular imaging research and has been widely used in the fields of biology and medicine. This review mainly focuses on RETI principle and application in biomedicine. ...|$|R
40|$|Collisional <b>energy</b> <b>transfer</b> is the {{controlling}} factor in many nonequilibrium chemical systems: combustion, laser-induced chemical reactions, shock-heated gases, atmospheric chemistry, etc. During this period, {{efforts were made}} in 3 areas: large molecule <b>energy</b> <b>transfer</b> experiments (organic compounds); triatomic V-T/R <b>energy</b> <b>transfer</b> (memory effects); and <b>energy</b> <b>transfer</b> in extreme environments (shock tube data on norbornene). Results are described very briefly...|$|R
40|$|This chapter {{deals with}} radio {{frequency}} (RF) <b>energy</b> <b>transfer</b> over a distance. After explaining {{the differences between}} nonradiative and radiative RF <b>energy</b> <b>transfer,</b> the chapter gives definitions for transfer and harvesting. Nonradiative RF <b>energy</b> <b>transfer</b> is mostly employed in inductive systems, obeying the Qi standard. The chapter also identifies the subcomponents of an RF <b>energy</b> <b>transfer</b> system, and discusses the receiving rectifying antenna, commonly known as rectenna. Before discussing the rectenna results, the chapter discusses the complex conjugately matched antenna. After that, the transmission and propagation of RF signals is treated, followed by demonstration of some examples of far-field wireless RF <b>energy</b> <b>transfer.</b> It concludes that far-field RF <b>energy</b> <b>transfer</b> is feasible, but requires a careful co-design of the several subsystems {{that make up the}} whole far-field RF <b>energy</b> <b>transfer</b> system...|$|R
