2|10000|Public
50|$|Volume 2 - <b>Notice</b> <b>to</b> <b>Applicants.</b>|$|E
40|$|Instructions to Applicant: Thank you {{for your}} {{interest}} in the Seasonal Public Works Maintenance Worker position. This application package includes: 1. A copy of the job announcement. 2. A copy of the job description. 3. A five-page application form. Incomplete applications will be rejected without <b>notice</b> <b>to</b> the <b>applicant.</b> Completed Applications must be returned to...|$|R
40|$|The Act adds a new {{section to}} the Georgia Code {{to require that}} any male {{applicant}} for any driver 2 ̆ 7 s license or identification card who is less than twenty-six years of age registers for the selective service {{in compliance with the}} United States Military Selective Service Act. The Act also requires the Department <b>to</b> give contemporaneous <b>notice</b> <b>to</b> the <b>applicant</b> that he will be so registered. The Act amends the Georgia Code by requiring that any information necessary for registering the <b>applicant</b> be transmitted <b>to</b> the Selective Service System in electronic format...|$|R
5000|$|In its ruling, the SEC {{countered that}} NASD {{had created a}} new {{interpretation}} of Rule 3040 without providing prior <b>notice</b> <b>to</b> the <b>applicants.</b> “This lack of notice alone raises sufficient concerns to warrant dismissal of the charges,” said the commission, adding that the SRO also failed to establish {{a connection between the}} reps’ referrals and the e2 stock transactions. “There was no proof that they were making introductions for investment purposes. Plus there was a significant time period between the introductions and the purchases,” said Brian Rubin, a Washington D.C.-based partner in law firm Sutherland Asbill & Brennan (now renamed [...] "Sutherland") who represented Browne in the appeal. Rubin added that he has been unable to find another instance of the SEC reversing an NASD ruling for at least a decade.|$|R
40|$|WP 2012 - 264 Governmental {{agencies}} serve {{individuals with}} Intellectual Disabilities (ID) and Psychiatric Disabilities (PD) and must consequently communicate with these individuals at multiple points, from interviews with claims representatives <b>to</b> written <b>notices</b> sent <b>to</b> <b>applicants</b> and beneficiaries about highly complex material. We review the social scientific, survey research-based, cognitive testing-based and other relevant literatures regarding effective communication with these individuals. Given {{the nature of}} governmental contact with individuals with ID and PD, particular interest falls upon formal written communication, but other modes of communicating factual information (e. g., telephone, in-person) are also {{within the scope of}} this literature review. We evaluate what is known regarding the receptive and expressive communicative capacities of these individuals. We attempt to evaluate what is known about the communicative strategies to determine how the literature may inform a set of evidence-based best practices regarding for effective and efficient communication with individuals with ID and PD...|$|R
40|$|This {{report has}} been {{prepared}} {{solely for the}} purpose of assessing, on a preliminary basis, whether the connection applicant’s proposed connection with the IMO-controlled grid would have an adverse impact on the reliability of the integrated power system and whether a System Impact Assessment of the proposed connection should be conducted under Chapter 4, section 6 of the Market Rules. This report has not been prepared for any other purpose and should not be used or relied upon by any person for another purpose. In particular, this report does not address any other Market-related or any commercial aspects of the connection proposal. This report has been prepared solely for use by the Connection Applicant and the IMO in accordance with Chapter 4, section 6 of the Market Rules. The IMO assumes no responsibility to any third party for any use which it makes of this report. Any liability which the IMO may have <b>to</b> the Connection <b>Applicant</b> in respect of this report is governed by Chapter 1, section 13 of the Market Rules. The IMO may revise this report at any time, in its sole discretion, without <b>notice</b> <b>to</b> the <b>Applicant.</b> Although the IMO will use its best efforts to advise you of any such changes, {{it is the responsibility of}} the Connection <b>Applicant</b> <b>to</b> ensure that it is using the most recent version of this report. This document may contain a summary of a particular Market Rule. Where provided, the summary has been used because of the length of the Market Rule itself. The reader should be aware, however, that where...|$|R
5000|$|... where urgent or {{immediate}} {{relief is}} required, and where <b>notice</b> <b>to</b> the respondent, and the delay which such notice may occasion, {{would result in}} prejudice <b>to</b> the <b>applicant</b> (for example, where the <b>applicant</b> applies <b>to</b> attach a vehicle in the other party’s possession which the other party plans to remove from the country).|$|R
50|$|To conduct {{entrance}} examinations <b>to</b> <b>applicants.</b>|$|R
50|$|If {{the officer}} issues a {{favorable}} determination of credible fear, then the applicant goes through regular removal proceedings. Specifically, the officer issues a <b>Notice</b> <b>To</b> Appear (NTA) <b>to</b> the <b>applicant,</b> directing the <b>applicant</b> <b>to</b> appear {{for his or}} her removal case in an immigration court, during which the <b>applicant</b> needs <b>to</b> make the case for asylum in full detail to the immigration judge. The applicant is now handled by U.S. Immigration and Customs Enforcement (ICE). After ICE files the NTA with the court, a removal hearing is held before an immigration judge. The <b>applicant</b> may have <b>to</b> wait for several months for a hearing due to the huge backlog of cases.|$|R
50|$|Students are {{accepted}} by a random lottery. Enrollment preference is given <b>to</b> <b>applicants</b> with siblings {{enrolled in the}} Public Prep school {{to which they are}} applying, if they live in the district of the school to which they are applying, or <b>to</b> <b>applicants</b> who reside in approved NYCHA Housing Developments.|$|R
50|$|UCAS Media {{does not}} {{disclose}} information about <b>applicants</b> <b>to</b> its advertising clients; rather, it sends communications <b>to</b> <b>applicants</b> {{on behalf of}} its clients.|$|R
50|$|Since {{applying}} for Premium Processing {{does not provide}} any preferential treatment <b>to</b> <b>applicants,</b> commentators have claimed that the main reason companies {{are willing to pay}} these fees is because the faster turnarounds allow them and their prospective employees to plan next steps more effectively. This is particularly important in cases of requests for evidence or <b>notices</b> of intent <b>to</b> deny, because of the further iterations needed in order to get approved.|$|R
50|$|Luxbet offers credit betting {{facilities}} <b>to</b> <b>applicants</b> {{that meet}} the relevant criteria.|$|R
5000|$|Subsidies {{equivalent}} <b>to</b> <b>applicant</b> {{income tax}} paid by domestic standards-compliant vessel owners ...|$|R
50|$|By 2006, £1m {{of grants}} was being given <b>to</b> <b>applicants</b> in Northern Ireland.|$|R
50|$|Diploma {{level of}} studies are offered <b>to</b> <b>applicants</b> with SPM/SPMV or {{equivalent}} certification.|$|R
50|$|Article 24 The Chinese Copyright Protection Center revoke {{registration}} according <b>to</b> <b>Applicant’s</b> request.|$|R
5000|$|Instructions <b>to</b> <b>applicants,</b> sample {{application}} form and FAQs are published on ARC website ...|$|R
5000|$|Phase A - Requests for Additional Information (RAIs) Issued <b>to</b> <b>Applicant</b> {{already on}} 3/20/2011.|$|R
25|$|This new {{definition}} is aimed to exclude payments <b>to</b> <b>applicants</b> who exercise no real or tangible agricultural activity on their land. The Commission is proposing that payments {{would not be}} granted <b>to</b> <b>applicants</b> whose CAP direct payments are less than 5% of total receipts from all non-agricultural activities This doesn't apply to farmers who receive less than 5 000 Euros in direct payments.|$|R
2500|$|... {{they are}} of good {{character}} (this does not apply <b>to</b> <b>applicants</b> under 14 years old) ...|$|R
50|$|It is open <b>to</b> <b>applicants</b> for Piano, Voice, Violin {{and other}} String instruments, Wind instruments.|$|R
5000|$|A {{fast-track}} {{application process}} {{has also been}} available <b>to</b> <b>applicants</b> since 7 April 2008. https://web.archive.org/web/20080516080916/http://www.ipo.gov.uk/tm/t-decisionmaking/t-law/t-law-notice/t-law-notice-fasttrack/t-law-notice-fasttrack-guidance.htm ...|$|R
5000|$|Subsidies {{equivalent}} <b>to</b> <b>applicant</b> {{income tax}} for ship repair in domestic yards for Iran-flagged ships ...|$|R
5000|$|... the {{requirement}} for a citizenship ceremony applies <b>to</b> <b>applicants</b> for registration as well as naturalisation ...|$|R
5000|$|... {{they are}} of good {{character}} (this does not apply <b>to</b> <b>applicants</b> under 14 years old) ...|$|R
50|$|Degree {{level of}} studies are offered <b>to</b> <b>applicants</b> with STPM/STAM / Matriculation / diploma / {{equivalent}} certification.|$|R
50|$|AIA {{offers a}} number of entry levels <b>to</b> <b>applicants,</b> {{depending}} on their qualifications and work experience profile.|$|R
5000|$|... #Caption: Department of Defense {{polygraph}} brochure distributed <b>to</b> <b>applicants</b> by DIA and NSA, {{among other}} intelligence components.|$|R
5000|$|The MOPH Scholarship Program is {{designed}} to provide monetary assistance for college <b>to</b> <b>applicants</b> who are either: ...|$|R
2500|$|... {{they have}} {{sufficient}} {{knowledge of the}} English language (this does not apply <b>to</b> <b>applicants</b> under 14 years old; {{it can also be}} waived by the Minister of Internal Affairs if this would cause 'undue hardship' <b>to</b> an <b>applicant</b> aged 14 or over) ...|$|R
2500|$|... {{they have}} {{sufficient}} {{knowledge of the}} English language (this does not apply <b>to</b> <b>applicants</b> under 14 years old) ...|$|R
50|$|The {{passports}} {{are printed}} centrally in the United Kingdom, and dispatched {{directly from the}} printing centre <b>to</b> <b>applicants.</b>|$|R
