1|2764|Public
5000|$|Receivers have a <b>nominal</b> <b>input</b> <b>impedance</b> of 100±20 kΩ (i.e., maximum 1.0±0.2 mW at 10 V) ...|$|E
5000|$|The loudspeaker's <b>nominal</b> load <b>impedance</b> (<b>input</b> <b>impedance)</b> of [...] {{is usually}} around 4 to 8Ω, {{although}} other impedance speakers are available, sometimes {{as low as}} 1Ω.|$|R
50|$|The <b>input</b> <b>impedance</b> of the {{differential}} pair highly {{depends on the}} input mode. At common mode, the two parts behave as common-collector stages with high emitter loads; so, the <b>input</b> <b>impedances</b> are extremely high. At differential mode, they behave as common-emitter stages with grounded emitters; so, the <b>input</b> <b>impedances</b> are low.|$|R
3000|$|The <b>input</b> <b>impedance</b> [...] Z_r^(n) {{is equal}} to the {{intrinsic}} impedance [...] Z_n of the nth layer since the layer is a semi-infinite medium. The <b>input</b> <b>impedance</b> of the (n −  1)th layer can be obtained by Eq. (2). This process is extended to acquire the <b>input</b> <b>impedance</b> of the second layer on the left-hand side of the equation. The <b>input</b> <b>impedance</b> [...] Z_r^(2) represents the transformed effect of all impedances of the stacked layers {{to the right of the}} first layer.|$|R
40|$|Abstract—This paper {{proposes a}} study of <b>input</b> <b>impedance</b> of 2 types of CMOS active inductors. It derives 2 <b>input</b> <b>impedance</b> formulas. The first formula is the <b>input</b> <b>impedance</b> of the {{grounded}} active inductor. The second formula is the <b>input</b> <b>impedance</b> of the floating active inductor. After that, these formulas {{can be used to}} simulate magnitude and phase response of <b>input</b> <b>impedance</b> as a function of current consumption with MATLAB. Common mode rejection ratio (CMRR) of the fully differential bandpass amplifier is derived based on superposition principle. CMRR as a function of input frequency is plotted as a function of current consumption. Keywords—Grounded active inductor, floating active inductor, Fully differential bandpass amplifier. I...|$|R
40|$|Properly {{terminating}} differential amplifiers for {{single-ended input}} applications can be challenging. This application note simplifies {{the process by}} walking through the calculations from start to finish. The {{first step is to}} determine the <b>input</b> <b>impedance</b> of the amplifier. CALCULATING THE <b>INPUT</b> <b>IMPEDANCE</b> The effective <b>input</b> <b>impedance</b> of a circuit depends on whether the amplifier is being driven by a single-ended or differential signal source. For balanced differential input signals, as shown in Figure 1, the <b>input</b> <b>impedance</b> (R IN, dm) between the inputs (+DIN and −DIN) is simply RIN, dm = 2 × R...|$|R
40|$|In this paper, we {{configured}} {{a system}} with negative <b>input</b> <b>impedance</b> {{by a pair of}} Yagi-Uda antennas. The two Yagi antennas were placed face to face feeding by the same source. The <b>input</b> <b>impedance</b> is the sum of self-impedance and mutual impedance. Since Yagi antenna has significantly reduced self-impedance and amplified mutual impedance, it is anticipated that this system present negative <b>input</b> <b>impedance...</b>|$|R
40|$|Power factor {{correction}} converters with a programmable harmonic <b>input</b> <b>impedance</b> {{can be used}} to reduce the harmonic distortion in the utility grid. Whereas previously proposed controllers tried to obtain a resistive behaviour of the converter with a constant <b>input</b> <b>impedance</b> for all frequencies, including the fundamental, another recently proposed control strategy allows the setting of a harmonic input resistance independent of the fundamental <b>input</b> <b>impedance.</b> Although previous papers showed the usefulness of this approach, the analysis and verification of the <b>input</b> <b>impedance</b> of the converter in a broad frequency spectrum is focussed here. The characteristics of the current controller will determine the <b>input</b> <b>impedance</b> of the converter in the frequency domain. The implementation of the control strategy with a programmable harmonic resistance on a digitally controlled full-bridge bidirectional converter is described. Experimental tests on a l-kW prototype show that with the proposed implementation good concordance with the theoretical <b>input</b> <b>impedance</b> curves is obtained. status: publishe...|$|R
40|$|Introduction. Electromagnetic {{crystals}} (EC) and EC-inhomogeneities {{are one of}} {{the main}} directions of microstrip devices development. In the article the <b>input</b> <b>impedance</b> characteristics of EC- and traditional microstrip inhomogeneities and filter based on EC-inhomogeneities are investigated. Transmission coefficient characteristics. Transmission coefficient characteristics of low impedance EC- and traditional inhomogeneities are considered. Characteristics are calculated in the software package Microwave Studio. It is shown that the efficiency of EC-inhomogeneity is much higher. <b>Input</b> <b>impedance</b> characteristics of low impedance inhomogeneities. Dependences of <b>input</b> <b>impedance</b> active and reactive parts of EC- and traditional inhomogeneities are given. Dependences of the active part illustrate significant low impedance transformation of nominal impedance. The conditions of impedance matching of structure and input medium are set. <b>Input</b> <b>impedance</b> characteristics of high <b>impedance</b> inhomogeneities. <b>Input</b> <b>impedance</b> characteristics of high impedance EC- and traditional inhomogeneities are considered. It was shown that the band of transformation by high impedance inhomogeneities is much narrower than one by low impedance inhomogeneities. Characteristics of the reflection coefficient of inhomogeneities are presented. <b>Input</b> <b>impedance</b> characteristics of narrowband filter. The structure of narrowband filter based on the scheme of Fabry-Perot resonator is presented. The structure of the filter is fulfilled by high impedance EC-inhomogeneities as a reflectors. Experimental and theoretical amplitude-frequency characteristics of the filter are presented. <b>Input</b> <b>impedance</b> characteristics of the filter are shown. Conclusions. <b>Input</b> <b>impedance</b> characteristics of the structure allow to analyse its wave properties, especially resonant. EC-inhomogeneity compared with traditional microstrip provide substantially more significant transformation of the the <b>input</b> <b>impedance.</b> ? ?????? ??????????? ??????? ??????????? ?????????????? ?????????????????????????????? (??) ? ???????????? ??????????????? ???????????????, ? ????? ??????? ?? ?????? ??-???????????????. ????????? ?????????????? ???????????? ??????????? ??????????????? ??- ? ???????????? ???????????????. ????????, ??? ??-?????????????? ?? ????????? ? ????????????? ???????????????? ???????????? ??????????? ????? ???????????? ????????????? ???????? ???????????? ???????? ?????????. ?????? ??????? ??????????? ????????????? ??????? ????????? ?????????? ??????? ????????????, ??????????? ??? ??????????? ???????????? ??????? ?????...|$|R
50|$|The {{input stage}} with Q1 and Q3 {{is similar to}} an emitter-coupled pair (long-tailed pair), with Q2 and Q4 adding some degenerating <b>impedance.</b> The <b>input</b> <b>impedance</b> is {{relatively}} high {{because of the small}} current through Q1-Q4.A typical 741 op amp has an differential <b>input</b> <b>impedance</b> of about 2 M&Omega;. The common mode <b>input</b> <b>impedance</b> is even higher, as the input stage works at an essentially constant current.|$|R
40|$|In this paper, a fuzzy-based {{approach}} is proposed {{so as to}} predict the <b>input</b> <b>impedance</b> of the rectangular microstrip antenna. In the proposed approach, at first, behavior of single microstrip antenna is represented as simple and unchanged membership functions, and the feed probe effect on the <b>input</b> <b>impedance</b> is then extracted as simple curves so that the <b>input</b> <b>impedance</b> of microstrip antenna in despite of other existing models is efficiently predicted...|$|R
