1|15|Public
5000|$|... #Caption: Example of a <b>non-sparking</b> <b>tool</b> made of {{beryllium}} copper ...|$|E
50|$|Although {{the vast}} {{majority}} of cold chisels are made of steel, a few are manufactured from beryllium copper, for use in special situations where <b>non-sparking</b> <b>tools</b> are required.|$|R
50|$|Zamak 2 is {{also known}} as Kirksite when gravity cast for use as a die. It was {{originally}} designed for low volume sheet metal dies. It later gained popularity for making short run injection molding dies. It is also less commonly used for <b>non-sparking</b> <b>tools</b> and mandrels for metal spinning.|$|R
5000|$|Carltsoe Safety Tools ApS (Denmark) Sales {{office for}} <b>non-sparking</b> safety <b>tools</b> ...|$|R
5000|$|AC Safety tools SA (Switzerland) Distribution and Sales {{office for}} <b>non-sparking</b> safety <b>tools</b> ...|$|R
50|$|Remove {{all sources}} of ignition. Ventilate area of leak or spill. Wear {{appropriate}} {{personal protective equipment}} as specified in Section 8. Spills: Clean up spills {{in a manner that}} does not disperse dust into the air. Use <b>non-sparking</b> <b>tools</b> and equipment. Reduce airborne dust and prevent scattering by moistening with water. Pick up spill for recovery or disposal and place in a closed container.|$|R
50|$|EGA Master is a {{manufacturer}} of tools for professional/industrial use founded by Iñaki Garmendia Ajuria in 1990 and based in Vitoria-Gasteiz (Spain). Originally specialized in pipe tools it later diversified into a wider product range, including mechanical <b>tools,</b> <b>non-sparking</b> <b>tools,</b> titanium non-magnetic tools, insulated tools and explosion-proof intrinsically safe instruments. It patented the Basque Wrench, among other worldwide patents. The company has customers in over 150 countries, and was selected in 2011 {{as one of the}} top 100 Spanish brands.|$|R
50|$|Beryllium copper is {{non-sparking}} but physically {{tough and}} nonmagnetic, fulfilling {{the requirements of}} ATEX directive for Zones 0, 1, and 2. Beryllium copper screwdrivers, pliers, wrenches, cold chisels, knives, and hammers are available for environments with explosive hazards, such as oil rigs, coal mines, and grain elevators. An alternative metal sometimes used for <b>non-sparking</b> <b>tools</b> is aluminium bronze. Compared to steel tools, beryllium copper tools are more expensive, not as strong, and less durable, but the properties of beryllium copper in hazardous environments may outweigh the disadvantages.|$|R
5|$|Mixing about 2.0% {{beryllium}} into copper {{forms an}} alloy called beryllium copper that is six times stronger than copper alone. Beryllium alloys {{are used in}} many applications because of their combination of elasticity, high electrical conductivity and thermal conductivity, high strength and hardness, nonmagnetic properties, as well as good corrosion and fatigue resistance. These applications include <b>non-sparking</b> <b>tools</b> that are used near flammable gases (beryllium nickel), in springs and membranes (beryllium nickel and beryllium iron) used in surgical instruments and high temperature devices. As little as 50 parts per million of beryllium alloyed with liquid magnesium leads to {{a significant increase in}} oxidation resistance and decrease in flammability.|$|R
50|$|AMPCO METAL is {{a diversified}} {{speciality}} alloy engineering company working primarily in copper based alloys, <b>non-sparking</b> safety <b>tools</b> and speciality welding products. The Switzerland based {{company is a}} manufacturer of engineered alloys of different compositions and properties, intended for specific uses in the aerospace, automotive, energy-conservation, manufacturing and other industries. It also produces <b>non-sparking</b> safety <b>tools</b> for the oil industry, {{as well as the}} firefighting and fire prevention sectors. Additionally, AMPCO METAL provides engineering, machining and welding advice to the industry, in matters involving its speciality copper, aluminium-bronze and other alloys. AMPCO METAL currently employs approximately 250 people worldwide, and operates a number of divisions and sales offices on three continents.|$|R
50|$|Mixing about 2.0% {{beryllium}} into copper {{forms an}} alloy called beryllium copper that is six times stronger than copper alone. Beryllium alloys {{are used in}} many applications because of their combination of elasticity, high electrical conductivity and thermal conductivity, high strength and hardness, nonmagnetic properties, as well as good corrosion and fatigue resistance. These applications include <b>non-sparking</b> <b>tools</b> that are used near flammable gases (beryllium nickel), in springs and membranes (beryllium nickel and beryllium iron) used in surgical instruments and high temperature devices. As little as 50 parts per million of beryllium alloyed with liquid magnesium leads to {{a significant increase in}} oxidation resistance and decrease in flammability.|$|R
