1|1276|Public
50|$|The <b>Load</b> <b>Indicating</b> <b>Washer</b> {{was invented}} in England in 1962.|$|E
40|$|This thesis {{presents}} {{a review of}} different techniques to tighten a bolted joint and investigates {{the ability of the}} methods to tighten the joint to a prescribed bolt tension. A literature survey was undertaken which revealed that different opinions exist regarding the performance of certain tightening methods and the influence of several commonly encountered factors on them. Test equipment was designed and built to study the performance of five tightening methods: torque control, angle control - elastic range, angle control - yield range, yield control, and <b>load</b> <b>indicating</b> <b>washers.</b> The effects of a number of practical factors on the performance of these methods were investigated. The main factors investigated were: joint stiffness, nut and bolt plating and geometry, and washer type. The tests have shown that yield controlled tightening and angle control (yield range) provide the most accurate methods of tightening a bolted joint to a prescribed bolt tension (+/- 5 %). Torque control and <b>load</b> <b>indicating</b> <b>washers</b> (Coronet) can tighten the joint to +/- 10 %. Angle control (elastic range) gives relatively poor control over bolt tension (+/- 14 %), largely due to variations in snug position and tension-angle gradient. The deflections of the joint components influence the performance of the angle-related tightening methods. The deflection of the threaded connection itself is significant, especially for 'hard' joints. This contribution to the overall deflection has been largely neglected in previous studies. Methods to improve the accuracy of the tightening methods are discussed. In particular the use of hardened washers to improve the accuracy and repeatability of torque control is recommended. Furthermore, preliminary tests were conducted on the design of a <b>washer,</b> which would <b>indicate</b> when the joint has been tightened to a prescribed tension...|$|R
3000|$|... 2 [*]=[*] 1 for all trials). There was no {{variation}} in the measured load transducer values with the 4.5 fold increase in maximum <b>load,</b> <b>indicating</b> the device’s ability to withstand forces greater than experienced in-vivo, without disruption to device fixation or the load transducer.|$|R
50|$|A {{meta-analysis}} {{revealed that}} {{evidence for a}} direct effect of testosterone on the expression of sexual traits and the suppression of immunocompetence was weak. It was found, however, that increased testosterone influenced parasite <b>loads,</b> <b>indicating</b> an indirect role of the hormone in immune function.|$|R
30|$|All {{coefficients}} for both life event load {{and number of}} admissions are positive and significant. Positive effect {{of all types of}} life event <b>load</b> <b>indicates</b> that the risk of getting admitted grows with an increasing life event load. This effect is independent of the type of life event load.|$|R
50|$|As {{with many}} {{recently}} discovered human polyomaviruses, the clinical significance of HPyV9 is poorly characterized. Attempts to detect polyomaviruses {{in a variety}} of tumor types have consistently found that HPyV9 is either absent or present at very low viral <b>loads,</b> <b>indicating</b> that it is unlikely to be causally related to the tumor.|$|R
30|$|However, when {{considering}} the rate of failure between immediate loading and conventional loading in edentulous patients, there were publications that showed {{a higher risk of}} failure in treatment with an immediate loading protocol. Another article of meta-analysis showed that immediate <b>loading</b> <b>indicated</b> a slightly higher implant failure rate than conventional loading [35]. A similar finding was also reported, but with a more significant difference [34].|$|R
50|$|For a {{rotating}} bearing, the dynamic <b>load</b> capacity <b>indicates</b> the <b>load</b> {{to which the}} bearing endures 1,000,000 cycles.|$|R
3000|$|... 2 is the <b>load</b> ratio <b>indicated</b> {{the initial}} <b>load</b> from the {{interface}} between the lower and upper crust. F [...]...|$|R
30|$|The {{comparison}} of microleakage {{among the groups}} at every 500 -cycle <b>load</b> <b>indicated</b> {{that there were no}} significant differences among the groups at 500 -cycle loading but were statistically significant differences in those between IP and CC groups. The reason for microleakage in EP group having no significant differences indicated between EP and IP or CC groups may be due to the largeness of standard deviation in the value of EP group.|$|R
50|$|The {{second set}} of {{performance}} metrics measures the computational resources used by the application for the <b>load,</b> <b>indicating</b> whether there is adequate capacity to support the load, as well as possible locations of a performance bottleneck. Measurement of these quantities establishes an empirical performance baseline for the application. The baseline can then be used to detect changes in performance. Changes in performance can be correlated with external events and subsequently used to predict future changes in application performance.|$|R
