1|24|Public
60|$|By {{good fortune}} I found a <b>loose</b> <b>match.</b> I lighted a fresh cigar.|$|E
6000|$|... 'But as I {{walked over}} the smoking ashes under the bright morning sky, I made a discovery. In my trouser pocket were still some <b>loose</b> <b>matches.</b> The box must have leaked {{before it was}} lost.|$|R
60|$|Presently {{he remembered}} that he had several <b>loose</b> <b>matches</b> in his vest pocket, and, taking out one of these, he lit it and then set fire to a thick shaving that was handy and which, being damp, burnt slowly.|$|R
40|$|Qestioniug texts {{represented}} in semantic relations I requires {{the recognition that}} synonyms, instances, and hyponyms may all satisfy a questioned term. A basic procedure for accomplishing such <b>loose</b> <b>matching</b> using inheritance from a taxonomic organization of the dictionary is defined in analogy with the unification a!goritbm used for theorem proving, and tile costs of its application are analyzed. It is concluded tl,at inheritance logic can profitably be i,,clu:ted in the basic questioning procedure...|$|R
2500|$|Samoëla {{declares}} himself {{influenced by}} the folk music and protest song genres, but remarked that his music is typically categorized in overseas markets as [...] "African pop". He blends elements of traditional Malagasy music such as southern vocal harmonies and 6/8 rhythms with hip-hop, rap and other contemporary genres. The folk-fusion music accompanying his lyrics typically features bass guitar, acoustic guitar (which Samoëla himself often plays), and diverse percussion instruments including djembe and shakers. His songs often also feature electric guitar and {{a wide range of}} traditional Malagasy instruments such as kabosy and valiha. Samoëla typically performs wearing custom-made traditional Malagasy clothing such as a malabary - a long cotton tunic over <b>loose</b> <b>matching</b> trousers - embroidered with Malagasy motifs like the aloalo.|$|R
60|$|They {{left him}} and {{ran along the}} beach, {{stumbling}} among the stones. It was some distance to the dory, and darkness was coming on. The Cetacea would drift to leeward fast, and they feared {{that she would be}} out of sight before they could begin the chase, but they might be in time to pick up their exhausted comrade. There was no doubt that he soon would become exhausted, because the water was icy cold, and a short, troubled swell worked into the bay. Besides this, the horror of their position lent them speed. It looked as if they would be left without food or shelter from the inclement weather on the desolate island. They had not even a line to catch fish with, and Bethune remembered that he had only three or four <b>loose</b> <b>matches</b> in his pocket.|$|R
5000|$|... "Fire on the Mountain" [...] is a Grateful Dead {{song from}} the album Shakedown Street with the lyric, [...] "There's a dragon with <b>matches</b> <b>loose</b> on the town." [...] It was {{released}} on November 15, 1978 by Arista.|$|R
40|$|Title: Efficiency of fast {{breaks and}} its effects on the outcome of the top class {{handball}} matches. Goals of the reaserch: Main goal of this essay is to discover how the effectivness of the fast breaks influence the outcome of the top class handball matches during the most important tournaments (ME, MS). Second goal is to discover if there is a link between effectivness of the fast break (or portion of the fast breaks from the total of breaks) and final place scored on the previously mentioned tournaments. Methods: Statistic analysis, ratio of fast breaks, comparism of the ratios Results: It was discovered, the teams with greater efficiency of the fast breaks took better places, in the sample of the reaserched tournaments, than the teams with lesser efficiency of the fast breaks. Teams that won the match used more fast breaks and with greater efficiency than teams that lost. There is a greater ratio of the fast breaks from the total number of breaks in the winning match than in the <b>loosing</b> <b>match.</b> Keywords: handball, fast break, efficiency of the fast break, portion, comparism of portions, place on the top class tournament...|$|R
2500|$|... {{wears an}} outdoor walking costume {{consisting}} of a <b>loose</b> jacket and <b>matching</b> skirt. The skirt is drawn up for ease of walking over an ankle-length underskirt or petticoat and hoops. She wears a bowler-like hat wrapped in a scarf or veil. Latter half 1860s.|$|R
40|$|International audienceThis paper {{deals with}} {{acoustic}} to articulatory inversion of speech {{by using an}} analysis by synthesis approach. We used old X-ray films of one speaker to (i) the develop a linear articulatory model presenting a small geometric mismatch with the subject's vocal tract mid sagittal images (ii) and design an adaptation procedure of cepstral vectors used as input data. The adaptation exploits the bilinear transform to warp the frequency scale in order to compensate for deviation between synthetic and natural speech. This enables the comparison of natural speech against synthetic speech without using cepstral liftering. A codebook is used to represent the forward articulatory to acoustic mapping and we designed a <b>loose</b> <b>matching</b> algorithm using spectral peaks to access it. This algorithm, based on dynamic programming, allows some peaks in either synthetic spectra (stored in the codebook) or natural spectra (to be inverted) to be omitted. Quadratic programming is used to improve the acoustic proximity near each good candidate found during codebook exploration. The inversion has been tested on speech signals corresponding to the X-ray films. It achieves a very good geometric precision of 1. 5 mm over the whole tongue shape unlike similar works evaluating the error at 3 or 4 points corresponding to sensors located {{at the front of}} the tongue...|$|R
50|$|Skibbereen {{was popular}} in the 1880s. However, the near total failure of the potato crop in 1890 led to panic, {{shrinking}} the number of clubs from 38 to 2. Rules were <b>loose</b> and <b>matches</b> sometimes developed into a melee. In the 1930s, the playing field was in Clashadoo opposite the former schoolhouse. Teams would often travel to matches {{in the back of}} Jackie Cronin's lorry. Players from the area included Robert O'Sullivan (he is a brother of Danny O'Sullivan publican and later joined the Gardaí) he played minor football for Cork in the 1960s.|$|R
