2|10000|Public
2500|$|... {{execution}} lien—a lien {{on property}} seized by <b>levy</b> <b>of</b> <b>execution.</b>|$|E
50|$|In the Ottoman Empire, in {{accordance}} with the Muslim dhimmi system, Greeks, as Christians, were guaranteed limited freedoms (such as the right to worship), but were treated as second-class citizens. Christians and Jews were not considered equals to Muslims: testimony against Muslims by Christians and Jews was inadmissible in courts of law. They were forbidden to carry weapons or ride atop horses, their houses could not overlook those of Muslims, and their religious practices would have to defer to those of Muslims, in addition to various other legal limitations. Violation of these statutes could result in punishments ranging from the <b>levying</b> <b>of</b> fines to <b>execution.</b>|$|R
50|$|During his term, {{the state}} adopted {{constitutional}} amendments that reapportioned {{the legislature and}} prohibited the <b>levying</b> <b>of</b> state income and inheritance taxes. He also halted the practice of leasing state prisoners out to private businesses. During his term as governor electrocution became a legal method <b>of</b> <b>execution</b> in Florida.|$|R
40|$|The {{constitutional}} principle of a proper utilization of land {{as a national}} property is reflected, among others, in a duty of agricultural utilization of farmlands and land re-cultivated f'or agricultural purposes. Two structures of subjects can be defined upon characterizing this regulation: the State — owners of agricultural estates, and owners of these estates — all non-owners. The statutory duty of agricultural utilization of farmlands and lands re-cultivated for agricultural purposes {{is a part of}} the structure: the State — owners of agricultural estates. According to the valid legal rules, this duty does not have to be substantiated in a form of administrative decision but directly creates the obligation for owners (possessors) to perform generally defined real actions on specified cultivable lands. Fulfillment of this duty is a subject of control perfomed by a primary State's administrative agency in a period of plants' vegetation. The statutory duty on owners (possessors) of specified cultivable lands- of utilizing them in agricultural way is related to the right of State administrative agencies to control its fulfillment. Thus the duty becomes an element of potential relation under administrative law of the basic character in the aspect of substantive law. Content of the duty being an order of running effective vegetable production imposes itself in a way on that part of allowed behavior of owners (possessors) which consists in taking up vegetable production. In case of observing any action contrary to the ordered activities State administrative agencies are competent to <b>levy</b> measures <b>of</b> <b>execution.</b> In this way a potential relation under law and execution can foe defined, it is one of the types of a relation under administrative law. Digitalizacja i deponowanie archiwalnych zeszytów RPEiS sfinansowane przez MNiSW w ramach realizacji umowy nr 541 /P-DUN/ 201...|$|R
40|$|Research type Used in this {{research}} is descriptive, that is by depicting circumstance becoming focus in {{this research}} pursuant to data which have been collected. As for research title that is: “ Efisensi of inventory control of Raw Material of Pada UD. Pelita in Kabupaten Situbondo” This research target is to know storey;level <b>of</b> effectiveness <b>of</b> <b>execution</b> <b>of</b> permanent material control at UD. Pelita Di Kabupaten Situbondo. Adapun of Research usefulness want to be reached specially for company serve the purpose of input or consideration for company in executing activity produce, specially in [doing/conducting] inventory control of raw material to obtain;get optimal profit. Pursuant to result analyse supply by using method of Economic Order Quantity (EOQ) expense <b>of</b> <b>levying</b> <b>of</b> raw material covering price buy raw material, ordering expense and depository that is equal to Rp. 430. 911. 000,- From result analyse by using method JIT, hence expense <b>of</b> <b>levying</b> <b>of</b> raw material which must be released by UD. Pelita in Kabupaten Situbondo of during year 2007 that is equal to Rp. 428. 182. 500,-. Pursuant to result analyse data hit expense comparison which have been done/conducted by by using method of EOQ And Knowable JIT that system of buy of applied by raw material of UD. Pelita in More effective Kabupaten Situbondo by using method JIT, where company earn to do/conduct efficiency at the expense <b>of</b> <b>levying</b> <b>of</b> raw material that is equal to Rp. 2. 728. 500, Pursuant to conclusion from research result which have been done/conducted, hence be raised some suggestion that is the following: expected by of owner UD. Pelita in Kabupaten Situbondo in <b>levying</b> <b>of</b> raw material use method of Just In Time (JIT), [the] mentioned of because of by using the method of company earn to [do/conduct] efficiency {{at the expense of}} production of this daalam matter is expense <b>of</b> <b>levying</b> <b>of</b> raw material. The method applying as according to company condition in <b>levying</b> <b>of</b> raw material used by in course of production. At other side of company earn to do/conduct ordering expense which is adapted for by storey;level of company requirement for raw material. Expected by party of company management persist evaluation for the penerapaan method on the chance <b>of</b> in his/its <b>execution</b> earn as according to plan which have been specified by company. Form evaluation which can be done/conducted by that is with remain to pay attention to for quality of raw material to be used by effect of of depository time existence. Company party expected to do/conduct observation for <b>execution</b> <b>of</b> buy of raw material to be done/conducted, on the chance of do not there are pembengkakan at the expense of released so that earn to harm company. ...|$|R
5000|$|A fieri facias, usually {{abbreviated}} fi. fa. (Latin {{for that}} you cause to be made) is a writ <b>of</b> <b>execution</b> after judgment obtained {{in a legal}} action for debt or damages for the sheriff to <b>levy</b> on goods <b>of</b> the judgment debtor.|$|R
50|$|In 1874 in Paris, France, Hartog married Blanche <b>Levy,</b> {{daughter}} <b>of</b> R. <b>Levy,</b> <b>of</b> Paris, and had issue.|$|R
5000|$|Michael <b>Levy,</b> {{director}} <b>of</b> M and G Records, {{president of}} Jewish Care (created Baron <b>Levy,</b> <b>of</b> Mill Hill in the London Borough of Barnet) ...|$|R
5000|$|The {{difference}} between the Treason Act 1351 and the Acts of 1661 and 1795 was that while the 1351 Act required an actual <b>levying</b> <b>of</b> war, the later Acts also made it treason to [...] "compass, imagine, invent, devise, or intend" [...] a <b>levying</b> <b>of</b> war.|$|R
50|$|Schedule 2 <b>Levy</b> <b>of</b> Class 4 {{contributions}} {{with income}} tax.|$|R
5000|$|The Tamil Nadu Irrigation (<b>Levy</b> <b>of</b> Betterment Contribution) Act, 1955 ...|$|R
5000|$|<b>Levying</b> <b>of</b> charges without {{adequate}} prior notice to the customer; ...|$|R
