1|4178|Public
30|$|Shake the {{contents}} 20 times and <b>let</b> <b>stand</b> <b>until</b> phase separation.|$|E
5000|$|The 'igniter ball' (yin huo qiu) is made {{of paper}} round like a ball, inside which is put between three and five pounds of {{powdered}} bricks. Melt yellow wax and <b>let</b> it <b>stand</b> <b>until</b> clear, then add powdered charcoal and {{make it into a}} paste permeating the ball; bind it up with hempen string. When you want to find the range of anything, shoot off this fire-ball first, then other incendiary balls can follow.|$|R
6000|$|... "The worthy man is right, my son, and yet your {{forester}} deserves no punishment. I bought our scanty {{store of}} firing from him, and, to tell truth, the count {{has not yet}} been paid. The money that should have discharged it has gone to London, so I asked him to <b>let</b> it <b>stand</b> <b>until</b> the summer rents come in. Blame him not, Sir John, if, out of friendship, knowing it was naught to you, he has not bared the nakedness of our poor house." ...|$|R
6000|$|It {{was quite}} nine o'clock when the Se¤or Montefalderon and Spike {{returned}} from burying the dead. No sooner did the last put {{his foot on}} the deck of his own vessel, than he felt the fall of one of the purchases which had been employed in raising the schooner. It was so far slack as to satisfy him that the latter now floated by her own buoyancy, though it might be well to <b>let</b> all <b>stand</b> <b>until</b> morning, for the purposes of security. Thus apprised of the condition of the two vessels, he gave the welcome order to [...] "knock off for the night." ...|$|R
50|$|The EPA {{recommends}} 2 {{drops of}} 8.25% {{sodium hypochlorite solution}} (regular, unscented chlorine bleach) mixed per 1 quart/liter water and <b>let</b> <b>stand</b> 30 minutes. 2 drops of 5% solution also suffices. Double the amount of bleach if the water is cloudy, colored, or very cold. Afterwards, the water should have a slight chlorine odor, if not repeat the dosage and <b>let</b> <b>stand</b> for another 15 minutes before use.|$|R
6000|$|... "I {{guess it}} does. You {{would have had}} to pay money down for the seed, and I'll be glad to <b>let</b> the thing <b>stand</b> over <b>until</b> you have thrashed out. The price doesn't count; you can give me back as many bushels as you get." ...|$|R
5000|$|Add 1/10 oz {{water to}} the oil mixture and <b>let</b> <b>stand</b> for twenty-four hours at about [...] A cloudy layer will separate.|$|R
50|$|Deacon: <b>Let</b> us <b>stand</b> well. <b>Let</b> us <b>stand</b> in awe. <b>Let</b> us be attentive, that we {{may present}} the holy {{offering}} in peace.|$|R
50|$|In 1998, the Supreme Court <b>let</b> <b>stand</b> {{a finding}} by the NFL's {{retirement}} board that Webster's disability {{was not related}} to his football career.|$|R
5000|$|In Round 16 against North Melbourne, Hawthorn set record {{scores of}} 13.3 (81) {{for the first}} quarter and 20.7 (127) for the first half. The former record <b>stood</b> <b>until</b> 2011, and the latter <b>stood</b> <b>until</b> 2004.|$|R
50|$|This {{decision}} effectively {{ended the}} case, and <b>let</b> <b>stand</b> {{the decision that}} Smith's estate was not entitled to the money {{that had previously been}} awarded to her.|$|R
3000|$|The {{transformational}} change agent says: “Here is the standard, which I know is impossible, so <b>let’s</b> <b>stand</b> together and learn {{our way into}} {{a higher level of}} performance.” [...]...|$|R
50|$|The {{structure}} <b>stood</b> <b>until</b> 1871.|$|R
5000|$|... "When {{there is}} talk of hatred, <b>let</b> us <b>stand</b> up and talk against it. When {{there is talk}} of violence, <b>let</b> us <b>stand</b> up and talk against it." [...] -Bill Clinton ...|$|R
50|$|On Friday, October 16, 2015, the California Supreme Court {{declined}} to take Joseph's case, <b>letting</b> <b>stand</b> {{a ruling that}} a 10 year old {{should be able to}} understand his Miranda rights.|$|R
50|$|His amateur mile record would <b>stand</b> <b>until</b> 1911.|$|R
50|$|On June 24, 2013, the Supreme Court of the United States {{declined}} {{to hear the}} appeal by Mirror Worlds, thereby <b>letting</b> <b>stand</b> the district court ruling that Apple didn't infringe on any patents.|$|R
5000|$|The team set {{a school}} record for single-game assists on February 23, 1974, against [...] with 32. The record would <b>stand</b> <b>until</b> March 7, 1987. The team set the school single-game assists record of 32 on February 23, 1974, against [...] The record <b>stood</b> <b>until</b> March 7, 1987.|$|R
5000|$|The MacArthur {{line was}} to <b>stand</b> only <b>until</b> the {{conclusion}} of the Treaty of San Francisco: [...] "the so-called MacArthur line will <b>stand</b> <b>until</b> the treaty comes into force." ...|$|R
5000|$|... 1997: 51.505 kilometers. Record <b>stood</b> <b>until</b> September 16, 2016 ...|$|R
50|$|Location: It <b>stood</b> <b>until</b> 1968 at Litchard {{north of}} Bridgend.|$|R
