2|10000|Public
5000|$|Mutual <b>right</b> <b>to</b> <b>inspection</b> of a ship's cargo to only happen once ...|$|E
25|$|Most jurisdictions {{provide for}} the use of {{trademarks}} to be licensed to third parties. The licensor must monitor the quality of the goods being produced by the licensee to avoid the risk of trademark being deemed abandoned by the courts. A trademark license should therefore include appropriate provisions dealing with quality control, whereby the licensee provides warranties as to quality and the licensor has <b>rights</b> <b>to</b> <b>inspection</b> and monitoring.|$|R
50|$|The <b>right</b> <b>to</b> inspect {{documents}} in English civil procedure {{is governed by}} CPR Part 31.15. Upon written notice, the party to whom a document has been disclosed has the <b>right</b> <b>to</b> inspect that document (if such inspection would be proportionate {{given the nature of}} the case) except where the party making disclosure has the <b>right</b> <b>to</b> withhold <b>inspection.</b>|$|R
50|$|Inspection {{commission}} of Community exercises control of financial and economical activities of Community. Members of Board have no <b>right</b> <b>to</b> enter in <b>Inspection</b> commission.|$|R
5000|$|In June 2007 a St. Petersburg Court {{suspended}} {{and ordered}} The Scientology Centre St. Petersburg to close. The Centre {{had refused to}} allow government officials to sit in on confidential [...] "auditing" [...] sessions and did not hand over confidential documents from these sessions when requested. Government authorities claimed <b>to</b> have a <b>right</b> <b>to</b> these <b>inspections</b> and documents under the new NGO law. The Centre continued to operate {{at the end of}} the period covered by this report.|$|R
5|$|Norwegian Prime Minister Einar Gerhardsen {{visited the}} Soviet Union in May 1965, in which Soviet Premier Alexei Kosygin warned against the {{installation}} {{and stated that}} the Soviet Union would build a counter-station. In June, the Soviet Consul in Barentsburg came on an <b>inspection</b> <b>to</b> the installation, and on 2 July a Soviet helicopter crashed at the construction site after having, presumably unintentionally, touched a mast. Soviet demands to have permanent Soviet inspectors of the facility were rejected. The Svalbard Treaty does not include any verification procedure, and as such no signatories have the <b>right</b> <b>to</b> conduct <b>inspections.</b>|$|R
40|$|In {{developing}} its thesis, this Article {{will review the}} history and purpose of IAEA safeguards and their relation to the NPT, and then show that special inspections in the DPRK represent a transitional moment for the IAEA safeguards system. This Article will then consider two different {{arguments in favor of}} a continuing <b>right</b> <b>to</b> <b>inspections</b> even against a state exercising its <b>right</b> <b>to</b> withdraw from the NPT to escape its safeguards obligations: the first identifies circumstances under which a state would not have the <b>right</b> <b>to</b> withdraw from the NPT; and the second asserts that the effects of withdrawal from the NPT do not include the extinction of the safeguards obligations, or at least certain critical safeguards duties established through NPT adherence. The Article demonstrates {{that it is impossible to}} identify any meaningful and principled limitation to a NPT party 2 ̆ 7 s <b>right</b> <b>to</b> withdraw. It then argues that, although the IAEA 2 ̆ 7 s <b>right</b> <b>to</b> apply safeguards with respect to the nuclear activities of the withdrawing state terminates with withdrawal, a <b>right</b> <b>to</b> conduct any special inspection requested before withdrawal relating to suspect activities that occurred while the state was still a party to the NPT should survive withdrawal. This argument is framed in terms not only of general principles of treaty law articulated in the Vienna Convention of the Law of Treaties, which, for the most part, represents a codification of customary international law, but also in terms of the object and purpose of the NPT and safeguards agreements entered into by states to fulfill their NPT safeguards obligations. Finally, this Article recommends that an interpretation to this effect be reflected in the final documents of the conference to be held by the parties to the NPT in 1995 for the review and extension of the Treaty...|$|R
50|$|In England and Wales, {{the rules}} on legal {{professional}} privilege are set out in common law. The Civil Procedure Rules 1998 ('CPR') Rule 31.15 establishes a <b>right</b> <b>to</b> inspect documents in civil litigation, and provide that a party to whom a document has been disclosed (i.e. mentioned or relied upon in litigation) has a <b>right</b> <b>to</b> inspect that document (if such inspection would be proportionate {{given the nature of}} the case) - except where the party making disclosure has the <b>right</b> <b>to</b> withhold such <b>inspection.</b>|$|R
40|$|This paper {{describes}} {{changes in}} German higher {{education as a}} consequence of the reunification of East and West Germany, focusing particularly on personal evaluation of East German faculty and assessment of their scientific expertise. An introduction reviews the major historical events that have shaped the current situation. The paper states that East Germany has 55 institutions of higher education with about 37, 000 faculty members, but 90 percent of the nation's research capacity was actually located at the National Academy of Science or in special institutes where there were 15, 000 scientists, of whom most are to be integrated into the universities. The process of personal evaluation is explained, noting that methods vary among federal states and among universities, describing the documentation used in evaluations, and commenting on the <b>right</b> <b>to</b> personal <b>inspection</b> of records and the <b>right</b> <b>to</b> make a statemen...|$|R
5000|$|The {{group based}} its {{request for a}} strike against Iraq on Saddam Hussein's refusal [...] "to grant U.N. {{inspectors}} the <b>right</b> <b>to</b> conduct unfettered <b>inspections</b> of those sites where he is suspected of storing his still significant arsenal of chemical and biological munitions and his apparent determination never to relinquish {{his weapons of mass}} destruction." [...] In a letter read at a Washington news conference, Solarz called upon Clinton [...] "to adopt and implement a plan of action designed to finally and fully resolve this utterly unacceptable threat to our most vital national interests." ...|$|R
5000|$|Supporters {{of digital}} rights argue that {{managers}} of Internet traffic {{do not have}} a <b>right</b> <b>to</b> deep packet <b>inspection,</b> the automated system of analyzing what information is being transmitted, for example refusing to deliver a packet with the words [...] "bomb instructions" [...] and alerting authorities to the ISP that requested the information. They suggest that [...] "we never seem to hear" [...] about how the same instructions, including those for building nuclear devices, have been available in public libraries for decades without calls for censorship. In the late 19th century, Johann Most compiled Austrian military documents into a booklet demonstrating the use of explosives and distributed it at anarchist picnics without repercussion.|$|R
