1|93|Public
5000|$|... #Caption: <b>Rose</b> <b>stem</b> <b>sawfly</b> (Hartigia trimaculata) larva in a rose stem ...|$|E
50|$|Cephus cinctus, {{also known}} as wheat <b>stem</b> <b>sawfly,</b> is a slow flying, yellow and black coloured, {{destructive}} pest found mainly in western North America.|$|R
40|$|Inside 0 - 92 USDA program [...] 104 Wheat <b>stem</b> <b>sawflies</b> [...] 104 Soybean cyst {{nematodes}} [...] . 105 Diagnostic clinic [...] . 105 Kansas crop report [...] 105 Predicting European corn borer egg-laying [...] 106 Kansas insect survey [...] 107 Palmer {{drought index}} [...] 107 Nebraska weather data [...] 10...|$|R
40|$|During {{the past}} twenty-five years the wheat <b>stem</b> <b>sawfly,</b> Cephus cinctus Nort., {{has become one}} of the worst pests of wheat in the prairie provinces. Annual losses in the wheat-growing area of Saskatchewan have been {{estimated}} at up to seventeen million busheis (Farstad, 1945). This would seem to indicate inadequate natural control. There are, however, several native parasites of this pest, and of these Microbracon cephi Gahan is the most important. In some areas this parasite has been very effective in reducing severe sawfly infestations. [ [...] . ...|$|R
5000|$|... 1990 : Who Broke the <b>Rose's</b> <b>Stem?</b> bulgeun jangmireul geokeotna ...|$|R
40|$|The wheat <b>stem</b> <b>sawfly</b> (Cephus cinctus Norton) {{has been}} {{recognized}} as an economically significant pest since the introduction of cereal grains in the northern Great Plains of the United States and the Prairie Provinces of Canada. This {{study was conducted to}} determine whether differences in soil water holding properties were responsible for the observed differences between damaged and undamaged winter and spring wheat fields in the Golden Triangle area of north central Montana. Wheat <b>stem</b> <b>sawfly</b> activity was observed and documented in fourteen wheat fields on a privately owned and operated farm near the western boundary of Hill County, Montana. Management and cultural practices had been the same for each of the fields for the past eight years, but some fields consistently sustained greater sawfly cutting damage than neighboring fields. Soil and plant samples were taken in each of the fields. Soil properties analyzed were percentage of clay in the top twelve inches of the soil profile, depth to calcium carbonate (CaCO 3), soil textural class, and plant available water holding capacity (PAWHC) throughout the soil profile. Plant samples were taken at each site to determine sawfly larval infestation and cutting damage. A strong negative relationship existed between total PAWHC and sawfly larval infestation. Also, as total PAWHC of the soil profile decreased, the actual cutting damage to the wheat increased. Based on soil textural classes, {{it may be possible to}} make managemen...|$|R
40|$|The wheat <b>stem</b> <b>sawfly,</b> (Cephus cinctus Norton) Hymenoptera: Cephidae, {{has been}} a major pest of winter wheat and barley in the {{northern}} Great Plains for more than 100 years. The insect's cryptic nature and lack of safe chemical control options make the wheat <b>stem</b> <b>sawfly</b> (WSS) difficult to manage; thus, biological control offers the best hope for sustainable management of WSS. Entomopathogenic nematodes (EPNs) have been used successfully against other above-ground insect pests, and adding adjuvants to sprays containing EPNs has been shown to improve their effectiveness. We tested the hypothesis that adding chemical adjuvants to sprays containing EPNs will increase the ability of EPNs to enter wheat stems and kill diapausing WSS larvae. This is the first study to test the ability of EPNs to infect the WSS, C. cinctus, and test EPNs combined with adjuvants against C. cinctus in both the laboratory and the field. Infection assays showed that three different species of EPNs caused 60 - 100 % mortality to WSS larvae. Adding Penterra, Silwet L- 77, Sunspray 11 N, or Syl-Tac to solutions containing EPNs resulted in higher WSS mortality than solutions made with water alone. Field tests showed that sprays containing S. feltiae added to 0. 1 % Penterra increased WSS mortality up to 29. 1 %. These results indicate a novel control method for WSS, and represent a significant advancement in the biological control of this persistent insect pest...|$|R
50|$|Cephoidea {{is a small}} {{superfamily}} {{within the}} Symphyta, {{commonly referred to as}} <b>stem</b> <b>sawflies,</b> containing some 100 species in 10 genera in a single family, Cephidae. Most species occur in the Northern Hemisphere, especially in Eurasia. The larvae are stem borers in various plants, especially grasses, but sometimes other herbaceous plants, shrubs, or trees. A few are pests of cereal grains (e.g. Cephus cinctus, which attacks wheat). They are exceptionally slender for symphytans, often resembling other types of wasps, and they are the only Symphyta which lack cenchri. They are sometimes postulated to be the sister taxon to the Apocrita, though the Orussidae are more commonly considered such.|$|R
50|$|Trap strips are {{crops that}} are grown on fields with the {{intention}} of using them to attract insects and not have insects infest the other crops that are being grown. The insects can then be dealt with much more easily than if they were to have been spread throughout an entire field. Trap strips are very useful for dealing with the wheat <b>stem</b> <b>sawfly.</b> The sawflies will go only as far as they need to in order to plant their eggs. If solid stemmed plants are planted around the a crop field, then that’s where the sawflies will go and the sawflies’ larvae can’t survive in the solid stem.|$|R
40|$|The wheat <b>stem</b> <b>sawfly,</b> Cephus cinctus Norton (Hymenoptera: Cephidae), {{is a key}} pest {{of wheat}} in the {{northern}} Great Plains of North America, and damage resulting from this species has recently expanded southward. Current pest management practices are inadequate and uncertainty regarding geographic origin, as well as limited data on population structure and dynamics across North America impede progress towards more informed management. We examined the genetic divergence between samples collected in North America and northeastern Asia, the assumed native range of C. cinctus using two mitochondrial regions (COI and 16 S). Subsequently, we characterized the structure of genetic diversity in the main wheat producing areas in North America {{using a combination of}} mtDNA marker and microsatellites in samples collected both in wheat fields and in grasses in wildlands. The strong genetic divergence observed between North American samples and Asian congeners, in particular the synonimized C. hyalinatus, did not support the hypothesis of a recent American colonization by C. cinctus. Furthermore, the relatively high genetic diversity both with mtDNA and microsatellite markers offered additional evidence in favor of the native American origin of this pest. The genetic diversity of North American populations is structured into three genetic clusters and these are highly correlated with geography. Regarding the recent southern outbreaks in North America, the results tend to exclude the hypothesis of recent movement of damaging wheat <b>stem</b> <b>sawfly</b> populations from the northern area. The shift in host plant use by local populations appears to be the most likely scenario. Finally, the significance of these findings is discussed in the context of pest management...|$|R
50|$|Lady Tigraine of House Mantear was the Daughter-Heir of Andor. Her {{brother was}} Luc {{and her mother}} was Queen Modrellein Mantear. Her {{personal}} sigil was a woman's hand gripping a thorny <b>rose</b> <b>stem</b> with a white blossom.|$|R
