1|70|Public
50|$|All {{information}} {{adapted from}} 1984 <b>release</b> <b>sleeve</b> except where noted.|$|E
5000|$|RGXST5001 - [...] "I Hear A New World Part 2" [...] - The Blue Men (not <b>released,</b> <b>sleeves</b> only exist) ...|$|R
50|$|Lo Recordings is a label {{founded in}} 1995 by Jon Tye. They are noted for their strong visual style thanks to Non-Format, {{with whom they}} work very closely and won a D&AD award for several of their <b>releases</b> <b>sleeves.</b>|$|R
5000|$|Also <b>released</b> in <b>sleeves</b> {{featuring}} individual {{band members}} (DURANC 3) ...|$|R
50|$|The {{photograph}} {{on the original}} <b>release</b> picture <b>sleeve</b> was taken by Springsteen's sister Pamela Springsteen.|$|R
5000|$|Black vinyl with black-on-white sleeve (up to five {{versions}} exist, {{based on}} comparisons of runout matrices {{on each of}} the <b>releases</b> and <b>sleeve</b> format) ...|$|R
5000|$|Similar to {{the album}} cover for Movement, the artwork {{is taken from}} a [...] "Dinamo Futurista" [...] {{magazine}} cover done by Italian futurist designer Fortunato Depero. Notably, the UK <b>release's</b> <b>sleeve</b> came in nine versions, all with different colours: black, blue, aqua, yellow, red, brown, orange, green and purple. The second side of the single contains a shortened version of [...] "Everything's Gone Green", the full-length version of which was later released as a 12" [...] single on its own.|$|R
50|$|Due {{to line up}} {{changes during}} the eighteen-month delay between {{recording}} and <b>release,</b> the <b>sleeve</b> lists Sam Brace and Thom Mills {{as members of the}} band, with Andy Black and Dave Neale listed as additional musicians.|$|R
50|$|Let It Be {{was limited}} to a release of 500 and only <b>released</b> picture <b>sleeves</b> were simply a green tinted {{photocopy}} of the original cardboard sleeve. The original hard-cardboard sleeves are now highly sought after by collectors.|$|R
50|$|Released in UK with picture <b>sleeve.</b> <b>Released</b> in Canada {{with a cover}} sticker (12EXP 02622).|$|R
50|$|The {{first five}} Ohr <b>releases</b> {{featured}} <b>sleeves</b> by Reinhard Hippen, all with dismembered baby doll parts {{as a central}} aspect of the imagery. These were Tangerine Dream's Electronic Meditation, Bernt Witthüser's Lieder von Vampiren..., Embryo's Opal, Floh de Cologne's FliesbandbabysBeatShow, and Limbus 4's Mandalas.|$|R
50|$|Selvaggina was <b>released</b> in a <b>sleeve</b> {{identical}} to that of Coil Presents Time Machines, Megalithomania!, and the original version of Black Antlers.|$|R
50|$|May-1973: United Artists Records, UAD60037/8, UK vinyl - {{original}} issues came in 6 panel fold-out sleeve with inner <b>sleeves.</b> Subsequent <b>releases</b> in gatefold <b>sleeve.</b>|$|R
5000|$|Ian Dury and the Blockheads: Do It Yourself, {{which was}} <b>released</b> in 28 <b>sleeve</b> variations, {{all of which}} were designs {{supplied}} by Crown Wallpaper.|$|R
5000|$|In 2002, a {{compilation}} album called A Darker Bloom {{was released on}} the Cherry Red label. This <b>release</b> had <b>sleeve</b> notes written by Bramahs former colleague in The Fall, BBC DJ Marc Riley who said of them: ″Think Tom Verlaine guesting with The Doors ... {{one of the most}} engaging and intriguing bands of the 80s″ ...|$|R
