1|10|Public
5000|$|<b>Retracting</b> <b>belt</b> {{barriers}} {{affixed to}} traffic cones with reflective print.|$|E
5000|$|Retractable belt stanchions, {{often with}} a slow <b>retract</b> <b>belt</b> {{mechanism}} for safety.|$|R
50|$|In the REMUS {{project the}} MoD {{upgraded}} its Wolf fleet with Front Roll Over Protection System, rear <b>retracting</b> seat <b>belts,</b> Exmoor Trim Military {{front and rear}} anti vibration acoustic matting, wax injection of chassis / bulkhead and chassis underseal.|$|R
5000|$|Pretensioners preemptively {{tighten the}} belt {{to prevent the}} {{occupant}} from jerking forward in a crash. Mercedes-Benz first introduced pretensioners on the 1981 S-Class. In {{the event of a}} crash, a pretensioner will tighten the belt almost instantaneously. This reduces the motion of the occupant in a violent crash. Like airbags, pretensioners are triggered by sensors in the car's body, and many pretensioners have used explosively expanding gas to drive a piston that <b>retracts</b> the <b>belt.</b> Pretensioners also lower the risk of [...] "submarining", which occurs when a passenger slides forward under a loosely fitted seat belt.|$|R
50|$|April 1974 brought rounder, {{bigger and}} heavier Corollas and Sprinters. The range was rounded {{out with the}} {{addition}} of a two-door liftback. The Corollas were given E30 codes while the Sprinters were given E40 codes. A face-lift in March 1976 saw most Corolla E30 models replaced by equivalent E50 models and most Sprinter E40 models were replaced by equivalent E60 models. The E30 Corolla was fitted with <b>retracting</b> front seat <b>belts.</b>|$|R
5000|$|First series {{production}} Volkswagen with Proactive Occupant Protection (similar to Mercedes-Benz Pre-Safe), which will close {{the windows and}} <b>retract</b> the safety <b>belts</b> to remove excess slack if {{the potential for a}} forward crash is detected. Seat belt retraction in crash situation was also a feature on the mk6 for the front two seat belts. The front two <b>belts</b> would <b>retract</b> if it was buckled in, however if the occupant is relatively light, the seat belt would be gradually extended in a forward crash situation.|$|R
5000|$|... 1989 saw {{a subtle}} {{change in the}} body style of the Sentra coupe and sedan, as new larger, more rounded front corner lights were {{introduced}} to the front fenders and redesigned taillights were added to the rear fascia (station wagon retained same rear lights). The Nissan logo on the front grille was relocated from the right hand side to the center. In 1990, electrically <b>retracted</b> front shoulder <b>belts</b> were added, as well as 3-point harnesses for the rear passengers, excluding the center rear passenger.|$|R
5000|$|Automatic {{shoulder}} and lap belts — This system was mainly used in General Motors vehicles, {{though it was}} also used on some Honda Civic hatchbacks and Nissan Sentra coupés. When the door is opened, the belts go from a fixed point {{in the middle of}} the car by the floor to retractors on the door. Passengers must slide into the car under the belts. When the door closes, the seat <b>belt</b> <b>retracts</b> into the door. The belts have normal release buttons that are supposed to be used only in an emergency, but in practice are routinely used in the same manner as manual seat belt clasps.|$|R
5000|$|... 2010: [...] "Front Assist" [...] on the 2011 Volkswagen Touareg can brake {{the car to}} a stop in case of an {{emergency}} and tension the seat belts as a precautionary measure.2012: Volkswagen Golf Mk7 introduced a [...] "Proactive Occupant Protection" [...] that will close the windows and <b>retract</b> the safety <b>belts</b> to remove excess slack if the potential for a forward crash is detected. Multi-collision brake system (automatic post-collision braking system) to automatically brake the car after an accident in order to avoid a second collision. City emergency braking automatically activates brakes at low speeds in urban situations.2014: Volkswagen Passat (B8) introduces pedestrian recognition a part of the system. It uses a sensor fusion between a camera and the radar sensor. There is an [...] "emergency assist" [...] in case of a non-reacting driver, the car takes the control of the brakes and the steering until a complete stop.|$|R
5000|$|In 1986, the Tempo and the Topaz saw {{numerous}} moderate {{design changes}} which {{coincided with the}} release of the then-new and revolutionary 1986 Taurus. While generally considered the same car, the front and rear end styling was where the changes were most evident. The standard rectangular sealed-beam halogen headlamps were replaced with new, plastic composite designs which only required replacing the bulb itself. These new headlights were flush-mounted to match the redesigned front corner lights and a freshly restyled grille, which also closely matched that of the Taurus (the Topaz received a pseudo-lightbar grille styled after the Sable). For the rear end, the trunk and taillights were slightly restyled, giving the car a sharper look. Replacing the carburetor on the 2.3 L four-cylinder engine was a new Central Fuel Injection (CFI) system (the carbureted version was still available in Canada until 1987). New was an optional [...] "LX" [...] luxury trim, replacing the GLX. Other changes and improvements included the addition of automatically <b>retracting</b> front seat <b>belt</b> shoulder straps, and the addition of a new all-wheel-drive model. The Tempo AWD included special badging, interior badges. Other available features included power lumbar support, four-way power driver's seat and a cassette player.|$|R
40|$|Objectives This {{thesis is}} based on 4 papers that were all written with the same intent, which was to {{describe}} and demonstrate how epidemiologic concepts and data {{can serve as a}} basis for improved validity of probabilistic conclusions in forensic medicine (FM). Conclusions based on probability are common in FM, and the validity of probabilistic conclusions is dependant on their foundation, which is often no more than personal experience. Forensic epidemiology (FE) describes the use and application of epidemiologic methods and data to questions encountered in the practice of FM, as a means of providing an evidence-based foundation, and thus increased validity, for certain types of opinions. The 4 papers comprising this thesis describe 4 unique applications of FE that have the common goal of assessing probabilities associated with evidence gathered {{during the course of the}} investigation of traumatic injury and death.   Materials and Methods Paper I used a case study of a fatal traffic crash in which the seat position of the surviving occupant was uncertain as an example for describing a probabilistic approach to the investigation of occupant position in a fatal crash. The methods involved the matching of the occupants’ injuries to the vehicular and crash evidence in order to assess the probability that the surviving occupant was either the driver or passenger of the vehicle at the time of the crash. In the second and third papers, epidemiologic data pertaining to traffic crash-related injuries from the National Automotive Sampling System-Crashworthiness Data System (NASS-CDS) was used to assess the utility and strength of evidence, such as vehicle deformation and occupant injury of a particular severity and pattern, as a means of assessing the probability of an uncertain issue of interest. The issue of interest in Paper II was the seat position of the occupant at the time of a rollover crash (similar to Paper I), and the association that was investigated was the relationship between the degree of downward roof deformation and likelihood of a serious head and neck injury in the occupant. The analysis was directed at the circumstance in which a vehicle has sustained roof deformation on one side but not the other, and only one of the occupants has sustained a serious head or neck injury. In Paper III the issue of interest was whether an occupant was using a seat belt prior to being ejected from a passenger vehicle, when there was evidence that the seat belt could have unlatched during a crash, and thus it was uncertain whether the occupant was restrained and then ejected after the seat belt unlatched, or unrestrained. Of particular interest was the relative frequency of injury to the upper extremity closest to the side window (the outboard upper extremity [OUE]), as several prior authors have postulated that during ejection when the seat belt has become unlatched the <b>retracting</b> seat <b>belt</b> would invariably cinch around the OUE and cause serious injury. In Paper IV the focus of the analysis was the predictability of the distribution of skull and cervical spine fractures associated with fatal falls as a function of the fall circumstances. Swedish autopsy data were used as the source material for this study. Results In Paper I the indifferent pre-crash probability that the survivor was the driver (0. 5) was modified by the evidence to arrive at a post-test odds of 19 to 1 that he was driving. In Paper II NASS-CDS data for 960 (unweighted) occupants of rollover crashes were included in the analysis. The association between downward roof deformation and head and neck injury severity (as represented by a composite numerical value [HNISS] ranging from 1 to 75) was as follows: for each unit increase of the HNISS there were increased odds of 4 % that the occupant was exposed to > 8 cm of roof crush versus 15 cm compared to 30 cm of roof crush compared to < 8 cm. In Paper III NASS-CDS data for 232, 931 (weighted) ejected occupants were included in the analysis, with 497 coded as seat belt failures, and 232, 434 coded as unbelted. Of the 7 injury types included in the analysis, only OUE and serious head injury were found to have a significant adjusted association with seat belt failure, (OR= 3. 87, [95 % CI 1. 2, 13. 0] and 3. 1, [95 % CI 1. 0, 9. 7], respectively). The results were used to construct a table of post-test probabilities that combined the derived sensitivity and (1 - specificity) rates with a range of pre-crash seat belt use rates so that the results could be used in an investigation of a suspected case of belt latch failure. In Paper IV, the circumstances of 1, 008 fatal falls were grouped in 3 categories of increasing fall height; falls occurring at ground level, falls from a height of < 3 meters or down stairs, and falls from ≥ 3 meters. Logistic regression modeling revealed significantly increased odds of skull base and lower cervical fracture in the middle (< 3 m) and upper (≥ 3 m) fall height groups, relative to ground level falls, as follows: (lower cervical < 3 m falls, OR = 2. 55 [1. 32, 4. 92]; lower cervical ≥ 3 m falls, OR = 2. 23 [0. 98, 5. 08]; skull base < 3 m falls, OR = 1. 82 [1. 32, 2. 50]; skull base ≥ 3 m falls, OR = 2. 30 [1. 55, 3. 40]). Additionally, C 0 -C 1 dislocations were strongly related to fall height, with an OR of 8. 3 for the injury in a ≥ 3 m fall versus ground level. Conclusions In this thesis 4 applications of FE methodology were described. In all of the applications epidemiologic data resulting from prior FM investigations were analyzed in order to draw probabilistic conclusions that could be reliably applied to the circumstances of a specific investigation. It is hoped that this thesis will serve to demonstrate the utility of FE in enhancing evidence-based practice in FM. ...|$|R
