1|459|Public
5000|$|... #Caption: EMD SD45T-2 vs SD40T-2 <b>radiator</b> <b>fan</b> <b>motor</b> {{access doors}} ...|$|E
50|$|They {{also had}} four <b>radiator</b> <b>fans</b> {{at the center}} of the unit next to each other in line on the roof instead of two at each end. This {{external}} feature was the result of a major change in internal arrangement, the replacement of all mechanical and belt-drives for <b>radiator</b> <b>fans</b> and traction <b>motor</b> blowers with electric motors. Power for these accessories was produced by a new D14 three phase alternator built into the main DC generator, called a “companion alternator”. This device has been used in all later EMD road locomotives to the present.|$|R
5000|$|<b>Radiator</b> <b>fan</b> {{logic is}} in ECM that also {{activates}} the <b>radiator</b> <b>fan</b> relays.|$|R
50|$|Built from December 1947. Roof <b>radiator</b> <b>fans</b> {{change to}} low, pancake fans.|$|R
50|$|The 1999-2004 Jeep Grand Cherokee had a {{hydraulically}} driven <b>radiator</b> <b>fan,</b> {{powered by}} the SUV's power steering pump.|$|R
50|$|Winterization {{included}} a winterization hatch {{over one of}} the <b>radiator</b> <b>fans,</b> to direct warm air back into the engine compartment.|$|R
5000|$|Used for load compensating, <b>radiator</b> <b>fan</b> {{operation}} and is sent {{out as a}} bus message {{to be used by}} ACC.|$|R
40|$|The {{performance}} of automotive cooling {{systems can be}} improved by replacing the traditional mechanically driven <b>radiator</b> <b>fan</b> and water pump assemblies with computer controlled components. The introduction of electric servo-motors to drive the cooling components can improve temperature tracking, which should increase fuel efficiency and decrease tailpipe emissions. However, the power requirement for these electric motors increases with greater cooling demands if the radiator surface area remains constrained. For heavy-duty applications, where engines are subjected to significant cooling loads, electric motors may become impractical due to their increased size and power requirements; in these situations, hydraulic-based components are advantageous due to their high power density. The off-road equipment industry currently uses hydraulic <b>radiator</b> <b>fan</b> drives for cooling applications, while the coolant pump remains mechanically driven. Therefore, an opportunity exists to integrate the <b>radiator</b> <b>fan</b> and coolant pump into hydraulic circuits to actively meet cooling demands...|$|R
50|$|All F-units {{introduced}} {{after the}} FT have twin exhaust stacks and four electrically powered <b>radiator</b> <b>fans</b> arranged close together atop their roofs, unlike the FT's four stacks and separated and belt driven pairs of fans.|$|R
5000|$|In {{the dream}} worlds, the props and the scenery are made entirely from {{bathroom}} equipment, toothbrushes, cotton buds, soap dishes, floor tiles, sponges, shower curtains, towels, mats, <b>radiators,</b> <b>fans,</b> heating vents {{and even on}} occasion, musical instruments! ...|$|R
50|$|The {{prototype}} was refined {{during the}} second half of 1917, but the Renault FT remained plagued by <b>radiator</b> <b>fan</b> belt problems throughout the war. Only 84 were produced in 1917, but 2,697 were delivered to the French army before the Armistice.|$|R
40|$|In the past, {{comprehensive}} {{investigations have}} been made by the automobile industry and government institutions to develop new <b>radiator</b> <b>fans</b> of different geometry which generate lower noise and lower aerodynamic loss. These efforts have been conducted promarily in an empirical manner. More controlled and effective approaches are possible using modern computational methods to be described during this presentation. As a first step in the evolution of such modern analysis, an Aeroacoustic Singularity Method combined with an Optimization Code was developed at the Institute of Design Aerodynamics. This permitted conducting a research study supported by the AEG company, Germany, to improve conventional car <b>radiator</b> <b>fans.</b> In the case of periodic signals, the singularity method employs a lifting surface approach for both aerodynamics and acoustics. In the case of random signals, the method uses a semi-empirical...|$|R
50|$|Cooling: Pressurised <b>radiator</b> with <b>fan,</b> {{pump and}} {{thermostat}} control.|$|R
50|$|The XTR200 motor is a {{high-performance}} ceiling <b>fan</b> <b>motor.</b>|$|R
