1|181|Public
5000|$|... #Caption: A famille <b>rose</b> <b>plate,</b> around 1770, Musée des Arts Décoratifs, Paris ...|$|E
40|$|The {{objective}} of this work was to study the seroprevalence of brucellosis in dairy cattle in Port Sudan city, the Red Sea Sate, Sudan. Two hundred and fifteen blood samples were collected aseptically from three locations in the city bearing in mind the density of animals in each location. Sera were separated from clotted blood samples and tested by four screen tests: The modified <b>Rose</b> Bengal <b>Plate</b> Test, the <b>Rose</b> Bengal <b>Plate</b> Test, the Serum Agglutination Test and the competitive Enzyme-linked Immuosorbent Assay. The seroprevalence rate was 21 % by modified <b>Rose</b> Bengal <b>plate</b> Test and 13. 0 % by <b>Rose</b> Bengal <b>plate</b> Test. The Serum Agglutination Test detected 93 % of the 27 samples positive for the <b>Rose</b> Bengal <b>Plate</b> Test. The highest titre for SAT was 1488 IU/ml and the lowest was 20 IU/ml. Only 46 % of 46 cattle found positive with the modified <b>Rose</b> Bengal <b>plate</b> Test were confirmed by the modified Rose Bengal plateTest prove positive by the competitive Enzyme-linked Immunosorbent Assay. The {{results showed that the}} modified <b>Rose</b> Bengal <b>Plate</b> Test was the most sensitive of the four followed by the <b>Rose</b> Bengal <b>Plate</b> Test but were less sensitive than the competitive Enzyme-linked Immunosorbent Assay. These findings are discussed with respect to improved diagnosis and control of brucellosis in animals and humans in Eastern Sudan with emphasis on urban areas...|$|R
40|$|<b>Rose</b> Bengal <b>Plate</b> Test (RBPT) and Serum Agglutination Test (SAT) {{were applied}} for the {{diagnosis}} of brucellosis in 240 buffaloes maintained at organized livestock farms in Punjab, to measure their comparative efficacy. Based on RBPT and SAT, 11. 25 (n= 27) and 10. 42 percent (n= 25) buffaloes were found seropositive, 11. 67 (n 28) and 4. 58 percent (n= 11) animals showed doubtful results, while 77. 08 (n= 185) and 85 percept (n= 204) animals were found seronegative, respectively. <b>Rose</b> Bengal <b>Plate</b> Test detected higher percentages of seropositive, doubtful and seronegative cases than those detected by Serum Agglutination Test, which showed lower percentages or seropositive, doubtful and seronegative cases. This study indicated that SAT is more sensitive and reliable diagnostic test {{for the detection of}} Brucella aborlus, antibodies in buffaloes...|$|R
40|$|Objective: To {{determine}} the seroprevalence of brucellosis among cattle in some local government areas (LGA) {{of the northern}} part of Plateau State, Nigeria. Methods: Sera obtained from a total of 270 randomly selected cattle from different herds in the four selected LGAs were for Brucella antibodies using the <b>Rose</b> Bengal <b>Plate</b> Test (RBPT). Results: An overall brucellosis seroprevalence of 9. 6...|$|R
40|$|The live B. melitensis Rev. 1 strain is {{considered}} the best vaccine available for the prophylaxis of brucellosis in small ruminants, especially when used at the standard dose by the conjunctival route. In the present study a 1 ´ 10 (9) CFU dose for both sheep and goats conjunctivally vaccinated was tested to evaluate the duration of serological responses. Conjunctival vaccination with Rev. 1 performed in adult animals induced a rapid rise in serological titres as measured by <b>Rose</b> Bengal <b>Plate</b> Test (RBPT), Complement Fixation Test (CF) and Modified <b>Rose</b> Bengal <b>Plate</b> Test (MRBPT). Titres then decreased and became negative in most animals by four months after vaccination (except MRBPT). The goats responded better to the vaccination than the sheep as one month after vaccination 100 % of the goats revealed positive results to RB and RBM and 93. 4 % to FC test. The RBM {{was the one that}} detected more positive animals along the study...|$|R
5000|$|... #Caption: Limburg Cathedral, Germany. The facade, c. 1200, with polychrome plaster, {{follows the}} paired-tower model found at several Rhineland churches. The <b>rose</b> window has <b>plate</b> tracery and the spires are Rhenish helms.|$|R
30|$|The <b>Rose</b> Bengal <b>Plate</b> Test was {{conducted}} at the National Animal Health Diagnostic and Investigation Center, Sebeta (NAHDIC) for screening positive samples. Positive sera were then retested using enzyme linked immuno sorbent assay (ELISA). Samples were considered as positive for brucellosis, if they were positive for both RBPT and ELISA. The RBPT procedure was followed based on the description by Nielsen et al. (1995).|$|R
40|$|The {{antibodies}} {{active in}} the <b>Rose</b> Bengal <b>plate</b> test (RBPT) for bovine brucellosis have been studied. The results of fractionation experiments showed that RBPT activity was associated with fractions containing immunoglobulin of the IgG 1 class; other immunoglobulin classes were inactive in this respect although active in other tests. These results were confirmed by inhibition tests with specific antisera and by elution of the antibody from agglutinated RBPT antigen...|$|R
40|$|Objective: To {{determine}} {{the current status}} of Brucella antibodies in sheep in Kaduna North Senatorial District of Kaduna State, Nigeria. Methods: A total of 579 serum samples were collected (114 rams and 465 ewes) and analysed using <b>Rose</b> Bengal <b>plate</b> test (RBPT), serum agglutination test with ethylene diamine tetraacetic acid (SAT-EDTA) and lateral flow assay (LFA). Results: The prevalence of Brucella antibodies was found to be 26. 5...|$|R
25|$|File:Limburg Cathedral, West facade 20140917 1.jpg|Limburg Cathedral, Germany. The facade, c. 1200, with polychrome plaster, {{follows the}} paired-tower model found at several Rhineland churches. The <b>rose</b> window has <b>plate</b> tracery and the spires are Rhenish helms.|$|R
40|$|The {{serological}} {{responses of}} cattle to inoculation with Brucella abortus and Yersinia enterocolitica type IX were compared. Complete cross-reactions {{were found in}} serum agglutination, antiglobulin, complement fixation and <b>Rose</b> Bengal <b>plate</b> tests. The cross-reaction between Br. abortus and Y. enterocolitica IX was confirmed by immunodiffusion tests. Although antibodies specific for each organism could also be detected by immunodiffusion tests with high titre rabbit or bovine sera, these tests were insufficiently sensitive for routine diagnostic use...|$|R
40|$|This study {{presents}} the results of a number of serological tests, in particular the plate agglutination test using acid antigen stained with rose bengal, in the examination of 440 human sera for brucellosis. In addition, the sera were examined for the presence of specific antibodies of various classes (IgM and IgG). These investigations showed the <b>rose</b> bengal <b>plate</b> agglutination test to be highly specific and sensitive as a rapid method for the diagnosis of human brucellosis...|$|R
40|$|License, which permits {{unrestricted}} use, distribution, {{and reproduction}} in any medium, provided the original work is properly cited. A serological survey of Brucella antibodies {{was carried out}} in Jigawa State, northwestern Nigeria to determine the prevalence of the disease and risk factors among some pastoralist cattle herds. A total of 570 cattle of different ages and sexes selected from 20 herds across the four agroecological zones in the state were screened using <b>Rose</b> Bengal <b>Plate</b> test and competitive enzyme immunoassay. From the results 23 cattle (4. 04 %) were positive by <b>Rose</b> Bengal <b>Plate</b> Test while 22 (3. 86 %) were positive with competitive enzyme immunoassay. The infection rate was higher in females than males. Cattle older than 3 years had a higher prevalence rate compared to age groups 2 - 3 years, 1 - 2 years, and less than 1 year. The prevalence rate was higher in cattle densely populated locations. Infection rate differs between herds with larger herds presenting high prevalence due to poor sanitary practice. It is hereby recommended that public enlightenment on adequate control and preventive measures using proper sanitary practice and calf hood vaccination are required. 1...|$|R
