1|106|Public
5000|$|... (i) a <b>rocket</b> <b>parachute</b> <b>flare</b> or a {{hand flare}} showing a red light; ...|$|E
5000|$|Burning a red flare (either {{hand-held}} or aerial <b>parachute</b> <b>flare)</b> ...|$|R
50|$|Unlike {{conventional}} hand grenades, {{a personal}} grenade launcher {{can easily be}} used to launch flares as a signaling or illumination device. Like 40 mm smoke grenades, in the US military they are all of 40×46mm caliber, serving more of a use in the individual rather than the crew-served capacity. They also come in two main types, cluster <b>flares</b> and <b>parachute</b> <b>flares.</b> Cluster flares are used primarily for signaling, while <b>parachute</b> <b>flares</b> are used primarily for illumination.|$|R
5000|$|M83 Illuminating Cartridge (ILL): A {{pyrotechnic}} <b>parachute</b> <b>flare</b> shell used in night missions requiring illumination {{for assistance}} in observation.|$|R
5000|$|... #Caption: 60mm mortar shells for the U.S. M2 Mortar. Left-to-Right: M69 Training/Practice, M49A2 High Explosive, M302 White Phosphorus/Smoke, M83 Illuminating (<b>parachute</b> <b>flare)</b> ...|$|R
50|$|ILLUM is illumination, a <b>parachute</b> <b>flare</b> {{round with}} fixed timed detonation. Deployment {{height above ground}} is {{determined}} by gun elevation angle and propelling charge.|$|R
5000|$|L43 illuminating. Provides a <b>parachute</b> <b>flare</b> base ejected by {{time fuze}} (L81) at about 400 metres {{above the ground}} and burns for 30 seconds.|$|R
50|$|From 1948-49, {{she served}} in the Israel Defense Forces' science corps, {{achieving}} the rank of second lieutenant in a scientific research unit which was developing and testing <b>parachute</b> <b>flares</b> which would be dropped from planes to illuminate enemy territory.|$|R
2500|$|The bridge layout was {{significantly}} altered; the biggest alteration was {{the addition of}} a two-tier director control tower that improved visibility and gave better protection to the equipment. Vertically fired [...] "snowflake" [...] <b>parachute</b> <b>flare</b> projectors were fitted to the bridge wings.|$|R
5000|$|<b>Parachute</b> <b>flares</b> come in 4 colors: white (M583/A1), green (M661), red (M662), {{and orange}} (XM695). The {{parachute}} {{is designed to}} create a 7 feet per second descent, while the flare itself has a 40-second burn time. [...] The XM695 was never standardized.|$|R
5000|$|... 27 June 1952: VP-9 {{deployed}} to NAF Iwakuni, Japan. During this deployment a detachment {{was sent to}} Korea to aid in UN operations. VP-9 aircraft operated in conjunction with USMC F7F night-ﬁghter aircraft, dropping <b>parachute</b> <b>ﬂares</b> to light North Korean roads, bridges, supply dumps and convoys to aid the attacking F7Fs.|$|R
50|$|While HE is most {{used for}} {{suppress}}ion, smoke screens {{can also be}} used to suppress by obscuring the enemy's view, this is effective against an enemy with direct fire weapons. Modern smoke is impenetrable to modern thermal imaging sights. In peace support operations, illuminating with <b>parachute</b> <b>flares</b> has been used to thwart activities by a warring party.|$|R
5000|$|There {{are many}} {{different}} missions. The last-ditch mission is [...] "immediate suppression": Every gun in any concerned battery immediately fires whatever round and fuse is loaded, possibly from someone else's, or more than one callsign's mission. The FO may end up getting <b>parachute</b> <b>flares,</b> white phosphorus illumination, DPICM, and VT-HE rounds on the target in the same shot.|$|R
