1|116|Public
5000|$|... #Caption: A <b>punched</b> <b>ticket</b> {{issued by}} the Navi Mumbai Municipal Transport.|$|E
25|$|In 2002, Metcard {{replaced}} the functionally identical yet technically simpler <b>punch</b> <b>tickets</b> and scratchie tickets, which {{were easy to}} cheat.|$|R
50|$|Common {{applications}} are {{fruit and vegetable}} bags, hole <b>punching</b> and <b>ticket</b> <b>punching.</b>|$|R
50|$|<b>Punched</b> <b>tickets</b> {{were issued}} in BEST buses in Mumbai till 2011, {{when they were}} {{replaced}} with electronic ticketing systems. The older tickets have been reportedly used in artwork {{as well as in}} games.|$|R
50|$|For Coupon and Transfer, <b>punch</b> the <b>Tickets.</b>|$|R
5000|$|The {{station was}} {{referred}} to in Serge Gainsbourg's famous 1958 chanson [...] "Le poinçonneur des Lilas about the ennui of a Métro employee's workday. A Scopitone music video for the song was filmed in Porte des Lilas, showing the singer in a Métro uniform, <b>punching</b> <b>tickets.</b>|$|R
50|$|Single {{hole punches}} {{are often used}} to <b>punch</b> a <b>ticket,</b> which {{indicates}} it has been used, or to make confetti when creating scrapbooks and other paper crafts. For applications needing a variety of hole shapes, a <b>ticket</b> <b>punch</b> may be used. A single hole punch differs from a <b>ticket</b> <b>punch</b> in having a shorter reach and no choice of hole shape.|$|R
50|$|Origin/destination {{validation}} {{and existing}} fare control areas made smartcard implementation easier.Instead of <b>punching</b> <b>tickets</b> {{to enter and}} relinquishing tickets to exit, users tap-in and tap-out. Faregates are replaced with newer integrated designs as funding allows. In the interim, ticket collectors visually verify each transaction on low-cost stand-alone terminals, allowing rapid deployment.|$|R
50|$|In 2002, Metcard {{replaced}} the functionally identical yet technically simpler <b>punch</b> <b>tickets</b> and scratchie tickets, which {{were easy to}} cheat.In 2009, the rollout of a new smartcard ticketing system, Myki, would start the end of Metcard. in 2011, {{it was announced that}} the Metcard system would be turned off by 29 December 2012.|$|R
5000|$|A <b>ticket</b> <b>punch</b> (or control nippers) is a {{hand tool}} for {{permanently}} marking admission tickets and similar items of paper or card stock. It makes a perforation and a corresponding chad. A <b>ticket</b> <b>punch</b> resembles a hole punch, differing {{in that the}} <b>ticket</b> <b>punch</b> has a longer jaw (or [...] "reach") and the option of having a distinctive die shape. A <b>ticket</b> <b>punch</b> resembles a needle punch in that it makes a distinctive pattern in the item punched, but differs in that it makes a chad.|$|R
50|$|In July 1983, the Metropolitan Transit Authority {{was formed}} to {{integrate}} Melbourne's tram, train, and bus services. The Metropolitan Transit Authority also integrated bus, train, and tram <b>ticketing</b> using <b>punch</b> <b>tickets</b> and scratch tickets. Under the arrangements, the State Government collected all revenue {{from the sale of}} multi-modal tickets, which was then allocated to the various operators on an agreed formula basis.|$|R
50|$|Brown <b>punched</b> her <b>ticket</b> for the 2012 London Olympic Games {{after running}} through {{the line in the}} time of 54.81 seconds during the US Olympic trials.|$|R
50|$|He beat Kenneth Egan at {{the first}} qualifier, though, and <b>punched</b> his <b>ticket</b> to Beijing where he was edged out in his first bout by Ramadan Yasser.|$|R
50|$|As in Belgium {{and in the}} Netherlands {{conductors}} also {{collect and}} <b>punch</b> <b>tickets,</b> fine people for not having a valid fare and make announcements to the passengers. They also sell tickets on the trains; if the passengers have entered the train at a station where a ticket office is operating they can buy a ticket only with payment of a fine. However, if the passengers got on at a station or stop where they didn't have an option to buy a ticket, they can buy from the conductor without having to pay a fine.|$|R
5000|$|... #Caption: Asymmetrical chad {{produced}} by a railroad <b>ticket</b> <b>punch</b> ...|$|R
50|$|On December 4, 2016, {{again at}} Randall's Island, Williamsburg <b>punched</b> their <b>ticket</b> to the semi-final with a 9-1 {{thrashing}} of another Long Island Soccer Football League side, Hicksville American SC.|$|R
