1|5586|Public
5000|$|IPS <b>Punto</b> <b>de</b> <b>Salud,</b> IPS Punto de Vista, AVANCE, Salud en Casa ...|$|E
40|$|La nefropatía diabética constituye un problema <b>de</b> <b>salud.</b> La suma <b>de</b> los daños multisistémicos de la {{diabetes}} mellitus y la insuficiencia renal crónica hacen muy difícil el manejo de estos enfermos. Los altos costos humanos, sociales y económicos, justifican su prevención y tratamiento correctos. Corresponde a los servicios <b>de</b> <b>salud</b> <b>de</b> la atención primaria, tomar el papel protagónico en el tratamiento de estos enfermos, pues con sus intervenciones tempranas pueden prevenir o retrasar el desarrollo de la nefropatía diabética. Se realiza una actualización de este tema desde los <b>puntos</b> <b>de</b> vista epidemiológico, clínico, fisiopatológico y terapéutico, todo ello dentro de la organización de nuestro sistema nacional <b>de</b> <b>salud</b> The diabetic nephropathy represents a health problem. The summation of the multisystemic damages from {{diabetes mellitus}}, and the chronic kidney failure, makes managing these patients very difficult. High human, social, and economic costs, justify its prevention and correct management. Primary care health services ought {{to play the}} main role {{in the treatment of}} those patients, since with their early interventions they can prevent or delay the development of the diabetic nephropathy. An updating of this theme is carried out from the epidemiological, clinical, physiopathologial, and therapeutical points of view, all that within the organization of our national health syste...|$|R
40|$|GAVIDIA CATALAN, Valentín Valentin. Gavidia@uv. esEl manual escolar, o libro de texto, es el instrumento educativo más utilizado por el profesorado. El objetivo de este trabajo es conocer cómo se contempla la Educación para la Salud en los textos de la enseñanza primaria y secundaria. Es de suma importancia para averiguar su implantación en las aulas, así como ofrecer <b>puntos</b> <b>de</b> reflexión para los autores y editores de los textos y para el profesorado y el {{personal}} sanitario que asiste a las escuelas. Método: El análisis se ha efectuado en 297 libros de texto, de los que 123 corresponden a la educación primaria, 149 a la secundaria obligatoria y 25 al bachillerato. El estudio atiende a cinco aspectos: 1) Presencia o ausencia de la Educación para la Salud; 2) Temas <b>de</b> <b>salud</b> considerados; 3) Nivel <b>de</b> <b>salud</b> que desarrollan; 4) Incardinación en la asignatura o tratamiento transversal, y 5) Aspectos metodológicos. Para cada uno de estos aspectos se han definido una serie de criterios de análisis que permiten contemplar su nivel de desarrollo. Resultados: El 63...|$|R
40|$|Fundamentos: La ocultaci??n del h??bito tab??quico en mujeres embarazadas fumadoras cuestiona la validez de la autodeclaraci??n. Los objetivos de esta investigaci??n son determinar el ??ndice de ocultaci??n y establecer la validez del CO en aire espirado como m??todo de validaci??n bioqu??mica. M??todo: Datos obtenidos de un Ensayo Cl??nico Aleatorizado en 12 Centros <b>de</b> <b>Salud</b> <b>de</b> M??laga. 454 mujeres embarazadas fumadoras {{de las cuales}} manifestaron abandonar 104 al inicio. Medici??n del habito: autodeclaraci??n, mon??xido de carbono (CO) y cotinina en orina en las que declararon no fumar. Para el CO se obtuvo la curva ROC calcul??ndose el ??rea bajo la curva y la sensibilidad y especificidad para diferentes <b>puntos</b> <b>de</b> corte. Empleando el CO como patr??n oro se determin?? la validez de la autodeclaraci??n, en t??rminos de la sensibilidad y la especificidad. Resultados: Comparaci??n cotinina/autodeclaraci??n: tasa de ocultaci??n 15, 4...|$|R
40|$|Tomando como <b>punto</b> <b>de</b> partida la discusión de Canguilhem relativa al estatuto epistemológico del concepto <b>de</b> <b>salud,</b> pretendemos problematizar las conceptualizaciones dada por la OMS y una definición ampliada enunciada por la VIII Conferencia Nacional <b>de</b> <b>Salud</b> que se han convertido hoy en hegemónicas. Esas conceptualizaciones entienden la salud como equilibrio y adaptación al medio. Nuestro objetivo {{fundamental}} es evidenciar que el ámbito de los enunciados está en permanente cruzamiento con el ámbito de lo no discursivo, de lo institucional. Siendo así, la aceptación de determinado concepto <b>de</b> <b>salud</b> implica el direccionamiento de determinadas políticas y de ciertas intervenciones efectivas sobre el cuerpo y la vida de los sujetos. Taking as a {{point of}} departure Canguilhem's view on the epistemological status of the concept of health, the article examines current hegemonic concepts which see health as a question of balance and adjustment to the environment-including herein the conceptualization posed by the World Health Organization and the broad definition laid out during the 8 th Health Conference. The basic goal of this examination is to show that what is defined in discursive statements constitutes an ongoing interaction with the metadiscursive statements more closely related to the world of institutions and institutional action. It is therefore argued that the adoption of a particular notion of health implies the selection of a particular direction in health care policies as well as the application of a particular set of intervention strategies regarding the lives and bodies of subjects...|$|R
40|$|Este trabajo explora las posibilidades de la Carpeta Personal <b>de</b> <b>Salud</b> e identifica la brecha entre el potencial de esta herramienta y las aplicaciones que ofrece a través de Internet. Se presenta la Carpeta Personal <b>de</b> <b>Salud,</b> un {{proyecto}} vinculado a la Historia Clínica Compartida de Cataluña, que ofrece un <b>punto</b> <b>de</b> acceso a la información sobre la propia salud que es seguro, personalizado y soportado por las tecnologías de la información y la comunicación. La experiencia, realizada íntegramente por la Consejería <b>de</b> <b>Salud</b> <b>de</b> la Generalitat de Cataluña, escogió una metodología mediante encuesta anónima. Los resultados han sido de gran relevancia para obtener información sobre la idoneidad de los datos publicados y las expectativas de una herramienta dirigida a la población en general. The aims of {{this study}} were to explore the possibilities of the Personal Health Folder and to identify the gap between the potential applications of this tool and what it offers through the Internet. The Personal Health Folder is presented, a project linked to the Shared Medical Record of Catalonia (Spain), which provides citizens with an access point to information about their health insurance, customized and supported by information and communication technologies. The project was carried out by the Ministry of Health of the Government of Catalonia (Generalitat de Catalunya) and data were gathered through an anonymous survey. The results were critical to obtain information on the suitability of the published data and on the expectations of a tool aimed at the general population...|$|R
40|$|El síndrome metabólico es un conjunto de condiciones asociadas tales como dislipidemia, hipertensión arterial, intolerancia a la glucosa y obesidad. Al {{principio}} fue descrito en 1988, y en la actualidad se considera que se trata de una situación <b>de</b> <b>salud</b> que promueve la aterosclerosis. Los sistemas <b>de</b> <b>salud</b> <b>de</b> los diversos países han incrementando su interés en el síndrome metabólico, hasta el <b>punto</b> <b>de</b> reconocerlo como un problema <b>de</b> <b>salud</b> pública, no solo por su alta prevalencia, sino también por su papel como factor de riesgo para las enfermedades cardiovasculares y la diabetes mellitus, que implican una gran morbimortalidad. Se han realizado múltiples estudios para tratar de determinar su prevalencia en la población. Se ponen en práctica programas regionales de prevención de este síndrome, con el objetivo de lograr una disminución del impacto que el síndrome metabólico representa para los sistemas <b>de</b> <b>salud.</b> The {{metabolic syndrome}} (SM) is an assembly of associated {{conditions such as}} dislipidemia, arterial hypertension, intolerance to the glucose and obesity. At the beginning was described in 1988, and currently very is approved that {{is a matter of}} a situation of health that promotes the aterosclerosis. The Systems of Health of the diverse countries have increasing their interest in the SM, to the extent of recognizing it as a problem of Health Publishes, not alone by their high prevalence, but also by their role like factor of risk for the cardiovascular illnesses and the diabetes mellitus, that imply a great morbimortalidad. other illnesses that imply a great morbimortalidad. Multiple studies have been carried out to try to determine its prevalence in the population. They are put in practice regional programs of prevention of this syndrome, with the objective to achieve a decrease of the impact that the SM represents for the systems of health...|$|R
40|$|<b>SALUD</b> MENTAL DEFINICI?N <b>DE</b> <b>SALUD</b> MENTAL SALUD MENTAL POSITIVA INTRODUCCI?N DEFINICI?N CRITERIOS <b>DE</b> <b>SALUD</b> MENTAL POSITIVA CRITERIO NRO. 1 ACTITUDES HACIA SI MISMO CRITERIO NRO. 2 CRECIMIENTO Y AUTOACTUALIZACI?N CRITERIOS NRO. 3 INTEGRACI?N CRITERIO NRO. 4 AUTONOM?A CRITERIO NRO. 5 PERCEPCI?N DE LA REALIDAD CRITERIO NRO. 6 DOMINIO DEL ENTORNO LOS FACTORES <b>DE</b> LA <b>SALUD</b> MENTAL ROL <b>DE</b> LA ENFERMERA EN LA PROMOCI?N <b>DE</b> LA <b>SALUD</b> MENTAL INTRODUCCI?N PROGRAMA <b>DE</b> <b>SALUD</b> MENTAL MODALIDAD DEL TRATAMIENTO PSIQUI?TRICO PROBLEMAS EN LOS CENTROS <b>DE</b> <b>SALUD</b> MENTAL COMUNITARIA CARACTER?STICAS DE LOS PACIENTES EN EL SISTEMA <b>DE</b> <b>SALUD</b> PRINCIPALES MODALIDADES DEL TRATAMIENTO TEOR?A MODELO EVOLUCIONISTA PARA LA ENFERMER?A EN SALUD MENTAL: HILDEGARDE PEPLA...|$|R
5000|$|Gerardo Moreno: Noticias 28 Univision En <b>Punto</b> <b>de</b> las 5 PM & Sólo a las 10 PMAnchor 2015-*Rita Verreos: Noticias 28 Univision En <b>Punto</b> <b>de</b> las 5 PM & Sólo a las 10 PM ...|$|R
40|$|ANSIEDAD TIPOS DE ANSIEDAD TRASTORNO DE ANGUSTIA CON AGORAFOBIA Y SIN ELLA AGORAFOBIA SIN HISTORIA DE TRASTORNO DE ANGUSTIA TRASTORNO DE ANSIEDAD GENERALIZADA FOBIA ESPECIFICA FOBIA SOCIAL TRASTORNO OBSESIVO-COMPULSIVO TRASTORNOS POR ESTR?S POSTRAUM?TICO Y AGUDO TRASTORNO DE ANSIEDAD DEBIDO A ENFERMEDAD M?DICA TRASTORNO DE ANSIEDAD INDUCIDO POR SUSTANCIAS TRASTORNO MIXTO ANSIOSO-DEPRESIVO TRASTORNO DE ANSIEDAD NO ESPECIFICADO EPIDEMIOLOGIA ETIOLOG?A BIOL?GICA PSICOANAL?TICA TEOR?A DEL APRENDIZAJE ESTUDIOS GEN?TICOS SIGNOS Y S?NTOMAS DE LOS TRASTORNOS DE ANSIEDAD TRATAMIENTO PSICOL?GICO EVALUACI?N DE LA ESCALA DE ANSIEDAD DE ZUNG SUE?O ETAPAS DEL SUE?O CARACTER?STICAS DEL SUE?O REM TRASTORNOS PRIMARIOS DEL SUE?O PARASOMNIAS ?NDICE DE CALIDAD DEL SUE?O DE PITTSBURG RESULTADOS DISTRIBUCI?N DEL PERSONAL <b>DE</b> <b>SALUD</b> SEG?N EDAD Y SEXO DISTRIBUCI?N DEL PERSONAL <b>DE</b> <b>SALUD</b> SEG?N OCUPACI?N DISTRIBUCI?N DEL NIVEL DE ANSIEDAD EN EL PERSONAL <b>DE</b> <b>SALUD</b> DISTRIBUCI?N <b>DE</b> CALIDAD DE SUE?O EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE LA EDAD Y LOS NIVELES DE ANSIEDAD EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE EL G?NERO Y LOS NIVELES DE ANSIEDAD EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE LA OCUPACI?N Y LOS NIVELES DE ANSIEDAD EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE LA EDAD Y LA CALIDAD DE SUE?O EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE EL G?NERO Y LA CALIDAD DEL SUE?O EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE LA OCUPACI?N Y LA CALIDAD DEL SUE?O EN EL PERSONAL <b>DE</b> <b>SALUD</b> RELACI?N ENTRE CALIDAD DE SUE?O Y NIVEL DE ANSIEDAD EN EL PERSONAL DE SALU...|$|R
40|$|ATENCIÓN PRECONCEPCIONAL AUTOCUIDADO EN SALUD Y TEORÍAS ASOCIADAS OBJETIVOS DE AUTOCUIDADO AUTOCUIDADO UNIVERSAL AUTOCUIDADO DEL DESARROLLO AUTOCUIDADO EN RELACIÓN A LA DESVIACIÓN <b>DE</b> LA <b>SALUD</b> AUTOCUIDADO Y AUTOESTIMA AUTOCUIDADO PRECONCEPCIONAL DIMENSIÓN BIOLÓGICA EXAMEN <b>DE</b> <b>SALUD</b> DIMENSIÓN PSICOSOCIAL AUTOESTIMA ESTADO DE ANIMO RELACIONES INTERPERSONALES Y CIRCULO SOCIAL POLÍTICAS <b>DE</b> <b>SALUD</b> Y MUJER PROMOCIÓN <b>DE</b> LA <b>SALUD</b> EN LAS AMÉRICAS CONCEPTO <b>DE</b> <b>SALUD</b> REPRODUCTIVA RIESGO REPRODUCTIVO PRECONCEPCIONAL ENFERMEDADES MATERNAS NO TRANSMISIBLES HÁBITOS NOCIVOS: TABACO, ALCOHOL, DROGAS PLANTEAMIENTO OPERACIONAL RESULTADO...|$|R
