1|26|Public
5000|$|Major facilities: High speed track. <b>Park</b> <b>pawl</b> test ramp. Cold soak {{chambers}} ...|$|E
50|$|The <b>parking</b> <b>pawl</b> {{locks the}} {{transmission}}'s output shaft to the transmission casing by engaging a pawl (a pin) that engages in a notched wheel on the shaft, stopping it (and thus the driven wheels) from rotating. The main {{components of a}} <b>parking</b> <b>pawl</b> mechanism are the <b>parking</b> gear, <b>parking</b> <b>pawl,</b> actuator rod, cam collar, cam plate, pivot pin and <b>parking</b> <b>pawl</b> return spring. The mechanism assembly is designed so that the <b>parking</b> <b>pawl</b> tooth collides and overrides the parking gear teeth (ratchets) until a safe engagement speed for the vehicle is reached. Software controls are {{put in place to}} avoid this condition and engage the pawl only when the vehicle has come to a stand still.|$|R
50|$|The <b>parking</b> <b>pawl</b> in a {{traditional}} automatic transmission has a mechanical link to the gear lever and locks the transmission in the park position when the vehicle is set in Park. Not {{to be confused with}} the parking brake. A park by wire system uses electronic commands to actuate the <b>parking</b> <b>pawl</b> by a motor when the driver puts the vehicle in park.|$|R
50|$|The {{original}} TorqueFlite {{was designated}} A488, with a cast iron case, separate iron converter housing, and no <b>parking</b> <b>pawl.</b>|$|R
50|$|It {{is highly}} inadvisable {{to use the}} <b>parking</b> <b>pawl</b> to stop a vehicle in motion. Modern <b>parking</b> <b>pawls</b> are {{connected}} to a safety mechanism that prevents the pawl from engaging unless the vehicle is stopped first. The pawl mechanism is generally {{not strong enough to}} stop a vehicle in motion, if it engages at all. Under that much stress, the pawl may simply break off in the transmission, leading to costly repairs.|$|R
5000|$|Most vehicle {{manufacturers}} and auto mechanics do not recommend using the transmission's <b>parking</b> <b>pawl</b> {{as the sole}} means of securing a parked vehicle, instead recommending it should only be engaged after first applying the vehicle's parking brake. Constant use of only the <b>parking</b> <b>pawl,</b> especially when <b>parking</b> on a steep incline, means that driveline components, and transmission internals, are kept constantly under stress, and can cause wear and eventual failure of the <b>parking</b> <b>pawl</b> or transmission linkage. The pawl might also fail or break if the vehicle is pushed with sufficient force, if the parking brake is not firmly engaged. Replacement can be an expensive operation since it not only requires removing the transmission from the vehicle, but it's usually the first component to be installed in the gearbox case during a complete rebuild.|$|R
25|$|Starting in September 2008 Tesla {{selected}} BorgWarner {{to manufacture}} gearboxes and began equipping all Roadsters {{with a single}} speed, fixed gear gearbox (8.2752:1) with an electrically actuated <b>parking</b> <b>pawl</b> mechanism and a mechanical lubrication pump.|$|R
50|$|The district's {{territory}} covers substantial {{parts of}} the Towns of Beekman, La Grange, Pleasant Valley, Poughkeepsie, and Union Vale. The district also includes small {{parts of the}} Towns of East Fishkill, Hyde <b>Park,</b> <b>Pawling</b> and Wappinger.|$|R
50|$|A park by wire system {{engages the}} <b>parking</b> <b>pawl</b> of a {{transmission}} using electrical means. This {{can also be}} considered as part of a shift by wire system whose objective is to put the vehicle in Park, Reverse, Neutral and Drive modes without the traditional mechanical system which involves linkages between the gear shifter and the transmission. The main components of a park by wire system include the driver interface which could be a lever, switch or knob as designed by the OEM (input), an electronic control unit to host the control system and actuators (one or two motors) which are capable of driving the <b>parking</b> <b>pawl</b> {{into and out of the}} locking position with the parking gear of the transmission.|$|R
2500|$|The {{most common}} {{use for a}} parking brake is to keep a vehicle {{motionless}} when it is parked. The park brake has a ratchet or other locking mechanism that will keep it engaged until manually released. On vehicles with automatic transmissions, this is usually used in concert with a <b>parking</b> <b>pawl</b> in the transmission.|$|R
25|$|The Edward R. Murrow <b>Park</b> in <b>Pawling</b> New York {{was named}} for him.|$|R
5000|$|Even {{though the}} motor may be {{permanently}} {{connected to the}} wheels through a fixed-ratio gear and no <b>parking</b> <b>pawl</b> may be present the modes [...] "P" [...] and [...] "N" [...] will still be provided on the selector. In this case the motor is disabled in [...] "N" [...] and an electrically actuated hand brake provides the [...] "P" [...] mode.|$|R
50|$|A <b>parking</b> <b>pawl</b> is {{a device}} fitted to a motor vehicle's {{automatic}} transmission {{in order for}} it to lock up the transmission. It is engaged when the transmission shift lever selector {{is placed in the}} Park position, which is always the first position (topmost on a column shift, frontmost on a floor shift) in all cars sold in the United States since 1965 (when the order was standardised by the Society of Automotive Engineers (SAE)) through SAE J915, and in most other vehicles worldwide.|$|R
50|$|The {{most common}} {{use for a}} parking brake is to keep a vehicle {{motionless}} when it is parked. Parking brakes have a ratchet locking mechanism that will keep them engaged until a release button is pressed. On vehicles with automatic transmissions, this is usually used in concert with a <b>parking</b> <b>pawl</b> in the transmission. In vehicles with manual transmission the hand brake is also routinely used to assist in hill starts as this frees both feet for use on the accelerator and clutch pedals. A skilled motorist should {{always be able to}} get the car moving without rolling back at all.|$|R
50|$|The {{most popular}} form found in {{automobiles}} is the hydraulic automatic transmission. Similar but larger devices {{are also used}} for heavy-duty commercial and industrial vehicles and equipment. This system uses a fluid coupling {{in place of a}} friction clutch, and accomplishes gear changes by hydraulically locking and unlocking a system of planetary gears. These systems have a defined set of gear ranges, often with a <b>parking</b> <b>pawl</b> that locks the output shaft of the transmission to keep the vehicle from rolling either forward or backward. Some machines with limited speed ranges or fixed engine speeds, such as some forklifts and lawn mowers, only use a torque converter to provide a variable gearing of the engine to the wheels.|$|R
