1|99|Public
5000|$|Hemiscyllium hallstromi Whitley, 1967 (<b>Papuan</b> <b>epaulette</b> <b>shark)</b> ...|$|E
50|$|The <b>Papuans</b> <b>epaulette</b> <b>shark,</b> Hemiscyllium hallstromi, is {{a bamboo}} shark {{in the family}} Hemiscylliidae found around {{southern}} Papua New Guinea, between latitudes 7° S and 10° S, and longitude 144° E and 146° E. Its length is up to 75 cm.|$|R
5000|$|... #Caption: An <b>epaulette</b> <b>shark</b> {{on display}} in a public aquarium.|$|R
5000|$|... #Caption: <b>Epaulette</b> <b>sharks</b> {{can survive}} for hours with little oxygen.|$|R
5|$|In 2015, the {{behaviour}} of an <b>Epaulette</b> <b>shark</b> {{was filmed}} in detail by the BBC {{for the first}} episode of a new documentary series named Shark, released around the 40th anniversary of Jaws. The documentary shows an <b>Epaulette</b> <b>shark's</b> ability to walk over land, and its hunting behaviours in the ebbing tide.|$|R
5000|$|... #Caption: An <b>epaulette</b> <b>shark</b> clambering {{over the}} sand {{on a beach}} ...|$|R
5000|$|Hemiscyllium galei G. R. Allen & Erdmann, 2008 (Cenderwasih <b>epaulette</b> <b>shark)</b> ...|$|R
5000|$|Hemiscyllium halmahera G. R. Allen, Erdmann & Dudgeon, 2013 (Halmahera <b>epaulette</b> <b>shark)</b> ...|$|R
5000|$|Hemiscyllium michaeli G. R. Allen & Dudgeon, 2010 (Milne Bay <b>epaulette</b> <b>shark)</b> ...|$|R
5|$|The <b>epaulette</b> <b>shark</b> is an {{opportunistic}} predator of benthic crustaceans, worms, {{and small}} bony fish. Off Heron Island, over 90% of the <b>epaulette</b> <b>shark's</b> diet consists of polychaete worms and crabs, with juveniles taking mostly {{the former and}} adults mostly the latter. It hunts most actively at dawn and dusk, though feeding can occur {{at any time during}} the day. This shark relies mainly on its olfactory and electroreceptive senses to locate hidden prey. It is capable of sucking prey into its mouth by expanding its muscular buccal cavity. While searching for food, the <b>epaulette</b> <b>shark</b> sometimes turns over debris with its snout or thrusts its head into the sand, swallowing food items while expelling the sand grains through its gill slits. Unlike most <b>sharks,</b> the <b>epaulette</b> <b>shark</b> may chew its food for up to 510 minutes. Its teeth can be depressed to form a flat surface for crushing hard-shelled prey.|$|R
5000|$|Squalus oculatus, {{a synonym}} of Hemiscyllium ocellatum, the <b>epaulette</b> <b>shark,</b> a shark species ...|$|R
