1|10000|Public
50|$|<b>Periodic</b> <b>and</b> <b>Random</b> <b>Deviation.</b>|$|E
40|$|Fluctuations of voltage {{suppressed}} {{in power}} supplies for precise radio-frequency circuits. Circuit suppresses both <b>periodic</b> <b>and</b> <b>random</b> <b>deviations</b> of dc supply voltage from desired steady level. Highly-stable feedback voltage regulator, conditioner intended {{in conjunction with}} conventional power-supply circuit to provide constant voltage to atomic frequency standard or other precise oscillator. Without conditioners, outputs of most commercial power supplies contain fluctuations causing unacceptably-large phase and amplitude modulation of precise oscillators...|$|R
40|$|A {{power supply}} {{conditioning}} circuit that can reduce <b>Periodic</b> <b>and</b> <b>Random</b> <b>Deviations</b> (PARD) on the output voltages of dc power supplies to - 150 dBV from dc to several KHz with no measurable periodic deviations is described. The PARD {{for a typical}} commercial low noise power supply is - 74 dBV for frequencies above 20 Hz and is often much worse at frequencies below 20 Hz. The power supply conditioning circuit described here relies on the large differences in the dynamic impedances of a constant current diode and a zener diode to establish a dc voltage with low PARD. Power supplies with low PARD are especially important in circuitry involving ultrastable frequencies for the Deep Space Network...|$|R
40|$|The {{previously}} developed formalism for {{the calculation}} of asymptotic properties of multistate random walks is used to study random walks on several inhomogeneous periodic lattices, where the periodically repeated unit cell contains a number of inequivalent sites, {{as well as on}} lattices with a random distribution of inequivalent sites. We concentrate on the question whether the random walk properties depend on the spatial arrangement of the sites in the unit cell, or only on the number density of the different types of sites. Specifically we consider lattices with <b>periodic</b> <b>and</b> <b>random</b> arrangements of columns <b>and</b> lattices with <b>periodic</b> <b>and</b> <b>random</b> arrangements of anisotropic scatterers. ...|$|R
40|$|The work {{is devoted}} to the {{influence}} of pulse interference on the tone rail circuits. As a result of simulations, the mechanism of influence on the track receiver of tone rail circuit single impulse interference, <b>periodic</b> <b>and</b> <b>random</b> sequence of pulses has been investigated; «dangerous» levels of noise have been defined...|$|R
40|$|Classical and {{segmented}} PO {{methods for}} <b>periodic</b> <b>and</b> <b>random</b> surfaces will {{be compared with}} anechoic room measurements in a full rectangular measurement surface at 5. 8 GHz. This paper summarises the results for non-grazing incidence, which are the most commonly encountered in practice. This allows also estimating the material characteristics. status: publishe...|$|R
40|$|We {{investigate}} the homogenization of Stefan-type problems with oscillating diffusion coefficients. Both cases of <b>periodic</b> <b>and</b> <b>random</b> (stationary ergodic) medium are considered. The proof {{relies on the}} coincidence of viscosity solutions and weak solutions (which are the time derivatives of the solutions of an obstacle problem) for the Stefan problem. This coincidence result is of independent interest. ...|$|R
40|$|A {{model for}} {{evaluating}} various examination {{policies in the}} early diagnosis of carcinoma of the cervix is presented. <b>Periodic</b> <b>and</b> <b>random</b> examination policies are considered {{as well as a}} policy adjusted to the age distribution of the disease. The effect of inaccurate diagnosis is taken into account. The kinds of data necessary to make such models more realistic are discussed...|$|R
40|$|International audienceWe {{present a}} theory of the {{artificial}} magnetic activity in a two-dimensional (2 D) dielectric photonic crystal. We show, by using a multiple-scale approach, that if the rods constituting the crystal have Mie resonances at large enough wavelengths, the crystal can be characterized by an effective permeability exhibiting anomalous dispersion. The theoretical results are checked numerically for <b>periodic</b> <b>and</b> <b>random</b> photonic crystals...|$|R
40|$|The aim of {{this paper}} is to present a simple {{stochastic}} model that accounts for the effects of a long-memory in volatility on option pricing. The starting point is the stochastic Black-Scholes equation involving volatility with long-range dependence. We consider the option price as a sum of classical Black-Scholes price <b>and</b> <b>random</b> <b>deviation</b> describing the risk from the random volatility. By using the fact the option price <b>and</b> <b>random</b> volatility change on different time scales, we find the asymptotic equation for the derivation involving fractional Brownian motion. The solution to this equation allows us to find the pricing bands for options. ...|$|R
30|$|In {{theoretical}} aspect, {{this paper}} uses both additive and multiplicative models (Robert and Charles 1991; Zhang and Yang 2005) of the decomposition method to explore whether they fit different hydrogeological conditions. In addition, this paper uses not only trend, <b>and</b> <b>periodic</b> <b>and</b> <b>random</b> components {{to extract the}} time series, but also the seasonal component (Wang 1997) to understand the variation characteristics in the year.|$|R
40|$|We {{prove that}} the Schrödinger {{operator}} H = [...] ~ + V(x) +F-x has ax purely absolutely continuous spectrum for arbitrary constant external field F, for a large class of potentials this result applies to many <b>periodic,</b> almost <b>periodic</b> <b>and</b> <b>random</b> potentials <b>and</b> in particular to random wells of independent depth for which we prove that when F = 0, the spectrum is almost surely pure point with exponentially decaying eigenfunctions...|$|R
