1|17|Public
5000|$|Engine: Ricardo 330 hp <b>petrol</b> (<b>UK),</b> Liberty V12 300 hp (U.S.).|$|E
5000|$|MQ Jan & BF Windley, 1990. Chromian spinel-silicate {{chemistry}} in ultramafic {{rocks of}} the Jijal Complex, NW Pakistan. Jour. <b>Petrol.,</b> 31, 667-715. (<b>UK)</b> ...|$|R
50|$|In November 2013, Tesco {{announced}} they would introduce face-scanning technology developed by Amscreen {{at all of}} their 450 <b>UK</b> <b>petrol</b> stations to target advertisements to individual customers.|$|R
40|$|Effectiveness {{and effects}} of {{attempts}} to regulate the <b>UK</b> <b>petrol</b> industry. This paper evaluates the impact that investigation and regulation of the <b>UK</b> <b>petrol</b> industry has had on the profitability of the companies. Using a gross margin for petrol, we estimate a series of variable parameter autoregressive processes. The results demonstrate that the 1979 Monopolies and Mergers Commission investigation into the industry, caused a long term decline in profit margins in the industry, {{despite the fact that}} no recommendations or undertakings were made. This cannot however be said for subsequent investigations...|$|R
50|$|Stanlow has a {{refining}} {{capacity of}} 12 million {{tonnes per year}} with a barrel per day capacity of 296,000. Consequently, {{it is the second}} largest in the United Kingdom after Fawley Refinery, and produces a sixth of the <b>UK's</b> <b>petrol</b> needs. Stanlow is also a large producer for commodities such as jet fuel and diesel.|$|R
40|$|Lability {{of lead in}} soils is {{influenced}} by both soil properties and source(s) of contamination. We investigated factors controlling Pb lability in soils from (i) land adjacent to a major rural road, (ii) a sewage processing farm and (iii) an archive of the geochemical survey of London. We measured isotopically exchangeable Pb (E-values; PbE), phase fractionation of Pb by a sequential extraction procedure (SEP) and inferred source apportionment from measured Pb isotopic ratios. Isotopic ratios (206 Pb/ 207 Pb and 208 Pb/ 207 Pb) of total soil Pb fell on a mixing line between those of <b>petrol</b> and <b>UK</b> coal or Pb ore. The main determinant of the isotopically exchangeable Pb fraction (...|$|R
50|$|Almost all {{production}} motorcycles have gasoline (<b>UK</b> <b>petrol)</b> {{internal combustion}} engines. Both four-stroke and two-stroke engines are used, but strict emission laws {{have led to}} far fewer two-strokes. A few have used Wankel rotary engines, but no Wankel bikes are currently in production. Motorcycle engines can be air cooled or liquid cooled, and optionally include oil cooling as well. Some scooters use batteries and an electric motor. The 2009 TT races introduced a new category 'TTX' for electric bikes using fuel-cells or batteries.|$|R
40|$|This paper {{evaluates the}} impact that {{investigation}} and regulation of the <b>UK</b> <b>petrol</b> industry has had on the profitability of the companies. Using a gross margin for petrol, we estimate a series of variable parameter autoregressive processes. The results demonstrate that the 1979 Monopolies and Mergers Commission investigation into the industry, caused a long term decline in profit margins in the industry, {{despite the fact that}} no recommendations or undertakings were made. This cannot however be said for subsequent investigations...|$|R
40|$|This paper {{analyses}} {{the diffusion}} of unleaded <b>petrol</b> in the <b>UK.</b> Changes in the market share of unleaded fuel {{are the result of}} changes in the composition of the car stock and changes in the choice of fuel given the car stock. We find that fuel type choices have been mainly driven by changes in tastes and learning as opposed to changes in relative prices induced by fiscal incentives. However car stock composition effects dominate the diffusion process and we find that through this route regulatory changes have made major contributions to changes in the market share of unleaded fuel...|$|R
50|$|Later, the Government and {{national}} media {{went on to}} falsely claime that the panic buying had led to an incident {{in which a woman}} from Moorgate, in Acomb, near York was badly burned at home, when petrol ignited as she transferred it between containers in her kitchen on 30 March. (It is hard to associate this with recent political events. 1,382 people were burned by <b>petrol</b> in the <b>UK</b> from 2003-2007; an average of 5 per week. Hence it's extremely difficult to link the York petrol burn victim with political events, because petrol burns are so frequent.) North Yorkshire Fier Brigade issue a warning on line and on Radio 5 over the storage of petrole.|$|R
40|$|Environmental Context: There {{is growing}} concern that lead (Pb) in the {{environment}} may cause adverse health effects in human populations. We investigated the combined use of isotopic abundance and isotopic dilution {{to show how the}} origins of soil Pb and soil characteristics affect lability. Soil pH and soil Pb content are the dominant controls on Pb lability; the lability of recent petrol-derived Pb {{is similar to that of}} other sources in urban soils but greater than geogenic Pb in rural roadside topsoils. Lability of lead (Pb) in soils is influenced by both soil properties and source(s) of contamination. We investigated factors controlling Pb lability in soils from (i) land adjacent to a major rural road, (ii) a sewage processing farm and (iii) an archive of the geochemical survey of London. We measured isotopically exchangeable Pb (E-values; PbE), phase fractionation of Pb by a sequential extraction procedure (SEP) and inferred source apportionment from measured Pb isotopic ratios. Isotopic ratios (206 Pb/ 207 Pb and 208 Pb/ 207 Pb) of total soil Pb fell on a mixing line between those of <b>petrol</b> and <b>UK</b> coal or Pb ore. The main determinant of the isotopically exchangeable Pb fraction (...|$|R
40|$|The {{purpose of}} this paper is to {{describe}} the variety of contractual arrangements in use in the <b>UK</b> <b>petrol</b> industry between refiners/wholesalers and their retailers, and assess their respective properties. Section 2 provides a brief account of the evolution of the main contractual options over the past two decades, emphasizing both the process of dynamic change which characterized the choice of organizational form, and the competitive element in such choice (i. e. how changes by one company appear to set in motion a process of adjustment by other companies). The profile of each contract type is outlined in Section 3; the main differences across types are then analysed in an agency framework, with emphasis on the risk-sharing and the incentive properties – explicit and implicit – of each format (Sections 4 and 5) ...|$|R
40|$|This paper empirically tests whether Irish and <b>UK</b> <b>petrol</b> {{and diesel}} markets are characterised by {{asymmetric}} pricing behaviour. The econometric assessment uses threshold autoregressive models and a dataset of monthly refined oil and retail prices covering the period 1997 to mid- 2009. A methodological note is {{included on the}} importance of the specification of the number of possible regimes. In particular, the possibility of conflicting price pressures arising from short-run dynamics in retail prices and responses to disequilibrium errors needs to be explicitly modelled. For both the Irish and UK liquid fuel markets at national levels, the paper concludes that {{there is no evidence to}} support the “rockets and feathers” hypothesis that retail prices rise faster than they fall in response to changes in oil prices. It is still possible that a lack of competition at a more local level may accommodate asymmetric pricing behaviour. ...|$|R
