1|40|Public
5000|$|Lutjanus goldiei (W. J. Macleay, 1882) (<b>Papuan</b> <b>black</b> <b>snapper)</b> ...|$|E
5000|$|<b>Papuan</b> <b>black</b> snake (Pseudechis papuanus) (Peters & Doria, 1878) ...|$|R
50|$|The <b>Papuan</b> <b>black</b> snake (Pseudechis papuanus) is a venomous snake of {{the family}} Elapidae native to New Guinea.|$|R
50|$|The <b>Papuan</b> <b>black</b> snake is one {{of several}} species in the genus Pseudechis {{commonly}} known as black snakes. A study of mitochondrial DNA showed the <b>Papuan</b> <b>black</b> snake to be the next closest relative to a pair of Australian species, Collett's Snake (P. collettii) and the blue-bellied black snake (P. guttatus), and is likely to have had its origins in Australia and diverged from a common ancestor in the Pliocene.|$|R
50|$|The <b>Papuan</b> <b>black</b> myzomela (Myzomela nigrita) is {{a species}} of bird in the family Meliphagidae.It is found in New Guinea and nearby islands.Its natural habitat is {{subtropical}} or tropical moist lowland forests.|$|R
50|$|The {{first to}} extract <b>Papuan</b> <b>black</b> snake venom for {{scientific}} purposes was Australian herpetologist Ken Slater in the mid-1950s. He sent it to the Commonwealth Serum Laboratories in Melbourne for antivenom research.|$|R
5000|$|The black {{rockfish}} (Sebastes melanops, {{also known}} variously {{as the black}} seaperch, black bass, black rock cod, sea bass, <b>black</b> <b>snapper,</b> and Pacific Ocean perch) is a rockfish of the genus Sebastes. It is sometimes misidentified as the [...] "red snapper." ...|$|R
50|$|Belgian naturalist George Albert Boulenger {{described}} the species in 1902, naming it {{in honour of}} Norwegian zoologist Robert Collett. A young snake had been collected by Collett, and Boulenger had noted its scale pattern to be distinct from the <b>Papuan</b> <b>black</b> snake.|$|R
50|$|Collett's snake is one {{of several}} species in the genus Pseudechis {{commonly}} known as black snakes. A study of mitochondrial DNA showed it to be most closely related to the blue-bellied black snake (P. guttatus), with the <b>Papuan</b> <b>black</b> snake (P. papuanus) as the next closest relative to the pair.|$|R
50|$|DNA {{analysis}} has shown honeyeaters {{to be related}} to the Pardalotidae (pardalotes), Acanthizidae (Australian warblers, scrubwrens, thornbills, etc.), and the Maluridae (Australian fairy-wrens) in a large Meliphagoidea superfamily. The <b>Papuan</b> <b>black</b> myzomela, (Myzomela nigrita), found in Indonesia and Papua New Guinea is also known as the black honeyeater. It is a different but related species.|$|R
5000|$|Black bass {{should not}} be {{confused}} with a multitude of unrelated fish species found around the world and called [...] "bass", such as the butterfly peacock bass (Cichla ocellaris), speckled peacock bass (Cichla temensis), <b>Papuan</b> <b>black</b> bass (Lutjanus goldiei) (also called Niugini bass), Australian bass, rock bass (Ambloplites rupestris), American striped bass, and British sea bass (Dicentrarchus labrax).|$|R
25|$|Massasauga, massasauga {{rattlesnake}}, massasauga rattler (Ontario), black massasauga, <b>black</b> rattler, <b>black</b> <b>snapper,</b> gray rattlesnake (Iowa), little grey rattlesnake (Canada), muck rattler, prairie rattlesnake, spotted rattler, swamp rattler, víbora de cascabel (Mexico), dwarf prairie rattlesnake, eastern massasauga great adder, ground rattlesnake, Kirtland's rattlesnake, {{little black}} rattlesnake, Michigan point rattler (Michigan), prairie massasauga, rattlesnake, small prairie rattlesnake, snapper, swamp massasauga, swamp rattlesnake, and triple-spotted rattlesnake.|$|R
