1|10000|Public
40|$|An Act to <b>provide</b> <b>for</b> <b>Advances</b> to Settlers on Crown Lands, and {{for other}} purposes. N. p., 1052 / 1911 s. 6; 1105 / 1912 S. 2, am., 1052 / 1911, s. 4 S. 13 (1) (c), ad., 994 / 1909, s. 3 S. 13 (4), r. s., 994 / 1909, s. 4 S. 13, r. s., 1052 / 1911, s. 5 am., 1105 / 1912, s. 8. S. 18 (1) and 18 (4), am., 1105 / 1912, s. 4 (1) S. 19, r. s., 1052 / 1911, s. 7 S. 20, r. s., 1052 / 1911, s. 8 S. 23 (2) (b), am., 1105 / 1912, s. 4 (2) S. 25, am., 1105 / 1912, s. 4 (3) W. rep., 1166 / 1914, s. ...|$|E
5000|$|... "…to <b>provide</b> <b>for</b> <b>advanced</b> {{education}} <b>for</b> ministers, {{and building}} up the academic strengths of the Church through the advanced degree programs (Th.M. and Th.D.).” ...|$|R
5000|$|These {{services}} <b>provide</b> <b>for</b> <b>advanced</b> {{health care}} to all patients, as well as training {{of large numbers of}} doctors (under- and post-graduate) and all other types of clinical staff.|$|R
50|$|Scholarships: CAI <b>provides</b> {{scholarships}} <b>for</b> <b>advanced</b> education.|$|R
5000|$|Summer {{school courses}} {{dedicated}} to the topics of [...] "Entrepreneurship", [...] "Facilitation and Participatory Leadership", [...] "European Law and European Integration" [...] and [...] "European Health Care and Social Systems in Transition" [...] are <b>provided</b> <b>for</b> <b>advanced</b> students and recent graduates.|$|R
50|$|AMD TressFX is {{software}} library which <b>provides</b> <b>for</b> <b>advanced</b> simulation and rendering of hair, fur, and grass {{to be processed}} by the GPU. The initial library was written to perform well on AMD's GCN-based products. Version 3 was released on January 26, 2016 and works solely with Direct3D 11 and utilizes DirectCompute.|$|R
50|$|Microsoft Host Integration Server (a.k.a. HIS) is {{a gateway}} {{application}} providing connectivity between Microsoft Windows networks and IBM mainframe and AS/400 systems. Support is <b>provided</b> <b>for</b> SNA, 3270 (standard and Telnet 3270 TN3270E), 5250 (standard and Telnet 5250), CICS, APPC, and other IBM protocols. Support is also <b>provided</b> <b>for</b> <b>advanced</b> integration with Windows networks and software, such as linking Microsoft Message Queuing applications to IBM WebSphere MQ, binding Microsoft DTC transactions with CICS, and cross-protocol access to DB2 databases on IBM platforms.|$|R
50|$|Cairo {{is popular}} in the open source {{community}} <b>for</b> <b>providing</b> cross-platform support <b>for</b> <b>advanced</b> 2D drawing.|$|R
5000|$|As Brooklyn Prep is {{a college}} prep high school, {{students}} take {{four years of}} the major core subjects, and are <b>provided</b> opportunities <b>for</b> <b>Advanced</b> Placement and elective courses as well.|$|R
50|$|<b>Provide</b> enough {{complexity}} <b>for</b> <b>Advanced</b> Higher teaching whilst being appropriately {{useful for}} earlier teaching years.|$|R
40|$|Abstract. Current {{technological}} advances enable the modification of existing mobile telecommunications business models. In future mobile networks, mobile users {{will be able}} to choose from multiple network operators and service pro-viders. This capability requires the extension of the existing charging collection information mechanisms and billing systems to assist the oncoming mass ser-vice offering by independent service providers. In the frame of the present PhD thesis an integrated platform, that extends the existing systems to <b>provide</b> <b>for</b> <b>advanced</b> and flexible charging mechanisms and pricing policies, was de-ployed. ...|$|R
