7309|10000|Public
5|$|Apple reentered the mobile-computing {{market in}} 2007 with the iPhone. Smaller than the (not yet announced) iPad and {{featuring}} {{a camera and}} mobile phone, it <b>pioneered</b> <b>the</b> multitouch finger-sensitive touchscreen interface of Apple’s iOS mobile operating system.|$|E
5|$|David X. Li :Canadian {{qualified}} actuary who in {{the first}} decade of the 21st century <b>pioneered</b> <b>the</b> use of Gaussian copula models for the pricing of collateralized debt obligations (CDOs).|$|E
5|$|Klein Bikes was {{a bicycle}} company founded by Gary Klein that <b>pioneered</b> <b>the</b> use of large {{diameter}} aluminium alloy tubes for greater stiffness and lower weight.|$|E
5000|$|<b>Pioneer</b> or <b>The</b> <b>Pioneer</b> is <b>the</b> {{name of the}} {{following}} newspapers: ...|$|R
60|$|Colonel Kelly of <b>the</b> <b>Pioneers</b> now {{commanded}} <b>the</b> troops, and all civil powers; and Major Borradale commanded <b>the</b> <b>Pioneers.</b> <b>The</b> available force {{consisted of}} <b>the</b> four hundred <b>Pioneers,</b> and <b>the</b> Guides. Lieutenant Stewart joined them with two guns of the Kashmir battery.|$|R
50|$|<b>The</b> <b>Pioneers</b> of <b>the</b> Revolution (Pionniers de la Révolution) was a youth {{organisation}} in Burkina Faso, modelled along {{the pattern of}} <b>the</b> <b>pioneer</b> movements typically operated by communist parties, such as <b>the</b> contemporary <b>Pioneers</b> of Enver, José Martí Pioneer Organisation and Agostinho Neto <b>Pioneer</b> Organisation. <b>The</b> <b>Pioneers</b> of <b>the</b> Revolution organised children of all ages. Much like many other young pioneer movements, such as the Vladimir Lenin All-Union <b>Pioneer</b> Organisation and <b>the</b> Young <b>Pioneers</b> of China, <b>the</b> most distinct sign of <b>the</b> <b>Pioneers</b> were their red scarves, joined by rudimentary uniforms and yellow berets.|$|R
5|$|Predating Le Corbusier's work in Chandigarh, the Golconde {{dormitory}} used {{a monolithic}} concrete structure with deep overhangs and louvres {{to adapt to}} specific climatic conditions. The building <b>pioneered</b> <b>the</b> use of reinforced concrete in India.|$|E
5|$|Saroj Nalini Dutt (1887-1925) – early social {{reformer}} who <b>pioneered</b> <b>the</b> {{formation of}} educational Women's Institutes in Bengal.|$|E
5|$|During {{the early}} twentieth century, Singh {{was one of several}} South Asian women who <b>pioneered</b> <b>the</b> cause of women's rights in Britain. Although she is best remembered for her leading role in the Women's Tax Resistance League, she also participated in other women's {{suffrage}} groups, including the Women's Social and Political Union.|$|E
50|$|Bobcat {{along with}} Uncle Jamms Army, Greg Mack and Jack Patterson helped <b>pioneer</b> <b>the</b> world’s very first 24-hour Hip Hop Radio Station, 1580 KDAY {{changing}} the entire format at radio introducing and <b>pioneering</b> <b>the</b> Saturday Night Mix Show and Traffic Jam.|$|R
5000|$|... 19th Battalion (<b>Pioneers),</b> <b>The</b> Welsh Regiment (Glamorgan Pioneers) ...|$|R
5000|$|... #Caption: <b>Pioneer,</b> <b>the</b> first {{locomotive}} {{to operate}} in Chicago.|$|R
5|$|Hydro-Québec's {{electricity}} transmission system {{is an international}} power transmission system centred in Quebec, Canada. The system <b>pioneered</b> <b>the</b> use of very high voltage 735kV alternating current (AC) power lines that link the population centers of Montreal and Quebec City to distant hydroelectric power stations like the Daniel-Johnson Dam and the James Bay Project in northwestern Quebec and the Churchill Falls Generating Station in Labrador.|$|E
5|$|In 1891 the Liberal Party, led by John Ballance, came {{to power}} as the first {{organised}} political party. The Liberal Government, later led by Richard Seddon, passed many important social and economic measures. In 1893 New Zealand was the first {{nation in the world}} to grant all women the right to vote and in 1894 <b>pioneered</b> <b>the</b> adoption of compulsory arbitration between employers and unions.|$|E
