1|203|Public
50|$|Bogner’s {{most current}} novel is 99 Sycamore <b>Place</b> (<b>Brick</b> Tower, New York, 2009).|$|E
50|$|On 7 June 1954, the Canadian {{government}} <b>placed</b> <b>Brick</b> on {{the list}} of Persons of National Historic Significance.|$|R
50|$|Lazarica's masonry is {{basically}} Byzantine style: continuity of horizontal rows of dressed white sandstone with three rows of brick joints associated with thick plaster, without insisting on randomly <b>placed</b> <b>bricks.</b> A peculiar process {{was used to}} draw thick mortar joints out from the wall.|$|R
50|$|He had {{through his}} sons, similarly, <b>placed</b> <b>bricks</b> {{of gold in}} the other seven sides of the Great Stupa. Afterwards, king Dutugemunu and the people there honoured with gifts the Arahants who were seated at the four quarters, and took {{themselves}} seats to hear a Dhamma talk delivered that day by the great Arahant Piyadassī.|$|R
50|$|Arahant Cittasena {{placed a}} lump of {{fragrant}} resin in the east side upon the boundary line drawn around the Great Stūpa. Arahant Jayasena sprinkled scented water over it, and when, under the constellation of Uttarāsāëha, Supatiññhita, the minister for the festive ceremonies, <b>placed</b> <b>bricks</b> of gold together with lavish offerings over the scented water.|$|R
5000|$|Brickworks, {{another type}} of <b>place</b> where <b>bricks</b> are made, often on a larger scale, and with {{mechanization}} ...|$|R
50|$|Butterly House is a six roomed Victorian Georgian styled dwelling. It has a U-shaped hipped roof, {{originally}} shingled and now corrugated iron, with symmetrically <b>placed</b> <b>brick</b> chimneys, and is {{encircled by}} a hipped bullnosed iron verandah with simple timber columns. Brickwork is in Flemish bond, the earliest surviving {{example of this}} type in Toodyay. It has a symmetrical facade with centrally placed panelled door and French windows opening onto the verandah.|$|R
50|$|The building’s {{exterior}} and interior walls are entirely made of brick, including the columns. With {{the exception of the}} brick along the portico, which is covered with stucco, the rest of the exterior brick is exposed. The windows are almost all original, and are mostly 6/6 single hung sash windows. The house is topped by a low-pitched hip roof with architectural slate shingles and four symmetrically <b>placed</b> <b>brick</b> chimneys.|$|R
50|$|Ward Family House is a {{historic}} home located near Sugar Grove, Watauga County, North Carolina. It was built about 1897, and is a two-story, Queen Anne style frame dwelling. It is sheathed in novelty German siding and gables with five rows of diamond-edge wood shingles. Atop the roof is a cupola located between asymmetrically <b>placed</b> <b>brick</b> chimneys with stucco panels. A one-story rear ell was added in the 1980s.|$|R
25|$|Conch shells are {{occasionally}} used as {{a building}} material, either in <b>place</b> of <b>bricks,</b> or as bulk for landfill.|$|R
5000|$|II.64. After {{dividing}} the quadri-lateral in seven, one divides the transverse cord in three.II.65. In another layer one <b>places</b> the <b>bricks</b> North-pointing.|$|R
5|$|The Wallace Floyd Design Group was {{responsible}} for the station's architecture. Groundbreaking was held in August 2002; completion was originally scheduled within a year but delayed due to an unusually cold winter and the primary steel supplier going bankrupt. The station officially opened on November 22, 2004. Olver and Senator Edward Kennedy <b>placed</b> <b>bricks</b> from the 1914 Union Station into the columns of the new station. The building was named after Joseph Scelsi for his activism regarding Union Station.|$|R
50|$|During the Harvard trials, {{groups of}} termite-inspired robots {{constructed}} structures by stigmergy. That is, instead of directly communicating with each other, the robots detected features {{of their environment}} and followed simple rules for moving and <b>placing</b> <b>bricks</b> {{in response to the}} configuration of bricks that existed at a given time. The rules for constructing a given structure were designed to guarantee that different structures emerged depending on the number of robots involved and on the initial placement of bricks.|$|R
50|$|The Wallace Floyd Design Group was {{responsible}} for the station's architecture. Groundbreaking was held in August 2002; completion was originally scheduled within a year but delayed due to an unusually cold winter and the primary steel supplier going bankrupt. The station officially opened on November 22, 2004. Olver and Senator Edward Kennedy <b>placed</b> <b>bricks</b> from the 1914 Union Station into the columns of the new station. The building was named after Joseph Scelsi for his activism regarding Union Station.|$|R
50|$|Rothschild {{has been}} married three times. Her first {{marriage}} was to Alexander Hartley Platt, a doctor's son from New Jersey, took <b>place</b> at <b>Brick</b> Presbyterian Church on May 20, 1978.|$|R
5|$|As far {{as can be}} determined, between arches 2 to 21, {{the outer}} facing of the {{superstructure}} consists of four layers of brick, followed by layers of rough stonemasonry bound with mortar. In contrast, between arches 22 and 26, {{as well as in}} both ramps on either end, the facing consists of ashlar blocks. The two repaired arches 27a and 27b are differentiated from the earlier work through the use of smaller unworked stones and the incorporation of irregularly <b>placed</b> <b>brick</b> tiles. In arch 26, the lower side of the arch still features a projecting bearing used for the placement of the falsework.|$|R
5000|$|... #Caption: Effect of <b>placing</b> a porous <b>brick</b> in {{a shallow}} tray of water.|$|R
25|$|Porch gable: the {{initials}} S—G—M <b>placed</b> in separate <b>bricks</b> surrounding a brick bearing {{the image of}} a thistle.|$|R
5000|$|Many {{years later}} these {{properties}} had new owner, José Julián Arriola, who [...] "in 1828, {{donated to the}} Curia this oratorio and adjacent lands." [...] Arriola had in those <b>places</b> a <b>brick</b> kiln and lime kiln, which, later, was exploited by the Franciscan Fathers.|$|R
5000|$|The {{possession}} was <b>placed</b> {{against a}} <b>brick</b> wall, then a wrecking ball {{would be sent}} crashing into the object.|$|R
40|$|One of {{the most}} {{familiar}} brand names {{in the world of}} toys is Lego TM; the name immediately brings interlocking building blocks to mind. Interlocking blocks fit together in restricted ways. Typically, a block of order q (length q + 1) has q + 1 protrusions on its top and q + 1 indentations on its bottom, so that the indentations on the bottom of one block can lock on to the protrusions on the top of another. Here q is a positive integer, and the width and height of a block are unimportant. For q = 1 and q = 2, Figure 1 shows the q ways in which one block can sit on top of two others. Figure 1. Bricks of length q + 1, for q = 1 and q = 2. In this paper, we solve a counting problem about building stacks of such blocks, which we call bricks. We have a linear base of length m on which we can <b>place</b> <b>bricks.</b> The bricks sitting directly on the base can start at any integer position, as long as they fit on the base and don’t overlap. When two bricks are contiguous, sharing a common end, we can <b>place</b> another <b>brick</b> on top of them. Since we want the blocks to interlock, it must cover part of each brick below it. The protrusions and indentations then restrict it to q possible positions, covering a positive integer amount of each brick it rests on. Again bricks cannot overlap. We call a configuration built by these rules a q-stack...|$|R
50|$|The novel Rhum {{from the}} French writer Blaise Cendrars takes <b>place</b> in a <b>brick</b> foundry located at 14 rue de Montmorency.|$|R
