1|1842|Public
5000|$|Virgil Bogue (1846-1916), <b>municipal</b> <b>planning</b> <b>director</b> of Seattle ...|$|E
50|$|On 18 October 1994, {{there was}} a {{proposal}} to classify the old castle structure as a Imóvel de Interesse Público, under the <b>Municipal</b> <b>Director</b> <b>Plan</b> (PDM), but the structure never attained its heritage classification.|$|R
50|$|The {{beach is}} notable for its sand dunes, a {{reminder}} of the beaches of the city before the urbanization and farming. The remaining dunes, that are still several, are protected by the city council and <b>Municipal</b> <b>Director</b> <b>Plan</b> (PDM) from further development.|$|R
50|$|Prof. Wang {{studied at}} Fudan University from September 1979 to July 1983, majoring in world economy. He was the {{assistant}} director of the Institute of World Economy and Deputy Director of China Economy Research Center of Fudan University. In 1992 he was appointed to the executive deputy director and, later, director of the Institute of Economics of Shanghai <b>Municipal</b> <b>Planning</b> Commission, deputy <b>director</b> of the Research Center of Economy of Shanghai Municipal Government, deputy director and CPC secretary of Development Research Center of Municipal Government. In 1993 he became the member of Standing Committee of Shanghai Municipal People’s Congress; in 1998 a member of Chinese People's Political Consultative Conference (CPPCC) National Committee; in 2007 a member of National People’s Congress (NPC).|$|R
40|$|The {{institutionalization of}} just {{decision}} making in urban policy and planning is fundamental for the achievement of social justice in the city. In this paper we highlight the importance of generating adequate institutional conditions for the constitution of cosmopolis, Sandercock’s postmodern utopia of justice. In doing that we resort to sociological institutionalist approaches to planning and policy analysis to evaluate a specific planning practice in the Portuguese planning system. Hence, after putting forward an appropriate analytical framework we {{tell the story of}} the decision-making process in the revision of Porto’s <b>Municipal</b> <b>Director</b> <b>Plan</b> by delving through its intertwined history and evaluating it against the chosen criteria of social justice. The transcendent aim of this paper is to help to find opportunities for institutional improvements which can open the way for nonoppressive decision making and a more socially just urban future in Portugal and elsewhere. ...|$|R
40|$|The longstanding {{territorial}} {{urban planning}} {{is the focus}} of shares of public power. The Status of Cities, which regulates the articles of the constitution which deal with the federal urban policy, has been considered by some scholars, one of the biggest advances in terms of legal management and urban planning in Brazil. In its section I, The Status of cities poses as one of the instruments of territorial urban <b>planning</b> at the <b>municipal</b> level, the <b>plan</b> <b>director.</b> This, in turn, in legal terms, is to be a tool dedicated to the exclusive management of urban areas, in spite of its radius of action, in some municipalities, cover urban and non-urban - rural areas. At this point, is the question: Since this management tool incorporates the demands and environmental conflicts inherent in such private areas, not urban, but intrinsically inserted in the network configuration urban and who see suffering multiple and different pressures of the media, of the urban logic? Therefore, in this article, for it will work up to the subject, from a broader discussion about environmental injustice and inequality socio-spatial, focusing, gradually, on the issue of spatial inequalities within municipality in municipalities where verifies the existence of environmental conflicts from the rural-urban interface. In this context, the master plan is a management tool that has the potential to mediate the conflict mentioned...|$|R
50|$|Local or {{regional}} planning initiatives under the Pennsylvania <b>Municipal</b> <b>Planning</b> Code.|$|R
5000|$|... #Caption: Population pyramid for Cantabria for 2006 {{from the}} <b>municipal</b> <b>planning</b> authority.|$|R
40|$|Causes and {{consequences}} of alterations of <b>municipal</b> <b>plans</b> in Prague suburb Abstract The diploma thesis is concerned with {{town and country planning}} after the "Velvet revolution" in 1989. The surroundings of the capital are places where suburbanization takes place at present. Instruments, which can control the process of suburbanization, are very limited. Moreover there is a problem, that capital and its surroundings lay each in different administrative region. The <b>municipal</b> <b>plan</b> is currently key instrument by which can spatial development be influenced. Municipalities are therefore under pressure of private companies calling for extension of a built-up area. The aim of this thesis is to analyse causes {{and consequences}} of alterations of the <b>municipal</b> <b>plans,</b> which were procured in municipalities in the suburban territory of Prague, and to discover who are the main participants of these alterations. Keywords: town and country <b>planning,</b> alterations of <b>municipal</b> <b>plans,</b> suburbanizatio...|$|R
50|$|According to the Maricopa Association of Governments <b>Municipal</b> <b>Planning</b> Areas and Incorporated Areas Map PDF, the <b>municipal</b> <b>planning</b> {{area for}} Wickenburg {{includes}} {{a much larger}} area of land than any other planning area in the Phoenix metro area. If the city were to annex the entire area within its planning area, it would become the largest city by area in Arizona, surpassing Phoenix.|$|R
50|$|In Ohne is {{also found}} the {{municipal}} area’s only windfarm, built according to <b>municipal</b> <b>planning</b> and already realized.|$|R
