1|29|Public
50|$|Stock buyers {{can place}} an <b>MIT</b> <b>order</b> {{to buy or}} to sell.|$|E
40|$|In {{this paper}} we {{introduce}} and study a multivariate notions of mean inactivity time (MIT) functions. Basic properties of these functions are derived {{and their relationship}} to the multivariate conditional reversed hazard rate functions is studied. A partial <b>ordering,</b> called <b>MIT</b> <b>ordering,</b> of non-negative random vectors is introduced and its basic properties are presented. Its relationship to reversed hazard rate ordering is pointed out. Finally, using the <b>MIT</b> <b>ordering,</b> a bivariate and multivariate notions of IMIT (increasing mean inactivity time) class is introduced and studied...|$|R
2500|$|... 1970 – Bundesverdienstkreuz <b>mit</b> Stern <b>Order</b> of Merit of the Federal Republic of Germany ...|$|R
40|$|Abstract: Using spherical ansatz, we {{construct}} dual equations for non-abelian gauge {{fields in}} Minkowski space. The analytically continued instanton {{is shown to}} satisfy the dual equations but assumes a more ansatz. It is not the solution of <b>MIT</b> second <b>order</b> differential equation. The symmetries of the solution function space are examined. The relevant physics is reviewed...|$|R
40|$|The {{contribution}} aims to give {{a framework}} to a research, held in Brazil, about a Public Program of technology integration in the schools. The Project was about utilization of microcomputers (like XO built by <b>MIT)</b> in <b>order</b> to foster teaching and learning in urban and rural areas. The results presented in the book are about the States of Bahia, in North-East of the Country, and Santa Catarina, in the South...|$|R
5000|$|... #Caption: Christopher Reeve, {{speaking}} at an <b>MIT</b> event. In <b>order</b> {{to accommodate the}} necessary assistance Reeve required for his paralysis, the Smallville crew met him in New York to film his scenes for the show.|$|R
50|$|In 1997, Dr. Tom Consi {{introduced}} SeaPerch to the Ocean Engineering {{program at}} Massachusetts Institute of Technology (<b>MIT),</b> in <b>order</b> to interest more students in majoring in Ocean Engineering. Realizing {{the potential of}} SeaPerch to reach younger students, the MIT Sea Grant (MITSG) College Program created the SeaPerch initiative in 2003, sponsored by the Office of Naval Research. The individuals responsible for the MIT Sea Grant were Dr. Chryssostomos Chryssostomidis, MITSG Director, and Brandy Wilbur, Educational Coordinator.|$|R
2500|$|On 10 December 2007, the Video Appeals Committee {{overruled}} the BBFC by four {{votes to}} three. However, On 17 December, the BBFC challenged the VAC {{decision in the}} High Court at the Royal Courts of Justice, claiming that the VAC had overruled them based on a [...] "misinterpretation of the law" [...] as {{laid out in the}} Video Recordings Act of 1984. This challenge superseded the VAC decision that the game could be classified, and halted any possibility of it going on sale. On 24 January 2008, the BBFC won their case in the High Court. Presiding Justice Mitting agreed with the BBFC's argument that the VAC had erred when considering whether the game could be considered harmful to minors. Whereas the VAC interpreted this as [...] "actual harm", the BBFC and Mitting believed it referred to [...] "potential harm and risk of harm". The BBFC also argued that the VAC based its decision on whether or not the game would have a [...] "devastating effect on society", and argued that this [...] "harm threshold" [...] was too high. <b>Mitting</b> <b>ordered</b> that the same seven member panel review their findings, and whatever decision they reach the second time would stand. The VAC did so, but they returned with exactly the same result as the first time - four votes to three in favor of classifying the game. The game was ultimately released on PS2, PSP and Wii on 31 October 2008 with an 18 certificate, a year after the US release.|$|R
40|$|Given {{that the}} US excels in {{innovation}} and venture capital financing, how do young firms scale-up their operations {{and why do}} so many manufacturing firms have trouble growing? The authors look at high-tech spinoff companies from <b>MIT</b> in <b>order</b> to see the limitations even these privileged companies face. They identify a “learning by building” process through which firms use prototype manufacturing to develop commercial products. But, even these MIT spinoffs face an “inflection band” in which venture capital is insufficient to scale-up and other funding sources can be scarce, leading firms to move offshore. The authors suggest a public interest in finding ways to help firms scale production in the United States...|$|R
50|$|He {{employed}} the electron accelerator facility at <b>MIT</b> in <b>order</b> to initiate five electron runs, with electrons of kinetic energies between 0.5 and 15 MeV. These electrons were {{produced by a}} Van de Graaff generator and traveled a distance of 8.4 m, until they hit an aluminium disc. First, the time of flight of the electrons was measured in all five runs - the velocity data obtained were {{in close agreement with}} the relativistic expectation. However, at this stage the kinetic energy was only indirectly determined by the accelerating fields. Therefore, the heat produced by some electrons hitting the aluminium disc was measured by calorimetry in order to directly obtain their kinetic energy - those results agreed with the expected energy within 10% error margin.|$|R
5000|$|Stevens {{defended his}} {{doctoral}} thesis in 1952; his doctoral committee included his adviser Leo Beranek, {{as well as}} J. C. R. Licklider and Walter A. Rosenblith. [...] After receiving his doctorate, Stevens {{went to work at}} Bolt, Beranek and Newman (now BBN Technologies) in Harvard Square. [...] In the early 1950s, Beranek decided to retire from the <b>MIT</b> faculty in <b>order</b> to work full-time at BBN. He knew that Stevens loved to teach, so he encouraged Stevens to apply for a position on the MIT faculty. Stevens did so, and joined the faculty in 1954.|$|R
