1|88|Public
5000|$|Metering system: 8-segment {{honeycomb}} <b>metering,</b> <b>spot</b> metering.|$|E
50|$|<b>Spot</b> <b>meter</b> and <b>Spot</b> focus are {{possible}} {{thanks to a}} touch-sensitive LCD screen, employed on most modern Sony consumer camcorders.|$|R
50|$|Parking is {{available}} at the Government Center Garage at variable rates and there are several gravel and paved lots nearby that charge a flat rate between $5-$10. Parking {{is available}} on the street and payable through meters or the PayByPhone app. Be aware that Fort Lauderdale Parking Enforcement strictly enforces <b>metered</b> <b>spots.</b>|$|R
50|$|Another {{example of}} <b>spot</b> <b>{{metering}}</b> usage {{would be when}} photographing the moon. Due to the very dark nature of the scene, other metering methods tend to overexpose the moon. <b>Spot</b> <b>metering</b> will allow for more detail to be brought out in the moon while underexposing {{the rest of the}} scene. More commonly, <b>spot</b> <b>metering</b> is used in theatre photography, where the brightly lit actors stand before a dark or even black curtain or scrim. <b>Spot</b> <b>metering</b> only considers the actors in this case, while ignoring the overall darkness of the scene.|$|R
50|$|Olympus 35SP is a 35 mm {{rangefinder}} camera made by Olympus in Japan. It is {{the only}} 35mm rangefinder with a dual center-weighted average <b>metering</b> and <b>spot</b> <b>metering</b> system. Metering is also available in manual mode, which is quite unusual amongst Japanese rangefinder cameras of this era.|$|R
50|$|This mode meters {{a larger}} area than <b>spot</b> <b>metering</b> (around 10-15% {{of the entire}} frame), and is {{generally}} used when very bright or very dark areas {{on the edges of}} the frame would otherwise influence the <b>metering</b> unduly. Like <b>spot</b> <b>metering,</b> some cameras can use variable points to take readings from, (in general autofocus points), or have a fixed point in the centre of the viewfinder. Partial metering is found mostly on Canon cameras.|$|R
50|$|With <b>spot</b> <b>metering,</b> {{the camera}} will only measure {{a very small}} area of the scene (between 1-5% of the {{viewfinder}} area). This will by default be the very centre of the scene. The user can select a different off-centre spot, or to recompose by moving the camera after <b>metering.</b> The first <b>spot</b> <b>meter</b> was built by Arthur James Dalladay, editor of The British Journal of Photography in about 1935 and described it in the BJP Almanac of 1937 on pages 127 to 138.|$|R
5000|$|Zebras, false colour, histogram, waveform, <b>spot</b> <b>meter,</b> {{vectorscope}} ...|$|R
50|$|Since 1986 the SPOT {{family of}} {{satellites}} has been orbiting the Earth {{and has already}} taken more than 10 million high quality images. SPOT 1 was launched with the last Ariane 1 rocket on February 22, 1986. Two days later, the 1800 kg SPOT 1 transmitted its first image with a spatial resolution of 10 or 20 <b>meters.</b> <b>SPOT</b> 2 joined SPOT 1 in orbit on January 22, 1990, on the Ariane 4 maiden flight, and SPOT 3 followed on September 26, 1993, also on an Ariane 4.|$|R
5000|$|Zebras, false colour, RAW histogram, waveform, <b>spot</b> <b>meter,</b> {{vectorscope}} ...|$|R
50|$|Some light <b>meters</b> (e.g., Pentax <b>spot</b> <b>meters)</b> {{indicate}} {{directly in}} EV at ISO 100. Some other meters, especially digital models, can indicate EV for the selected ISO speed. In most cases, {{this difference is}} irrelevant; with the Pentax meters, camera settings usually are determined using the exposure calculator, and most digital meters directly display shutter speeds and -numbers.|$|R
5000|$|The [...] "Manual" [...] mode metered in {{the central}} microprism collar area only (roughly 2% of the field) - giving the <b>spot</b> <b>metering</b> in the camera's model name. Information on the <b>spot</b> <b>metered</b> value was {{provided}} on an LCD bar-graph version of the older match-needle system used on the OM2n MD. Both shutter speed and aperture were under the photographer's control.|$|R
