1|10000|Public
5000|$|Electronics Technology, Computer <b>Maintenance</b> <b>Level</b> <b>I</b> Certificate ...|$|E
5000|$|Electromechanical Technology, <b>Maintenance</b> Technician Specialty, <b>Level</b> <b>I</b> Certificate ...|$|R
5000|$|Certified Approved Training Organization (ATO) by the CAAP Level II AACCUP accredited: Aeronautical Engineering and Aircraft <b>Maintenance</b> Technology <b>Level</b> <b>I</b> AACCUP acccredited: Aviation Electronics Technology ...|$|R
50|$|Without {{extensive}} configuration it {{is capable}} of automatically downloading, when available, entire <b>maintenance</b> <b>levels</b> and the latest security updates. It is also capable of comparisons against currently installed software, fix repositories and <b>maintenance</b> <b>levels.</b>|$|R
5000|$|... 4. And {{also provide}} mility {{helicopter}} line <b>maintenance,</b> depot <b>level</b> <b>maintenance</b> and professional <b>level</b> <b>maintenance</b> for following helicopters.Bell UH-1H/TH-67/OH-58D、Boeing CH-47 Chinook Helicopter、Sikorsky S-70C.|$|R
30|$|According to the {{analysis}} above, the operation and <b>maintenance</b> <b>level</b> of this region cannot satisfy the safety standard requirements; especially, there are two lines (Line 7, 54) which need to be improved, so the operation and <b>maintenance</b> <b>level</b> of this region should be upgraded.|$|R
40|$|This paper {{focuses on}} single machine {{scheduling}} subject to machine deterioration. The current maintenance {{state of the}} machine is determined by a <b>maintenance</b> <b>level.</b> While jobs are processed this <b>maintenance</b> <b>level</b> drops by a certain, possibly job-dependent, amount. A <b>maintenance</b> <b>level</b> of less than zero {{is associated with the}} machine’s breakdown and is therefore forbidden. Consequently, schedule maintenance activities that raise the <b>maintenance</b> <b>level</b> again may become necessary and have to be scheduled additionally. In what follows, two general types of maintenance activities are distinguished. In the full maintenance case, maintenance activities are always executed until the machine has reached the maximum <b>maintenance</b> <b>level.</b> In contrast to this, the partial maintenance case allows maintenance activities of individual duration. By combining both cases with regular objective functions such as minimization of maximum tardiness, minimization of the sum of completion times, or minimization of the number of tardy jobs, we obtain a new family of specific single-stage scheduling problems. Besides motivating and introducing these problems, the present paper analyzes the computational complexity of general and specific cases...|$|R
40|$|We {{consider}} the single machine scheduling problem with job-dependent machine deterioration. In the problem, {{we are given}} a single machine with an initial non-negative <b>maintenance</b> <b>level,</b> {{and a set of}} jobs each with a non-preemptive processing time and a machine deterioration. Such a machine deterioration quantifies the decrement in the machine <b>maintenance</b> <b>level</b> after processing the job. To avoid machine breakdown, one should guarantee a non-negative <b>maintenance</b> <b>level</b> at any time point; and whenever necessary, a maintenance activity must be allocated for restoring the machine <b>maintenance</b> <b>level.</b> The goal of the problem is to schedule the jobs and the maintenance activities such that the total completion time of jobs is minimized. There are two variants of maintenance activities: in the partial maintenance case each activity can be allocated to increase the machine <b>maintenance</b> <b>level</b> to any level not exceeding the maximum; in the full maintenance case every activity must be allocated to increase the machine <b>maintenance</b> <b>level</b> to the maximum. In a recent work, the problem in the full maintenance case has been proven NP-hard; several special cases of the problem in the partial maintenance case were shown solvable in polynomial time, but the complexity of the general problem is left open. In this paper we first prove that the problem in the partial maintenance case is NP-hard, thus settling the open problem; we then design a 2 -approximation algorithm...|$|R
40|$|An {{integrated}} {{model for the}} joint optimization of the <b>maintenance</b> <b>level</b> and the economic design of x-control chart is presented. This is done for a deteriorating process where the in-control period follows a general probability distribution with an increasing hazard rate. In the proposed model, preventive maintenance reduces the shift rate to an out-of-control state by an amount proportional to the preventive <b>maintenance</b> <b>level.</b> An example of a Weibull shock model with increasing hazard rate is used to illustrate {{the effect of the}} <b>maintenance</b> <b>level</b> on quality control costs. A comparison between uniform and non-uniform schemes is made both with an...|$|R
5000|$|Sijil Kemahiran Malaysia (SKM) Electrical Installation and <b>Maintenance</b> <b>Level</b> 2 & 3 ...|$|R
5000|$|Concurrent I/O (CIO) feature {{introduced}} for JFS2 {{released in}} <b>Maintenance</b> <b>Level</b> 01 in May 2003 ...|$|R
5000|$|The {{worldwide}} economic crisis, and resultant austere government budgets, suddenly reduced {{available funds}} by nearly 50%, bringing all Polish efforts down to merest <b>maintenance</b> <b>levels.</b>|$|R
40|$|This paper {{investigates the}} {{relative}} <b>maintenance</b> <b>levels</b> of owner-and renter-occupied housing by examining their short- and long-run appreciation rates. We modify the standard repeat-sales estimation procedure {{to test whether}} owner-occupied housing appreciates faster than renter-occupied housing. This procedure holds constant all structural factors, except for aging; hence, appreciation is estimated net of physical depreciation (i. e., routine aging, deficient and deferred maintenance). We find only weak {{evidence to support the}} notion that long-term rates of appreciation (and <b>maintenance</b> <b>levels)</b> are substantially different between owner- and renter-occupied housing. ...|$|R
5000|$|For example, [...] "10.2.0.1 for 64-bit Solaris" [...] means: 10th {{major version}} of Oracle, <b>maintenance</b> <b>level</b> 2, Oracle Application Server (OracleAS) 0, level 1 for Solaris 64-bit.|$|R
25|$|Once {{remission}} is induced, <b>maintenance</b> <b>levels</b> can be used: sulfasalazine 2g/day, mesalamine 1.2-2.4g/day, or olsalazine 1g/day. Patients on {{high dose}} sulfasalazine require folic supplementation (1mg/day) because it inhibits folate absorption.|$|R
30|$|The time {{standards}} of the operation and <b>maintenance</b> <b>level</b> are: 10  h for breakdown maintenance; 5  h for manual reconstruction; 20  min for remote control reconstruction and 60 s for automatic switching.|$|R
30|$|We {{performed}} a 4 -day-rush protocol on 2 {{of our patients}} (patients numbered 1 and 2) who had developed an anaphylaxis due to venom immunotherapy. One of these patients had developed a monthly <b>maintenance</b> <b>level,</b> while the other one had an initial build-up phase anaphylaxis. One patient who had received an immunotherapy due to HDM had a monthly <b>maintenance</b> <b>level,</b> whereas two patients had developed an initial build-up phase anaphylaxis (patients numbered 4, 5 and 6). Three of the patients who had anaphylaxis during the immunotherapy had also developed papular urticarial lesions during reaction (patients numbered 1, 6, and 7).|$|R
50|$|Once {{remission}} is induced, <b>maintenance</b> <b>levels</b> can be used: sulfasalazine 2 g/day, mesalamine 1.2-2.4 g/day, or olsalazine 1 g/day. Patients on {{high dose}} sulfasalazine require folic supplementation (1 mg/day) because it inhibits folate absorption.|$|R
50|$|Construction and <b>maintenance</b> <b>levels</b> vary {{substantially}} {{along the}} highway. The roadway is unpaved in some areas, but otherwise paved {{most of the}} way. The road is heavily damaged in places by erosion, earthquakes, landslides, and avalanches.|$|R
5000|$|The {{tolerances}} of each parameter {{varies by}} the Track {{class of the}} track being measured. In the United States, geometry cars generally classify each defect as either [...] "Class II" [...] or [...] "Class I" [...] (though the exact name may vary by the railroad). A class II defect {{is known as a}} <b>maintenance</b> <b>level</b> defect, meaning that the track doesn't meet a particular railroad's own standards. Each railroad has their own standard for a <b>maintenance</b> <b>level</b> defect. A class I defect is a defect in violation of the Federal Railroad Administration's (FRA) track safety standards. Railroads must fix these defects within {{a certain period of time}} after their discovery or else they risk being fined.|$|R
5000|$|At the top level, these {{hierarchies}} {{are organized}} into 25 beginner [...] "trees" [...] for nouns and 15 for verbs (called lexicographic files at a <b>maintenance</b> <b>level).</b> All {{are linked to}} a unique beginner synset, [...] "entity".Noun hierarchies are far deeper than verb hierarchies ...|$|R
40|$|BACKGROUND: In {{combination}} with everolimus (EVL), cyclosporine A (CsA) {{may be used}} at low exposure, so {{reducing the risk of}} renal dysfunction in renal transplant recipients (RTR). We evaluated whether higher exposure of EVL could allow a further reduction of CsA. METHODS: De novo RTR were randomized to standard exposure EVL (C 0 3 - 8 ng/mL) with low-concentration CsA (C 2 <b>maintenance</b> <b>levels</b> 350 - 500 ng/mL, group A) or higher EVL exposure (C 0 8 - 12 ng/mL) with very low-concentration CsA (C 2 <b>maintenance</b> <b>levels</b> 150 - 300 ng/mL, group B). The primary endpoints were 6 -month creatinine clearance (CrCl) and biopsy-proven acute rejection (BPAR) rate. After 6 months, patients were followed up (observational extension) to 12 months. RESULTS: Two hundred eighty-five RTR (97...|$|R
5000|$|So, the BV of {{a protein}} {{is related to}} the amount of protein given. BV is {{measured}} at <b>levels</b> below the <b>maintenance</b> <b>level.</b> This means that as protein intake goes up, the BV of that protein goes down. For example, milk protein shows a BV near 100 at intakes of 0.2 g/kg. As protein intake increases to roughly <b>maintenance</b> <b>levels,</b> 0.5 g/kg, BV drops only around 70. [...] Pellet et al., concluded that [...] "biological measures of protein quality conducted at suboptimal levels in either experimental animals or human subjects may overestimate protein value at maintenance levels." [...] As a result, while BV may be important for rating proteins where intake is below requirements, it has little bearing on individuals with protein intakes far above requirements.|$|R
30|$|<b>Level</b> <b>I,</b> {{systematic}} review of <b>level</b> <b>I</b> and II studies.|$|R
