1|40|Public
5000|$|... #Caption: Typical TO-3 <b>mounting</b> <b>profile,</b> with {{insulator}} from chassis ...|$|E
5000|$|... #Caption: <b>Mount</b> Stanford's <b>profile</b> from <b>Mount</b> Gould to the north, May 2009.|$|R
5000|$|Today Oberhausen {{presents}} short {{films and}} videos originating {{from a wide}} range of formal, cultural and social backgrounds. Large-scale special programmes take up a different theme each year, most recently “Shooting Animals. A Brief History of Animal Film” (2011), [...] "Memories Can't Wait. Film without Film" [...] (2014) and [...] "The Third Image. 3D Cinema as Experiment (2015). The festival also maintains a Video Library featuring a large selection of recent international short films, regularly <b>mounts</b> <b>profile</b> programmes dedicated to individual artists, and each year hosts a discussion series called “Podium”.|$|R
5000|$|... #Caption: Two-tier rear wing, {{with lower}} <b>profile</b> <b>mounted</b> to enhance {{diffuser}} airflow.|$|R
5000|$|<b>Mount</b> Carmel's IHSA <b>Profile</b> [...] Only non-Indiana School in an IHSAA-sanctioned conference. Departed disbanded North Egypt Conference of Illinois.|$|R
40|$|Deviations of {{form of the}} {{grinding}} wheel are transferred to the workpiece during machining. With <b>mounting</b> quality requirements, <b>profiling</b> is thus becoming ever more important. The article informs on the potential of improvement for porfiling diamond grinding wheels with silicon carbide rollers. This {{is a prerequisite for}} an efficient process control of grinding heavy-duty ceramics...|$|R
40|$|The 2 D flow around 13 similar stay-vane {{profiles}} {{with different}} trailing edge geometries is investigated to determinate the main {{characteristics of the}} excitation forces for {{each one of them}} and their respective dynamic behaviors when modeled as a free-oscillating system. The main goal is avoid problems with cracks of hydraulic turbines components. A stay vane profile with a history of cracks was selected as the basis for this work. The commercial finite-volume code FLUENT ® was employed in the simulations of the stationary profiles and, then, modified {{to take into account the}} transversal motion of elastically <b>mounted</b> <b>profiles</b> with equivalent structural stiffness and damping. The k-ω SST turbulence model is employed in all simulations and a deforming mesh technique used for models with profile motion. The static-model simulations were carried out for each one of the 13 geometries using a constant far field flow velocity value in order to determine the lift force oscillating frequency and amplitude as a function of the geometry. The free-oscillating stay-vane simulations were run with a low mass-damping parameter (m*ζ= 0. 0072) and a single mean flow velocity value (5 m/s). The structural bending stiffness of the stay-vane is defined by the Reduced Velocity parameter (Vr). The dynamic analyses were divided into two sets. The first set of simulations was carried out only for one profile with 2 ≤Vr≤ 12. The second set of simulations focused on determining the behavior of each one of the 13 profiles in resonance...|$|R
40|$|A modern general {{circulation}} {{model of the}} Southern Ocean with one-sixth of a degree resolution is optimized to the observed ocean in a weighted least squares sense. Con-vergence to the state estimate solution is carried out by systematically adjusting the control variables (atmospheric state and initial conditions) using the adjoint model. A cost function compares the model state to in situ observations (Argo float pro-files, CTD synoptic sections, SEaOS instrument <b>mounted</b> seal <b>profiles,</b> and XBTs), altimetric observations (ENVISAT, GEOSAT, Jason, TOPEX/Poseidon), and other data sets (e. g. infrared and microwave radiometer observed sea surface temperature and NSIDC sea-ice concentration). Costs attributed to control variable perturbation...|$|R
40|$|I {{report the}} results of {{observational}} and theoretical studies of the tidal and residual circulation in Long Island Sound. This estuary is near resonant at the semidiurnal frequency, has substantial variations in cross-sectional area along its length, and has spatially variable and seasonally modulated density stratification. These physical characteristic of the Sound lead to strong tidal and residual circulation that are coupled by vertical mixing and may have {{a major role in}} controlling the development of hypoxia in the western Sound in the summer. I provide the first detailed description of the vertical and horizontal structure of the circulation in the western Sound by combining both moored and ship <b>mounted</b> <b>profiling</b> current meter observations obtained over a three year period. I show that the vertical structure of the principal component (M 2) amplitude is strongly sheared and that this structure cannot be reproduced by a classic model with time-invariant eddy viscosity. Seasonal variations in stratification do not influence the vertical structure of the M 2. Strong over-tides at the M 4 and M 6 frequencies were detected with M 6 amplitudes that increase to the west. I demonstrate that this is inconsistent with a weakly non-linear vertically and horizontally averaged model driven by semidiurnal tides in a converging channel with bottom friction, likely due to neglected channel geometry and time-variant bottom friction. The observations also reveal a weaker, but persistant, non-tidal circulation. In combination with hydrography obtained during short high resolution cruises and from data archives, I examine the importance of each term in the momentum balance both along- and across- channel, and put these into context using longer-term (but more spatially sparse) velocity, wind and hydrographic data. I develop a novel application of inverse methods that utilizes data measurements to test model validity and infer unknown data parameters when the appropriate model is chosen. ...|$|R
50|$|The Profile House was a grand {{hotel in}} the White Mountains of New Hampshire, in the United States. Originally built in 1852 and opening for its first season in 1853, it was {{operated}} by several owners and partners until its final season under the ownership of Karl P. Abbott, when the hotel, at its seasonal peak, burned to the ground, leaving only the train depot standing in the fire's aftermath. Area attractions included Franconia Notch, the Great Boulder flume (Flume Gorge), Artist's Bluff, <b>Mount</b> Cannon, <b>Profile</b> Lake, Echo Lake, and Eagle Cliff. The Profile House boasted amenities such as running water, electricity {{and all of the}} comforts to which the affluent guests had become accustomed. The hotel was named for the iconic rock structure discovered by surveyors in 1805, that {{came to be known as}} Old Man of the Mountain.|$|R
50|$|The {{two parties}} chose {{different}} approaches to electioneering. The Conservatives decided to concentrate on canvassing rather than public meetings, but the Liberals planned 28 meetings. Dewar set out canvassing in his coach and speaking in committee rooms, while the Liberals <b>mounted</b> a higher <b>profile</b> campaign.On Saturday 30th Woods {{took part in a}} joint meeting at Stratford Railway Works with Herbert Raphael, the Liberal candidate in the Romford by-election which was being held at the same time. Large numbers of workers from both constituencies were employed at Stratford.|$|R
