1|48|Public
5000|$|TIMM, or Toshiba Integrated <b>Multimedia</b> <b>Monitor,</b> {{manufactured}} by Toshiba ...|$|E
40|$|Wireless Sensor Networks (WSNs) {{have enjoyed}} {{dramatic}} developments {{over the last}} decade. The availability of CMOS cameras and microphones enlarged the scope of WSNs paving {{the way to the}} development of Wireless Multimedia Sensor Networks (WMSN). Among the envisaged WMSN applications, Real-time <b>Multimedia</b> <b>Monitoring</b> constitutes one of the most promising. However, the resource requirements of these applications place difficult challenges in terms of network lifetime and scalability. This paper starts by identifying the main characteristics and requirements of Real-time <b>Multimedia</b> <b>Monitoring</b> applications and then highlights key research directions that may help to overcome those challenges. Peer ReviewedPostprint (published version...|$|R
40|$|<b>Multimedia</b> {{environmental}} <b>monitoring</b> involves capturing valuable {{visual and}} audio {{information from the}} field station. This will permit the environmentalists and researchers to analyze the habitat and vegetation of a region with respect to other environmental specifics like temperature, soil moisture, etc. This thesis deals {{with the development of}} a test bed for <b>multimedia</b> <b>monitoring</b> by capturing image information and making it available for the public. A USB camera and a Single board computer are used to capture images at a specified frequency. A web-client is designed to display the image data and establish a secured remote access to reconfigure the field station. The development includes two modes of image acquisition including a basic activity recognition algorithm. Good quality images are captured with the cost for development of the system being less than 2 hundred dollars...|$|R
40|$|Numerous {{monitoring}} {{applications such}} as traffic control systems, border patrol monitoring, and person locater services generate {{a large number of}} multimedia data streams that need to be analyzed and processed using image processing and data stream manage-ment techniques in order to detect significant events of interest or abnormal conditions. Such <b>multimedia</b> <b>monitoring</b> systems usu-ally have high-bandwidth characteristics, stricter real-time dead-lines, and high accuracy requirements. In an attempt to meet all of these requirements, we have designed Symbiote- a distributed Re-configurable Logic Assisted multimedia Data Stream Managemen...|$|R
40|$|In {{this paper}} {{we present a}} new tool called BeanWatcher that allows the {{semi-automatic}} generation of <b>multimedia</b> <b>monitoring</b> and management applications for wireless sensor networks. Thus, particularities of multimedia management and wireless sensor networks were taken into account. The architecture of the tool {{is based on a}} component model flexible enough to allow the creation of new components and the optimization of the components currently provided. BeanWatcher was designed to o#er a development environment suitable for both expert an beginner users allowing them to choose the programming language that better fits the application requirements...|$|R
40|$|This paper {{describes}} an enhanced automatic keyphrase extraction method applied to Broadcast News. The keyphrase extraction process {{is used to}} create a concept level for each news. On top of words resulting from a speech recognition system output and news indexation and it contributes to the generation of a tag/keyphrase cloud of the top news included in a <b>Multimedia</b> <b>Monitoring</b> Solution system for TV and Radio news/programs, running daily, and monitoring 12 TV channels and 4 Radios. Comment: In Proceeding of Interspeech 2011 : 12 th Annual Conference of the International Speech Communication Associatio...|$|R
40|$|Environmental {{pollution}} problems are crucial concerns that have attracted {{a great deal}} of public attention. More actions are urgently required on formulating remediation strategies for contaminated sites and setting effective standards and regulations for reducing the toxic pollutants in the environment. To achieve these needs, comprehensive understanding of and characterizing the natural behavior of chemical in the environment are essential tasks for environmental risk assessment and management. Compared with direct <b>multimedia</b> <b>monitoring,</b> multimedia-modeling systems are more viable and practicable. In this article, most widely recognized multimedia models were categorized and reviewed. The concepts that form the foundation of each multimedia model were described, and the advantages and the limitations of multimedia model were discussed. The aim of this article was to consider challenges and opportunities in improving present multimedia modeling system and also {{to pave the way for}} future research in this field...|$|R
40|$|Abstract. This paper {{explores the}} impact of light {{filtering}} on automatic key phrase extraction (AKE) applied to Broadcast News (BN). Key phrases are words and expressions that best characterize the content of a document. Key phrases are often used to index the document or as fea-tures in further processing. This makes improvements in AKE accuracy particularly important. We hypothesized that filtering out marginally relevant sentences from a document would improve AKE accuracy. Our experiments confirmed this hypothesis. Elimination of as little as 10 % of the document sentences lead to a 2 % improvement in AKE precision and recall. AKE is built over MAUI toolkit that follows a supervised learning approach. We trained and tested our AKE method on a gold standard made of 8 BN programs containing 110 manually annotated news sto-ries. The experiments were conducted within a <b>Multimedia</b> <b>Monitoring</b> Solution (MMS) system for TV and radio news/programs, running daily, and monitoring 12 TV and 4 radio channels...|$|R
40|$|This paper {{explores the}} impact of light {{filtering}} on automatic key phrase extraction (AKE) applied to Broadcast News (BN). Key phrases are words and expressions that best characterize the content of a document. Key phrases are often used to index the document or as features in further processing. This makes improvements in AKE accuracy particularly important. We hypothesized that filtering out marginally relevant sentences from a document would improve AKE accuracy. Our experiments confirmed this hypothesis. Elimination of as little as 10 % of the document sentences lead to a 2 % improvement in AKE precision and recall. AKE is built over MAUI toolkit that follows a supervised learning approach. We trained and tested our AKE method on a gold standard made of 8 BN programs containing 110 manually annotated news stories. The experiments were conducted within a <b>Multimedia</b> <b>Monitoring</b> Solution (MMS) system for TV and radio news/programs, running daily, and monitoring 12 TV and 4 radio channels. Comment: In 15 th International Conference on Text, Speech and Dialogue (TSD 2012...|$|R
40|$|Abstract. In this paper, a {{condition}} monitoring system for wind turbine drive train is developed. The system integrated multiple type sensors such as vibration, voltage, current, speed, temperature and <b>multimedia</b> to <b>monitor</b> {{the condition of}} gearbox. This system is designed to monitor all wind turbine drive train in a wind farm using distributed processors to avoid computational and communication problems. The experiments on a wind farm in north china proved {{that the system is}} reliable and valid on abnormal condition detection for wind farm drive train...|$|R
40|$|Current sensor-based {{monitoring}} systems use multiple sensors {{in order to}} identify high-level information based on the events that take place in the monitored environment. This information is obtained through low-level processing of sensory media streams, which are usually noisy and imprecise, leading to many undesired consequences such as false alarms, service interruptions, and often violation of privacy. Therefore, we need a mechanism to compute the quality of sensor-driven information that would help a user or a system in making an informed decision and improve the automated monitoring process. In this article, we propose a model to characterize such quality of information in a multisensor <b>multimedia</b> <b>monitoring</b> system in terms of certainty, accuracy/confidence and timeliness. Our model adopts a multimodal fusion approach to obtain the target information and dynamically compute these attributes based on the observations of the participating sensors. We consider the environment context, the agreement/disagreement among the sensors, and their prior confidence in the fusion process in determining the information of interest. The proposed method is demonstrated by developing and deploying a real-time monitoring system in a simulated smart environment. The effectiveness and suitability of the method has been demonstrated by dynamically assessing the value of the three quality attributes with respect to the detection and identification of human presence in the environment...|$|R
