1|10000|Public
40|$|A ferroelec. and ferroelastic <b>monodomain</b> <b>single</b> <b>crystal</b> of BiFeO 3 at {{space group}} R 3 c is rhombohedral, with a 5. 57874 (16), c 13. 8688 (3). ANG.; arh 5. 6343. ANG., arh 59. 348 Deg; d. (calcd.) = 8. 337 for Z = 6. Final R = 2. 4, Rw = 1. 9 % for 422 reflections. The {{structure}} {{can be described}} as a rhombohedrally distorted simple cubic perovskite cell. The O octahedron is distorted with min. and max. O-O distances of 2. 710 (7) and 3. 015 (9). ANG., resp., and rotated by about +- a = 13. 8 (3) Deg around the 3 -fold axis. The Fe atom is shifted away {{from the center of the}} deformed octahedron by. apprx. 0. 134 (7). ANG. along the 3 -fold axis. The Bi atom is shifted with respect to 2 neighboring octahedron centers by. apprx. 0. 540 (7). ANG. along the 3 -fold axis. The ferroelec. poling mechanism was analyzed: atom displacements were calcd. for 60, 120 and 180 Deg switching of Ps and found to be 0. 44, 0. 62 and 0. 82. ANG. for Fe. Av. oxygen displacements for +a (-a) rotated octahedra were 0. 87 (0. 89) 1. 13 (1. 24) and 1. 34 (1. 53). ANG [...] Av. Bi shifts wer...|$|E
40|$|We report neutron {{diffraction}} and magnetization {{studies of the}} magnetic order in multiferroic BiFeO 3. In ferroelectric <b>monodomain</b> <b>single</b> <b>crystals,</b> there are three magnetic cycloidal domains with propagation vectors equivalent by crystallographic symmetry. The cycloid period slowly grows with increasing temperature. The magnetic domain populations do not change with temperature except in the close vicinity of the Neel temperature, at which, in addition, a small jump in magneti- zation is observed. No evidence for the spin-reorientation transitions proposed in previous Raman and dielectric studies is found. The magnetic cycloid is slightly anharmonic for T= 5 K. The an- harmonicity is much smaller than previously reported in NMR studies. At room temperature, a circular cycloid is observed, within errors. We argue that the observed anharmonicity provides important clues for understanding electromagnons in BiFeO 3. Comment: In Press at PR...|$|R
40|$|Magnetic domains at {{the surface}} of a {{ferroelectric}} <b>monodomain</b> BiFeO 3 <b>single</b> <b>crystal</b> have been imaged by hard x-ray magnetic scattering. Magnetic domains up to several hundred microns in size have been observed, corresponding to cycloidal modulations of the magnetization along the wave vector k=(δ,δ, 0) and symmetry equivalent directions. The rotation direction of the magnetization in all magnetic domains, determined by diffraction of circularly polarized light, was found to be unique and in agreement with predictions of a combined approach based on a spin-model complemented by relativistic density-functional simulations. Imaging of the surface shows that the largest adjacent domains display a 120 ° vortex structure. close 231...|$|R
40|$|High {{temperature}} (> 0. 8 TM) {{plastic deformation}} of ferroelectric <b>monodomain</b> LiNbO 3 <b>single</b> <b>crystals</b> is reported. Different stress orientations {{have been chosen}} and basal, prismatic and pyramidal glide planes could be activated. A {{detailed analysis of the}} glide elements is made by means of optical, chemical etching and X-ray topography observations, as well as mechanical considerations (CRSS). The basal glide system (0001) with a CRSS of 13 MPa seems easier to activate than the prismatic glide system { 1120 } whose CRSS is 15 MPa, the pyramidal glide system { 1102 } with a CRSS of 17 - 18 MPa being the hardest to activate...|$|R
40|$|LCEs were {{embedded}} in SCB. MONO I, MON 02 and POLY are a planar aligned, homeotropically aligned and polydomain films of a thickness of-lSOllm. 120 We experimentally investigated the swelling dynamics of films of liquid crystalline elastomers (LCEs) of a thickness of ~ 150 f. 1 m by nematic {{low molecular weight}} liquid crystals (LMWLC), 5 CB. In <b>monodomain,</b> or <b>single</b> liquid <b>crystal</b> elastomers (SLCE), the director, n, was uniformly oriented throughout the film while there was no correlation between the n's in the different domains of a polydomain LCE. The shape changes during the swelling of monodomain and polydomain are shown in Fig. 1. Here, MONOI and MON 02 are obtained by slicing parallel and perpendicular to n respectively. In the MONOI samples, a rectangular shape is seen propagating in from the edges of sample. We interpret this to be front propagation of LMWLC into SLCE. The LMWLC fronts propagates into SLCE with the velocities Vx ~ If. 1 m/min an...|$|R
40|$|A Bridgman furnace was {{designed}} and built to grow oriented <b>single</b> <b>crystals</b> of nickel-manganese-gallium. The starting alloys were produced from high purity elements. The compositions of the alloys and <b>single</b> <b>crystals</b> were determined with energy dispersive x-ray spectroscopy. Oxygen concentration of the starting elements, the alloys, and <b>single</b> <b>crystal</b> were determined with the LECO combustion method. Starting seeds were produced from <b>single</b> <b>crystal</b> ingots produced at ETH Zurich, Switzerland, and from a <b>single</b> <b>crystal</b> grown from these seeds. Crystallographic orientation of the starting seeds and the <b>single</b> <b>crystals</b> were determined with x-ray diffraction. Mechanical testing was performed on a <b>single</b> <b>crystal</b> to determine the stress-strain curve. Pulling speeds of 6. 0 mm/hr or lower produced oriented <b>single</b> <b>crystals.</b> Crystal composition was kept constant to approximately 60 % of the total crystal length. Oxygen concentration was reduced when an argon- 6 % hydrogen atmosphere flowed through the crystal growth assembly. Twinning stress was approximately 27 MPa with a twinning strain of approximately 4. 3 %...|$|R
40|$|This {{invention}} {{is directed}} to a process for manufacturing a lightweight mirror from a <b>single</b> <b>crystal</b> material, such as <b>single</b> <b>crystal</b> silicon. As a near perfect <b>single</b> <b>crystal</b> material, <b>single</b> <b>crystal</b> silicon has much lower internal stress than a conventional material. This means much less distortion of the optical surface during the light weighting process. After being ground and polished, a <b>single</b> <b>crystal</b> silicon mirror is light weighted by removing material from the back side using ultrasonic machining. After the light weighting process, the <b>single</b> <b>crystal</b> silicon mirror may be used as-is or further figured by conventional polishing or ion milling, depending on the application and the operating wavelength...|$|R
40|$|<b>Single</b> <b>crystals</b> of (Bal - xKx) Fe 2 As 2 were {{prepared}} using the Sn flux method. Two heating methods {{were used to}} prepare the single crystals: the slow heating and rapid heating methods. It {{was found that the}} <b>single</b> <b>crystals</b> grown using the slow heating method were not superconducting due to a significant loss of potassium. When the rapid heating method was used, the <b>single</b> <b>crystals</b> were observed to be superconducting with the desired potassium concentration. The energy dispersive X-ray spectroscopy analysis indicated the presence of multiple phases in the <b>single</b> <b>crystals.</b> Using <b>single</b> <b>crystal</b> X-ray diffraction, the crystal structure of the <b>single</b> <b>crystals</b> was found to be 14 /mmm tetragonal at room temperature. The magnetic measurements on the <b>single</b> <b>crystals</b> indicated the presence of multiple phases and magnetic impurities...|$|R
40|$|A {{systematic}} {{study on}} laser micro-machining of PMN-PT <b>single</b> <b>crystals</b> has been performed. The PMN-PT <b>single</b> <b>crystal</b> has been micromachined using a 355 nm Nd:YAG laser. The kerf profile and cutting {{quality of the}} laser micro-machined PMN-PT <b>single</b> <b>crystal</b> were studied as functions of the laser process parameters. It {{was found that the}} direct proportional relationship between the depth of the kerf and the laser power provides an effective reference to determine the depth required to be ablated. It is significant for fabricating micro-devices using the <b>single</b> <b>crystal</b> by laser micro-machining. Besides the physical behavior, the piezoresponse of the PMN-PT <b>single</b> <b>crystal</b> has also been investigated by PFM. The results reveal that the laser micro-machining would not affect the macroscopic piezoelectric performance of the PMN-PT <b>single</b> <b>crystal.</b> The present work shows the feasibility of micro-patterning the PMN-PT <b>single</b> <b>crystal</b> into any geometry using a Nd:YAG laser. Department of Applied Physic...|$|R
40|$|Piezoelectric <b>single</b> <b>crystals,</b> {{which have}} {{excellent}} piezoelectric properties, have extensively been employed for various sensors and actuators applications. In this paper, the state-of-art in piezoelectric <b>single</b> <b>crystals</b> for ultrasonic transducer applications is reviewed. Firstly, {{the basic principles}} and design considerations of piezoelectric ultrasonic transducers will be addressed. Then, the popular piezoelectric <b>single</b> <b>crystals</b> used for ultrasonic transducer applications, including LiNbO 3 (LN), PMN-PT and PIN-PMN-PT, will be introduced. After describing the preparation and performance of the <b>single</b> <b>crystals,</b> the recent development of both the single-element and array transducers fabricated using the <b>single</b> <b>crystals</b> will be presented. Finally, various biomedical applications including eye imaging, intravascular imaging, blood flow measurement, photoacoustic imaging and microbeam applications of the <b>single</b> <b>crystal</b> transducers will be discussed. Department of Electrical Engineerin...|$|R
40|$|Dual-temperature {{tube furnace}} is {{generally}} {{used to produce}} <b>single</b> <b>crystal</b> by chemical vapor transport (CVT). The temperature gradient of single-temperature tube furnace is used to grow NbSe 2 <b>single</b> <b>crystal</b> by CVT. The obtained <b>single</b> <b>crystals</b> are characterized via X-ray diffraction (XRD) and scanning electron microscopy (SEM), and the magnetization and resistance of NbSe 2 <b>single</b> <b>crystal</b> under low temperature are measured. The NbSe 2 crystal has a metallic luster and typical dimension of about 2 mm× 2 mm. The <b>single</b> <b>crystal</b> NbSe 2 shows superconducting transition temperature of 7. 1 K and transition width of 0. 3 K. The estimated superconducting volume fraction is around 79 %. The method employed in this study {{can be applied to}} grow other <b>single</b> <b>crystals</b> by CVT...|$|R
