1|28|Public
5000|$|Erebia ottomana Herrich-Schäffer, 1851 [...] - [...] <b>Ottoman</b> <b>brassy</b> <b>ringlet</b> ...|$|E
5000|$|The Swiss <b>brassy</b> <b>ringlet</b> {{belongs to}} the <b>brassy</b> <b>ringlet</b> group of its genus Erebia. These are found in taiga and alpine habitat across Eurasia, with one {{population}} in comparatively recent times colonizing North America. The <b>brassy</b> <b>ringlet</b> group, like many Erebia, has a complicated taxonomy, with scores of [...] "variants" [...] having been named in the late 19th and early 20th century. Most of these in fact were simply aberrations, local or seasonal forms. As this was realized, the <b>brassy</b> <b>ringlets</b> of the Alps and Pyrenees were united in E. tyndarus, either as a superspecies or as a species.|$|R
5000|$|The <b>brassy</b> <b>ringlets</b> are {{a species}} group of ringlet {{butterflies}} in the genus Erebia. Though closely related, their monophyly {{is not completely}} resolved. Still, the <b>brassy</b> <b>ringlets</b> are taxa similar to E. tyndarus [...] - [...] the Swiss <b>brassy</b> <b>ringlet</b> [...] - , {{and in many cases}} certainly close relatives. A notable trait of their genus is an ability to adapt well to cold and somewhat arid habitat, like taiga or regions with alpine climate. Optimal habitat in Eurasia, where most of the <b>brassy</b> <b>ringlets</b> are found, therefore occurs in two distinct belts [...] - [...] in the very north of the continent and in the Alpide belt [...] - [...] in interglacials, and in glacials in one periglacialic belt at lower altitude, in places interrupted by dry wasteland and deserts.|$|R
5000|$|Erebia cassioides arvernensis Oberthür 1908 - western <b>brassy</b> <b>ringlet</b> ...|$|R
5000|$|Erebia cassioides carmenta Fruhstorfer, 1907 - western <b>brassy</b> <b>ringlet</b> ...|$|R
5000|$|Erebia (cassioides) arvernensis Oberthür 1908 [...] - [...] western <b>brassy</b> <b>ringlet</b> ...|$|R
5000|$|Erebia (cassioides) carmenta Fruhstorfer, 1907 [...] - [...] western <b>brassy</b> <b>ringlet</b> ...|$|R
5000|$|Erebia cassioides (Reiner & Hohenwarth, 1792) [...] - [...] Common <b>brassy</b> <b>ringlet</b> ...|$|R
5000|$|Erebia nivalis Lorkovic & Lesse, 1954 [...] - [...] de Lesse's <b>brassy</b> <b>ringlet</b> ...|$|R
50|$|Erebia cassioides, {{the common}} <b>brassy</b> <b>ringlet,</b> {{is a member}} of the Satyrinae {{subfamily}} of Nymphalidae.|$|R
50|$|The last is presumably {{closest to}} the last common {{ancestors}} of the Alpine <b>brassy</b> <b>ringlets.</b>|$|R
