1|2173|Public
5000|$|... 1008 [...] "Merry Christmas Baby" [...] (A-1113-63) b/w [...] "Christmas Finds Me <b>Oh</b> <b>So</b> <b>Sad</b> (Please Come Home for Christmas)" [...] (A-1114-63), 1961, {{released}} 1963 ...|$|E
6000|$|... "His spirit, I mean," [...] {{explained}} Mivanway, in an awed voice. [...] "It {{was standing}} {{in the shadow of the}} rocks, in the exact spot where we first met. It looked older and more careworn; but, <b>oh!</b> Margaret, <b>so</b> <b>sad</b> and reproachful." ...|$|R
6000|$|... "Listen to me, Dick. Do you {{remember}} one afternoon, {{when we were}} riding together, I got ahead of you, and dashed off to the casa. I don't know what possessed me, or WHY I did it. I only know I wanted to get home quickly, and get away from you. No, I was not angry, Dick, at YOU; {{it did not seem}} to be THAT; I--well, I confess I was FRIGHTENED--at something, I don't know what. When I wheeled round into the lane, I saw--a man--a young gentleman standing by the garden-wall. He was very picturesque-looking, in his red sash, velvet jacket, and round silver buttons; handsome, but <b>oh,</b> <b>so</b> pale and <b>sad!</b> He looked at me very eagerly, and then suddenly drew back, and I heard you on Chu Chu coming at my heels. You must have seen him and passed him too, I thought: but when you said nothing of it, I--I don't know why, Dick, I said nothing of it too. Don't speak!" [...] she added, with a hurried gesture: [...] "I know NOW why you said nothing,--YOU had not seen him." ...|$|R
50|$|Literal translation: (The {{music was}} <b>so</b> <b>sad</b> that) cry the widow in a lonely boatSemantic translation: (The music was <b>so</b> <b>sad</b> that it) made the widow in a lonely boat cry.|$|R
50|$|In 2016, Broder {{published}} {{a collection of}} personal essays, <b>So</b> <b>Sad</b> Today, based on her Twitter account. The collection includes some essays initially {{published a}}t Vice under her <b>So</b> <b>Sad</b> Today pen name.|$|R
50|$|Melissa Broder is a {{poet and}} essayist. Her work {{includes}} poetry collection Last Sext (Tin House 2016) and essay collection <b>So</b> <b>Sad</b> Today (Grand Central 2016), {{as well as a}} popular Twitter feed also titled <b>So</b> <b>Sad</b> Today, on which the book is based.|$|R
50|$|The early Football League Years of Workington Reds are {{chronicled in}} a series of books {{entitled}} <b>So</b> <b>Sad</b> <b>So</b> Very <b>Sad</b> - The League History of Workington AFC part 1 (1951-58), part 2 (1958-64) and part 3 (1964-65).|$|R
50|$|Adapted {{from the}} I Was <b>So</b> <b>Sad</b> liner notes.|$|R
5000|$|<b>Oh</b> <b>So</b> Sharp, {{described}} by Timeform as [...] "a big, lengthy filly and a grand mover with a raking stride" [...] was bred in Ireland by her owner Sheikh Mohammed. She {{was one of}} two classic winners sired by Kris the leading British miler of 1979: the chestnut <b>Oh</b> <b>So</b> Sharp came from his first crop of foals. Her dam was the American-bred mare <b>Oh</b> <b>So</b> Fair, making her a half-sister to Roussalka a filly which won the Coronation Stakes and two runnings of the Nassau Stakes when trained by Henry Cecil in the mid-1970s. She later became a successful broodmare, whose descendants include Collier Hill and Ameerat. <b>Oh</b> <b>So</b> Fair was carrying the unborn <b>Oh</b> <b>So</b> Sharp in October 1981 when she was included in the deal in which Sheikh acquired the Dalham Hall stud.|$|R
60|$|The hunter's {{tone was}} <b>so</b> <b>sad</b> that Paul {{looked at him}} inquiringly.|$|R
5000|$|David McFadden, Why Are You <b>So</b> <b>Sad?</b> Selected Poems of David W. McFadden ...|$|R
