1|522|Public
5000|$|... #Caption: A {{strap wrench}} variant (one form of <b>oil</b> <b>filter</b> <b>wrench).</b>|$|E
50|$|One {{common type}} of wrench is shown on the right. The loop of chain is placed around the filter, and the bar is turned {{anticlockwise}} by hand until the chain wraps itself tightly around the <b>filter.</b> A socket <b>wrench</b> or adjustable spanner is then used to turn the hexagonal bar further in the same direction. This increases {{the tension in the}} chain, which bites into the soft metal casing of the <b>oil</b> <b>filter</b> which helps prevent slippage.|$|R
25|$|When introduced, the block-mounted <b>oil</b> <b>filter</b> {{check valve}} was {{eliminated}} on the 4.0 (along with the 2.5 and 4.2s manufactured after September 1986) when AMC engineers standardized their <b>oil</b> <b>filters.</b> The pre-1987 engines had an <b>oil</b> <b>filter</b> adapter with 3/4 (cylinder block end) and 13/16 threads (which used a GM <b>oil</b> <b>filter</b> common to Buick, Oldsmobile, Pontiac, and Cadillac V8 engines) while the 1987-06 engines were originally {{fitted with a}} 20mm metric thread filter (later revised in 1991 for the common 3/4 threaded Mopar and Ford V8 oil filter; the <b>oil</b> <b>filter</b> adapter was redesigned where the <b>oil</b> <b>filter</b> is positioned 90 degrees offset adjacent to the starter motor - a Ford V8 <b>oil</b> <b>filter</b> {{can be used in}} place of the short <b>filter</b> increasing <b>oiling</b> capacity).|$|R
5000|$|FRAM TRT [...] - [...] {{heavy duty}} fleet <b>oil</b> <b>filter</b> with a metered {{additive}} package that vastly extends <b>oil</b> <b>filter</b> change intervals.|$|R
50|$|An <b>oil</b> <b>filter</b> is {{a filter}} {{designed}} to remove contaminants from engine oil, transmission oil, lubricating oil, or hydraulic <b>oil.</b> <b>Oil</b> <b>filters</b> {{are used in}} {{many different types of}} hydraulic machinery. A chief use of the <b>oil</b> <b>filter</b> is in internal-combustion engines in on- and off-road motor vehicles, light aircraft, and various naval vessels. Other vehicle hydraulic systems, such as those in automatic transmissions and power steering, are often equipped with an <b>oil</b> <b>filter.</b> Gas turbine engines, such as those on jet aircraft, also require the use of <b>oil</b> <b>filters.</b> Aside from these uses, oil production, transport, and recycling facilities also employ filters in the manufacturing process.|$|R
5000|$|Early {{automobile}} engines {{did not use}} <b>oil</b> <b>filters.</b> For this reason, {{along with}} the generally low quality of oil available, very frequent oil changes were required. The first <b>oil</b> <b>filters</b> were simple, generally consisting of a screen placed at the oil pump intake. On November 27, 1923, American inventors George Greenhalgh and Ernest Sweetland filed U.S. Patent #1721250 for an automotive <b>oil</b> <b>filter</b> and called it the Purolator, a portmanteau of [...] "pure oil later". The Purolator <b>oil</b> <b>filter</b> was the first <b>oil</b> <b>filter</b> invented for the automobile and revolutionized the filtration industry. The Purolator <b>oil</b> <b>filter</b> is still in production today. This original invention was a bypass filter: most of the oil flowed directly from the oil pan to the engine's working parts, and a smaller proportion of the oil was sent through the filter via a second flow path in parallel with the first. The <b>oil</b> was thus <b>filtered</b> over time. Modern bypass <b>oil</b> <b>filter</b> systems for diesel engines are becoming popular in consumer applications, but have been in commercial use for some time due to potential reduction in maintenance costs.Oil filters are generally located near the middle or bottom of the engine.|$|R
40|$|An <b>Oil</b> <b>filter</b> is {{a filter}} to remove {{contaminants}} from engine oil, transmission oil, lubricating oil, or hydraulic <b>oil.</b> <b>Oil</b> <b>filters</b> {{are used in}} {{many different types of}} hydraulic machinery. A chief use of the <b>oil</b> <b>filter</b> is in internal-combustion engines in on- and off-road motor vehicles, light aircraft, and various naval vessels. Other vehicle hydraulic systems, such as those in automatic transmissions and power steering, are often equipped with an <b>oil</b> <b>filter.</b> Gas turbine engines, such as those on jet aircraft, require the use of <b>oil</b> <b>filters.</b> And <b>oil</b> production, transport, and recycling facilities employ filters. Parts of the hydraulic <b>oil</b> <b>filter</b> in our project are piston housing, shaft housing, top plate, crankshaft, and piston. The aim of the project is to model and design casting tool for piston housing which is used in a hydraulic <b>oil</b> <b>filter</b> pump having pressure 50 kg/cm 2, and temperature rating 300 deg C. In casting tool, we are designing core cavity, mould base plates. Calculations are to be done for cavity fill time, cavity fill rate, gate area, runner area, shot weight, die cooling calculations. CNC programming for core and cavity is to be done and for remaining manufacturing processes are to be done...|$|R
40|$|Keywords:automobile <b>oil</b> <b>filter,</b> filter used material, tensile fracture, macro characteristic, {{microscopic}} characteristics Abstract. The <b>oil</b> <b>filter</b> {{materials are}} frequently subjected to abrading {{and all kinds}} of friction and making the materials suffered from damage,consequently,the property and service life of the filter materials is reduced. So the purpose of this thesis is to research the tensile performance of the automobile <b>oil</b> <b>filter</b> material and according to constant speed tensile test to measure the macro fracture characteristics,tensile property in the process of before and after tensile testing,tensile fracture form and the math expression. Then compared the breaking strength,breaking elongation,elongation at break and breaking work of these ten <b>oil</b> <b>filter</b> materials. Hope that through the study on the tensile performance of the <b>oil</b> <b>filter</b> materials and summarizes the damage mechanism and tensile fracture form,in order to provides a new way to develop the new material...|$|R
5000|$|The {{rings on}} {{screw-on}} filters are often made of aluminum, though in more expensive filters brass is used. Aluminum filter rings are much lighter in weight, but can [...] "bind" [...] to the aluminum lens threads they are screwed in to, requiring {{the use of}} a <b>filter</b> <b>wrench</b> to get the filter off of the lens. Aluminum also dents or deforms more easily.|$|R
50|$|Rubbing {{of metal}} engine parts inevitably {{produces}} some microscopic metallic particles from {{the wearing of}} the surfaces. Such particles could circulate in the oil and grind against moving parts, causing wear. Because particles accumulate in the oil, it is typically circulated through an <b>oil</b> <b>filter</b> to remove harmful particles. An oil pump, a vane or gear pump powered by the engine, pumps the oil throughout the engine, including the <b>oil</b> <b>filter.</b> <b>Oil</b> <b>filters</b> can be a full flow or bypass type.|$|R
5000|$|... #Caption: Spin-on <b>oil</b> <b>filter,</b> showing {{seal and}} {{screw-on}} thread ...|$|R
